League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-17 10:27:28,2025-11-17 19:00,Cleveland Cavaliers,Milwaukee Bucks,Yes,336.6,Yes,-108.33,-111.44,-290.22,235.44,-109.44,-110.56,East,Central,East,Central,-105.0,-115.0,-298.0,240.0,-115.0,-105.0,-104.0,-108.0,-287.0,241.0,-102.0,-113.0,-108.0,-112.0,-290.0,237.0,-105.0,-115.0,-114.0,-106.0,-275.0,225.0,-110.0,-110.0,-110.0,-110.0,-294.0,231.0,-110.0,-110.0,-110.0,-110.0,-300.0,250.0,-110.0,-110.0,-105.0,-115.0,-300.0,240.0,-110.0,-110.0,-109,-117,-278,215,-113,-112,-110.0,-110.0,-290.0,240.0,-110.0,-110.0
NBA,2025-11-17 10:27:28,2025-11-17 19:00,Detroit Pistons,Indiana Pacers,Yes,240.5,Yes,-111.44,-108.33,-487.22,368.78,-111.11,-109.0,East,Central,East,Central,-110.0,-110.0,-485.0,370.0,-108.0,-112.0,-111.0,-101.0,-469.0,374.0,-113.0,-102.0,-115.0,-105.0,-475.0,367.0,-115.0,-105.0,-110.0,-110.0,-500.0,385.0,-112.0,-108.0,-110.0,-110.0,-476.0,348.0,-110.0,-110.0,-110.0,-110.0,-525.0,375.0,-110.0,-110.0,-110.0,-110.0,-500.0,375.0,-110.0,-110.0,-117,-109,-480,350,-112,-114,-110.0,-110.0,-475.0,375.0,-110.0,-110.0
NBA,2025-11-17 10:27:28,2025-11-17 19:10,Philadelphia 76ers,Los Angeles Clippers,No,2401.6,Yes,-109.89,-109.89,-208.0,173.11,-110.0,-110.0,East,Atlantic,West,Pacific,-112.0,-108.0,-205.0,170.0,-108.0,-112.0,-108.0,-104.0,-204.0,179.0,-107.0,-107.0,-112.0,-108.0,-205.0,177.0,-110.0,-110.0,-108.0,-112.0,-205.0,172.0,-112.0,-108.0,-110.0,-110.0,-213.0,170.0,-110.0,-110.0,-110.0,-110.0,-210.0,175.0,-105.0,-115.0,-110.0,-110.0,-210.0,170.0,-115.0,-105.0,-109,-117,-215,170,-113,-113,-110.0,-110.0,-205.0,175.0,-110.0,-110.0
NBA,2025-11-17 10:27:28,2025-11-17 19:30,Toronto Raptors,Charlotte Hornets,No,586.0,Yes,-108.44,-111.22,-345.22,274.44,-109.33,-110.56,East,Atlantic,East,Southeast,-105.0,-115.0,-355.0,280.0,-110.0,-110.0,-106.0,-106.0,-342.0,282.0,-107.0,-107.0,-110.0,-110.0,-345.0,278.0,-110.0,-110.0,-110.0,-110.0,-350.0,280.0,-110.0,-110.0,-110.0,-110.0,-345.0,267.0,-110.0,-110.0,-105.0,-115.0,-340.0,270.0,-105.0,-115.0,-110.0,-110.0,-350.0,280.0,-110.0,-110.0,-110,-115,-335,255,-112,-113,-110.0,-110.0,-345.0,278.0,-110.0,-110.0
NBA,2025-11-17 10:27:28,2025-11-17 19:30,Miami Heat,New York Knicks,No,1091.4,Yes,-111.89,-107.89,-124.44,103.78,-112.0,-109.89,East,Southeast,East,Atlantic,-115.0,-105.0,-125.0,105.0,-108.0,-112.0,-110.0,-102.0,-123.0,107.0,-113.0,-102.0,-114.0,-106.0,-125.0,105.0,-115.0,-105.0,-114.0,-106.0,-120.0,102.0,-108.0,-112.0,-110.0,-110.0,-122.0,100.0,-122.0,-114.0,-105.0,-115.0,-125.0,105.0,-110.0,-110.0,-115.0,-105.0,-130.0,105.0,-110.0,-110.0,-114,-112,-125,100,-112,-114,-110.0,-110.0,-125.0,105.0,-110.0,-110.0
NBA,2025-11-17 10:27:28,2025-11-17 20:00,Minnesota Timberwolves,Dallas Mavericks,No,861.9,Yes,-110.22,-109.56,-911.89,600.44,-111.0,-109.11,West,Northwest,West,Southwest,-115.0,-105.0,-900.0,600.0,-108.0,-112.0,-106.0,-106.0,-883.0,631.0,-113.0,-102.0,-110.0,-110.0,-900.0,613.0,-115.0,-105.0,-108.0,-112.0,-850.0,590.0,-110.0,-110.0,-110.0,-110.0,-909.0,570.0,-110.0,-110.0,-105.0,-115.0,-850.0,550.0,-110.0,-110.0,-115.0,-105.0,-900.0,600.0,-110.0,-110.0,-113,-113,-1115,650,-113,-113,-110.0,-110.0,-900.0,600.0,-110.0,-110.0
NBA,2025-11-17 10:27:28,2025-11-17 20:10,New Orleans Pelicans,Oklahoma City Thunder,No,575.8,Yes,-109.44,-110.33,987.78,-1930.33,-110.22,-109.78,West,Southwest,West,Northwest,-110.0,-110.0,1000.0,-1800.0,-110.0,-110.0,-106.0,-106.0,1006.0,-1706.0,-107.0,-107.0,-110.0,-110.0,961.0,-1750.0,-110.0,-110.0,-110.0,-110.0,1100.0,-2200.0,-112.0,-108.0,-110.0,-110.0,873.0,-1667.0,-110.0,-110.0,-105.0,-115.0,950.0,-2000.0,-110.0,-110.0,-110.0,-110.0,1000.0,-2000.0,-110.0,-110.0,-114,-112,1000,-2500,-113,-113,-110.0,-110.0,1000.0,-1750.0,-110.0,-110.0
NBA,2025-11-17 10:27:28,2025-11-17 21:10,Denver Nuggets,Chicago Bulls,No,918.9,Yes,-107.33,-112.22,-969.11,624.89,-109.89,-110.11,West,Northwest,East,Central,-108.0,-112.0,-950.0,625.0,-110.0,-110.0,-101.0,-111.0,-857.0,616.0,-107.0,-107.0,-105.0,-115.0,-875.0,598.0,-110.0,-110.0,-112.0,-108.0,-1000.0,660.0,-110.0,-110.0,-110.0,-110.0,-1000.0,605.0,-110.0,-110.0,-105.0,-115.0,-950.0,600.0,-110.0,-110.0,-105.0,-115.0,-1100.0,675.0,-110.0,-110.0,-110,-114,-1115,650,-112,-114,-110.0,-110.0,-875.0,595.0,-110.0,-110.0
NBA,2025-11-17 10:27:28,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,
NBA,2025-11-17 10:27:28,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-195,150,-115,-110,,,,,,
