League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2025-11-06 07:50:51,2025-11-06 21:00,Phoenix Suns,Los Angeles Clippers,Yes,362.6,Yes,-110.89,-108.89,-140.67,118.78,-109.56,-110.44,West,Pacific,West,Pacific,-112.0,-108.0,-142.0,120.0,-110.0,-110.0,-108.0,-104.0,-138.0,122.0,-107.0,-107.0,-112.0,-108.0,-140.0,120.0,-110.0,-110.0,-112.0,-108.0,-138.0,118.0,-106.0,-114.0,-110.0,-110.0,-140.0,120.0,-110.0,-110.0,-110.0,-110.0,-146.0,118.0,-110.0,-110.0,-110.0,-110.0,-145.0,120.0,-110.0,-110.0,-110.0,-110.0,-145.0,125.0,-110.0,-110.0,-114,-112,-132,106,-113,-113
NBA,2025-11-06 07:50:51,2025-11-07 19:10,Orlando Magic,Boston Celtics,No,1115.0,Yes,-111.5,-111.0,-195.0,160.0,-111.5,-111.5,East,Southeast,East,Atlantic,,,,,,,,,,,,,,,,,,,-110.0,-110.0,-190.0,160.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,-113,-112,-200,160,-113,-113
NBA,2025-11-06 07:50:51,2025-11-07 19:10,Washington Wizards,Cleveland Cavaliers,No,305.1,Yes,-112.0,-111.0,400.0,-550.0,-111.0,-112.0,East,Southeast,East,Central,,,,,,,,,,,,,,,,,,,-110.0,-110.0,390.0,-510.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,410,-590,-112,-114
NBA,2025-11-06 07:50:51,2025-11-07 19:40,Atlanta Hawks,Toronto Raptors,No,733.5,Yes,-111.0,-111.0,107.0,-128.67,-109.67,-112.33,East,Southeast,East,Atlantic,-110.0,-110.0,102.0,-122.0,-105.0,-115.0,,,,,,,,,,,,,-110.0,-110.0,114.0,-134.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,105,-130,-114,-112
NBA,2025-11-06 07:50:51,2025-11-07 19:40,Brooklyn Nets,Detroit Pistons,No,484.4,Yes,-111.5,-111.5,242.5,-307.5,-111.5,-111.5,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,-110.0,-110.0,245.0,-300.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,240,-315,-113,-113
NBA,2025-11-06 07:50:51,2025-11-07 19:40,San Antonio Spurs,Houston Rockets,Yes,186.5,Yes,-109.0,-113.0,106.0,-127.0,-112.67,-109.33,West,Southwest,West,Southwest,-102.0,-118.0,110.0,-130.0,-115.0,-105.0,,,,,,,,,,,,,-108.0,-112.0,106.0,-124.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,-117,-109,102,-127,-113,-113
NBA,2025-11-06 07:50:51,2025-11-07 20:10,Milwaukee Bucks,Chicago Bulls,Yes,81.3,Yes,-110.67,-111.0,-193.33,157.67,-109.0,-113.0,East,Central,East,Central,-110.0,-110.0,-192.0,160.0,-105.0,-115.0,,,,,,,,,,,,,-110.0,-110.0,-188.0,158.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,-112,-113,-200,155,-112,-114
NBA,2025-11-06 07:50:51,2025-11-07 20:10,Memphis Grizzlies,Dallas Mavericks,Yes,420.5,Yes,-113.5,-109.5,-162.0,133.0,-111.5,-111.5,West,Southwest,West,Southwest,,,,,,,,,,,,,,,,,,,-110.0,-110.0,-162.0,136.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,-117,-109,-162,130,-113,-113
NBA,2025-11-06 07:50:51,2025-11-07 20:10,Minnesota Timberwolves,Utah Jazz,Yes,986.7,Yes,-110.0,-113.0,-880.0,570.0,-111.5,-111.0,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,-106.0,-114.0,-850.0,590.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-910,550,-113,-112
NBA,2025-11-06 07:50:51,2025-11-07 22:10,Denver Nuggets,Golden State Warriors,No,947.0,Yes,-40.33,-115.0,-209.33,171.0,-111.67,-110.33,West,Northwest,West,Pacific,100.0,-120.0,-218.0,180.0,-115.0,-105.0,,,,,,,,,,,,,-108.0,-112.0,-200.0,168.0,-108.0,-112.0,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-210,165,-112,-114
