League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-02-26 13:53:27,2026-02-26 19:10,c1ff99354847ec708fa5aa95791dd292,Indiana Pacers,Charlotte Hornets,No,428.0,Yes,East,Central,East,Southeast,-112.22,-107.22,13.22,-13.22,544.89,-810.56,-109.67,-110.11,229.28,-110,-110,570,-820,-108,-112,-115,-105,550,-800,-110,-110,-110,-110,573,-918,-110,-110,-109,-114,480,-770,-112,-112,-111,-101,547,-737,-107,-107,-115,-105,534,-750,-110,-110,-115,-105,575,-900,-110,-110,-115,-105,550,-800,-110,-110,-110,-110,525,-800,-110,-110
NBA,2026-02-26 13:53:27,2026-02-26 19:10,68aa69753fe0692c00bca7343fd61b8b,Philadelphia 76ers,Miami Heat,No,1015.4,Yes,East,Atlantic,East,Southeast,-110.78,-108.67,-2.61,2.61,-151.0,127.56,-108.67,-111.11,239.28,-112,-108,-152,128,-112,-108,-115,-105,-155,130,-105,-115,-110,-110,-147,119,-110,-110,-110,-113,-150,120,-114,-109,-108,-104,-155,136,-102,-113,-112,-108,-155,135,-105,-115,-110,-110,-150,125,-115,-105,-110,-110,-145,125,-105,-115,-110,-110,-150,130,-110,-110
NBA,2026-02-26 13:53:27,2026-02-26 19:40,e7ec27a7927c90d32cc2fb2ebdd76585,Atlanta Hawks,Washington Wizards,Yes,542.8,Yes,East,Southeast,East,Southeast,-111.0,-108.44,-9.5,9.5,-440.0,338.67,-109.0,-110.67,235.44,-112,-108,-405,315,-110,-110,-112,-108,-440,340,-108,-112,-110,-110,-455,339,-110,-110,-115,-108,-435,320,-110,-113,-108,-104,-435,350,-105,-109,-112,-108,-440,344,-108,-112,-110,-110,-450,350,-110,-110,-110,-110,-450,355,-110,-110,-110,-110,-450,335,-110,-110
NBA,2026-02-26 13:53:27,2026-02-26 19:40,985b660bc6ae0521de793dacdc666b6f,Brooklyn Nets,San Antonio Spurs,No,1581.1,Yes,East,Atlantic,West,Southwest,-109.67,-109.78,11.44,-11.44,427.33,-588.0,-109.67,-110.0,224.33,-114,-106,400,-520,-106,-114,-112,-108,425,-575,-110,-110,-110,-110,429,-631,-110,-110,-110,-113,425,-625,-109,-114,-106,-106,456,-591,-107,-107,-110,-110,446,-600,-110,-110,-110,-110,425,-600,-110,-110,-110,-110,450,-600,-110,-110,-105,-115,390,-550,-115,-105
NBA,2026-02-26 13:53:27,2026-02-26 19:40,57e97a356eae8b74d10b09eb58962542,Orlando Magic,Houston Rockets,No,848.7,Yes,East,Southeast,West,Southwest,-112.44,-107.0,3.06,-3.06,128.0,-151.89,-111.44,-108.44,215.17,-114,-106,132,-156,-110,-110,-105,-115,136,-162,-108,-112,-110,-110,123,-152,-110,-110,-114,-109,120,-148,-112,-112,-111,-101,132,-149,-113,-102,-115,-105,130,-150,-115,-105,-118,-102,125,-155,-110,-110,-110,-110,129,-150,-115,-105,-115,-105,125,-145,-110,-110
NBA,2026-02-26 13:53:27,2026-02-26 20:10,3c630cc42d5e0712a9317980a2a35a21,Chicago Bulls,Portland Trail Blazers,No,1756.4,Yes,East,Central,West,Northwest,-109.11,-110.33,4.61,-4.61,153.22,-182.33,-109.89,-109.78,234.67,-114,-106,152,-180,-110,-110,-108,-112,150,-180,-112,-108,-110,-110,152,-189,-110,-110,-114,-109,145,-182,-110,-113,-106,-106,158,-180,-107,-107,-110,-110,157,-180,-110,-110,-105,-115,150,-185,-110,-110,-110,-110,155,-180,-110,-110,-105,-115,160,-185,-110,-110
NBA,2026-02-26 13:53:27,2026-02-26 20:40,ab0ac3191351854638bfb2c653e7408b,Dallas Mavericks,Sacramento Kings,No,1439.9,Yes,West,Southwest,West,Pacific,-110.22,-109.22,-6.83,6.83,-269.67,218.78,-108.89,-110.78,236.17,-108,-112,-260,215,-110,-110,-115,-105,-270,220,-105,-115,-110,-110,-270,212,-110,-110,-108,-115,-275,210,-113,-110,-106,-106,-267,225,-107,-107,-110,-110,-270,222,-110,-110,-115,-105,-275,220,-105,-115,-110,-110,-270,225,-110,-110,-110,-110,-270,220,-110,-110
NBA,2026-02-26 13:53:27,2026-02-26 21:10,e1602b5cfe2adbc7eeb741f4aa40e1dd,Phoenix Suns,Los Angeles Lakers,Yes,359.1,Yes,West,Pacific,West,Pacific,-110.11,-109.33,5.78,-5.78,183.11,-222.44,-110.33,-109.22,222.5,-110,-110,184,-220,-114,-106,-105,-115,185,-225,-110,-110,-110,-110,185,-233,-110,-110,-110,-113,175,-225,-112,-110,-111,-101,188,-219,-107,-107,-115,-105,186,-220,-110,-110,-105,-115,180,-220,-110,-110,-110,-110,185,-220,-110,-110,-115,-105,180,-220,-110,-110
NBA,2026-02-26 13:53:27,2026-02-26 21:10,e981f4f0dfb4d08b3260300b922334fe,Utah Jazz,New Orleans Pelicans,No,1434.3,Yes,West,Northwest,West,Southwest,-109.78,-109.67,6.94,-6.94,209.33,-256.89,-111.33,-108.56,244.06,-110,-110,215,-260,-112,-108,-102,-118,210,-258,-110,-110,-110,-110,225,-286,-110,-110,-110,-113,200,-265,-112,-112,-106,-106,206,-243,-113,-102,-110,-110,203,-245,-115,-105,-115,-105,200,-250,-110,-110,-110,-110,215,-255,-110,-110,-115,-105,210,-250,-110,-110
NBA,2026-02-26 13:53:27,2026-02-26 22:10,2678ac16f4dad43d27dd570fb7a64577,Los Angeles Clippers,Minnesota Timberwolves,No,1532.5,Yes,West,Pacific,West,Northwest,-108.22,-111.33,5.5,-5.5,179.11,-216.0,-110.22,-109.44,225.56,-108,-112,184,-220,-112,-108,-108,-112,180,-218,-110,-110,-110,-110,176,-222,-110,-110,-112,-112,175,-225,-113,-110,-101,-111,182,-209,-107,-107,-105,-115,180,-210,-110,-110,-110,-110,180,-220,-110,-110,-110,-110,180,-210,-110,-110,-110,-110,175,-210,-110,-110
