League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-13 19:04:52,2026-05-13 20:10,c3531530e77a4ada542bdbff23de5409,Detroit Pistons,Cleveland Cavaliers,Yes,91.4,Yes,East,Central,East,Central,-108.11,-110.56,-4.17,4.17,-172.67,145.0,-111.33,-109.33,211.67,-105,-115,-170,142,-112,-108,-102,-110,-180,145,-110,-118,-104,-118,-180,152,-112,-108,-110,-112,-175,138,-112,-112,-115,-105,-163,143,-114,-106,-107,-105,-163,144,-107,-107,-110,-110,-175,150,-115,-105,-110,-110,-178,145,-110,-110,-110.0,-110.0,-170.0,146.0,-110.0,-110.0
NBA,2026-05-13 19:04:52,2026-05-15 21:40,1bd4432ce20bc61756180bf2d1c59c91,Minnesota Timberwolves,San Antonio Spurs,No,1109.0,Yes,West,Northwest,West,Southwest,-110.12,-109.25,4.56,-4.56,159.25,-190.12,-110.0,-109.62,218.5,-110,-110,160,-192,-110,-110,-110,-110,154,-190,-110,-110,-105,-115,160,-190,-110,-110,-115,-108,160,-200,-113,-110,-110,-110,161,-185,-110,-110,-106,-106,162,-185,-107,-107,-115,-105,160,-185,-110,-110,-110,-110,157,-194,-110,-110,,,,,,
