League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-02-22 13:36:59,2026-02-22 13:10,969b50e347f472c863d142252f2a47b1,Oklahoma City Thunder,Cleveland Cavaliers,No,951.7,No,West,Northwest,East,Central,-116.33,-79.33,-7.42,7.42,-306.83,223.33,-117.17,-111.5,234.0,-118,-112,-330,240,-114,-114,-125,100,-333,245,-118,-105,-110,-120,-298,220,-120,-110,-110,-115,-285,210,-115,-110,-115,-115,-260,190,-115,-115,-120,-114,-335,235,-121,-115,,,,,,,,,,,,,,,,,,
NBA,2026-02-22 13:36:59,2026-02-22 15:40,8cfa733d2c4b4d6bc9b588892a933983,Atlanta Hawks,Brooklyn Nets,No,746.3,No,East,Southeast,East,Atlantic,-108.0,-111.44,-10.17,10.17,-439.44,335.22,-110.0,-109.67,227.94,-106,-114,-450,350,-110,-110,-110,-110,-455,330,-110,-110,-102,-118,-440,340,-105,-115,-102,-118,-450,333,-115,-105,-110,-110,-440,330,-110,-110,-114,-109,-455,330,-113,-110,-107.0,-105.0,-420.0,340.0,-107.0,-107.0,-111.0,-109.0,-425.0,334.0,-110.0,-110.0,-110.0,-110.0,-420.0,330.0,-110.0,-110.0
NBA,2026-02-22 13:36:59,2026-02-22 15:40,782bd538baddbe08fa942761254729cf,Golden State Warriors,Denver Nuggets,No,947.0,No,West,Pacific,West,Northwest,-110.22,-109.22,6.89,-6.89,218.22,-268.56,-109.89,-109.89,227.11,-112,-108,215,-260,-105,-115,-110,-110,212,-270,-110,-110,-105,-115,220,-270,-115,-105,-105,-115,220,-275,-110,-110,-115,-105,215,-260,-110,-110,-114,-109,210,-275,-112,-112,-106.0,-106.0,225.0,-267.0,-107.0,-107.0,-110.0,-110.0,222.0,-270.0,-110.0,-110.0,-115.0,-105.0,225.0,-270.0,-110.0,-110.0
NBA,2026-02-22 13:36:59,2026-02-22 15:40,7b90ac67ff251c150cfaec7dad0c57fb,Milwaukee Bucks,Toronto Raptors,No,432.0,No,East,Central,East,Atlantic,-110.11,-109.33,3.17,-3.17,131.0,-154.89,-109.44,-110.22,219.33,-110,-110,128,-152,-110,-110,-110,-110,133,-164,-110,-110,-115,-105,130,-155,-108,-112,-115,-105,135,-160,-110,-110,-115,-105,130,-150,-110,-110,-115,-108,118,-148,-110,-113,-101.0,-111.0,136.0,-155.0,-107.0,-107.0,-105.0,-115.0,135.0,-155.0,-110.0,-110.0,-105.0,-115.0,134.0,-155.0,-110.0,-110.0
NBA,2026-02-22 13:36:59,2026-02-22 17:10,c58609240b6495b450250cabc147e1ac,Indiana Pacers,Dallas Mavericks,No,763.9,No,East,Central,West,Southwest,-111.11,-108.33,2.17,-2.17,110.56,-131.78,-110.78,-108.89,233.61,-112,-108,114,-134,-114,-106,-110,-110,106,-130,-110,-110,-115,-105,110,-130,-112,-108,-118,-102,110,-135,-115,-105,-110,-110,110,-130,-110,-110,-109,-114,108,-134,-113,-110,-106.0,-106.0,112.0,-128.0,-105.0,-109.0,-110.0,-110.0,110.0,-130.0,-108.0,-112.0,-110.0,-110.0,115.0,-135.0,-110.0,-110.0
NBA,2026-02-22 13:36:59,2026-02-22 18:10,a347a356427b6eb7be0785a1fe56c0ef,Washington Wizards,Charlotte Hornets,Yes,329.6,No,East,Southeast,East,Southeast,-110.56,-108.89,11.89,-11.89,439.78,-608.0,-109.89,-109.89,225.94,-112,-108,440,-590,-110,-110,-110,-110,428,-625,-110,-110,-118,-102,440,-600,-115,-105,-105,-115,450,-625,-110,-110,-105,-115,430,-625,-105,-115,-109,-114,430,-625,-112,-112,-111.0,-101.0,437.0,-562.0,-107.0,-107.0,-115.0,-105.0,428.0,-570.0,-110.0,-110.0,-110.0,-110.0,475.0,-650.0,-110.0,-110.0
NBA,2026-02-22 13:36:59,2026-02-22 18:40,17acdc05db1e8ba29fd2f420dcdf9bcc,Los Angeles Lakers,Boston Celtics,No,2597.9,No,West,Pacific,East,Atlantic,-109.33,-110.11,1.83,-1.83,106.0,-127.0,-111.0,-108.67,229.0,-108,-112,108,-126,-114,-106,-110,-110,107,-132,-110,-110,-105,-115,105,-125,-105,-115,-105,-115,105,-130,-110,-110,-110,-110,105,-125,-110,-110,-114,-109,102,-127,-112,-110,-109.0,-103.0,107.0,-123.0,-113.0,-102.0,-113.0,-107.0,105.0,-125.0,-115.0,-105.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0
NBA,2026-02-22 13:36:59,2026-02-22 19:10,439a6986fb7fa87228b403c29d22f4b6,Minnesota Timberwolves,Philadelphia 76ers,No,987.1,Yes,West,Northwest,East,Atlantic,-109.22,-110.22,-8.67,8.67,-353.44,278.67,-110.78,-108.89,239.56,-108,-112,-350,280,-110,-110,-110,-110,-345,264,-110,-110,-115,-105,-360,285,-112,-108,-110,-110,-350,275,-115,-105,-110,-110,-340,270,-110,-110,-114,-109,-375,275,-113,-110,-101.0,-111.0,-351.0,289.0,-107.0,-107.0,-105.0,-115.0,-355.0,285.0,-110.0,-110.0,-110.0,-110.0,-355.0,285.0,-110.0,-110.0
NBA,2026-02-22 13:36:59,2026-02-22 20:10,ded265e6250d4401a3786f34c967bc8b,Chicago Bulls,New York Knicks,No,715.3,Yes,East,Central,East,Atlantic,-111.33,-108.22,10.17,-10.17,350.11,-461.67,-109.78,-109.78,231.0,-112,-108,350,-450,-106,-114,-110,-110,345,-476,-110,-110,-118,-102,360,-470,-115,-105,-118,-102,360,-475,-110,-110,-115,-105,340,-460,-110,-110,-107,-117,335,-480,-110,-112,-104.0,-108.0,356.0,-444.0,-107.0,-107.0,-108.0,-112.0,350.0,-450.0,-110.0,-110.0,-110.0,-110.0,355.0,-450.0,-110.0,-110.0
NBA,2026-02-22 13:36:59,2026-02-22 20:10,14255f77d428aeeedddf9c964b461b3d,Phoenix Suns,Portland Trail Blazers,No,1006.0,Yes,West,Pacific,West,Northwest,-110.78,-108.56,3.5,-3.5,132.67,-157.33,-110.22,-109.44,222.33,-110,-110,140,-166,-110,-110,-110,-110,133,-164,-110,-110,-108,-112,130,-155,-110,-110,-110,-110,135,-160,-110,-110,-110,-110,135,-160,-115,-105,-113,-109,130,-162,-110,-113,-111.0,-101.0,132.0,-149.0,-107.0,-107.0,-115.0,-105.0,130.0,-150.0,-110.0,-110.0,-110.0,-110.0,129.0,-150.0,-110.0,-110.0
