League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-22 15:45:25,2026-05-22 20:40,7b814a0bc57622abcbc708d9e9a27fca,San Antonio Spurs,Oklahoma City Thunder,No,419.4,Yes,West,Southwest,West,Northwest,-109.67,-109.78,-1.72,1.72,-125.89,105.56,-110.11,-109.56,218.11,-110,-110,-124,106,-114,-106,-114,-109,-127,102,-110,-113,-115,-105,-125,105,-110,-110,-103,-109,-123,107,-107,-107,-110,-110,-125,105,-110,-110,-110,-110,-125,105,-110,-110,-110,-110,-130,110,-110,-110,-110,-110,-129,105,-110,-110,-105.0,-115.0,-125.0,105.0,-110.0,-110.0
NBA,2026-05-22 15:45:25,2026-05-23 20:10,4247d31ac7706ebe455b8f221c9e4184,Cleveland Cavaliers,New York Knicks,No,404.7,Yes,East,Central,East,Atlantic,-109.0,-110.38,-2.5,2.5,-134.62,112.75,-108.5,-111.25,213.88,-106,-114,-130,110,-110,-110,-110,-113,-139,112,-112,-112,-110,-110,-135,114,-110,-110,-106,-106,-130,114,-104,-110,-110,-110,-135,110,-105,-115,-110,-110,-132,112,-107,-113,-110,-110,-135,115,-110,-110,-110,-110,-141,115,-110,-110,,,,,,
