League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-01-11 10:24:54,2026-01-11 15:10,Orlando Magic,New Orleans Pelicans,No,534.1,No,-110.67,-109.11,-254.11,207.11,-110.38,-109.0,East,Southeast,West,Southwest,-112,-108,-250,205,-110,-110,-110,-110,-258,210,-105,-115,-106,-106,-248,210,-113,-102,-110,-110,-250,207,-115,-105,-110,-110,-250,210,-110,-110,-115,-105,-260,215,-110,-110,-113,-113,-265,205,,,-110,-110,-256,202,-110,-110,-110,-110,-250,200,-110,-110
NBA,2026-01-11 10:24:54,2026-01-11 15:40,Memphis Grizzlies,Brooklyn Nets,No,956.1,No,-110.33,-109.33,-279.44,225.78,-110.0,-109.25,West,Southwest,East,Atlantic,-110,-110,-270,220,-110,-110,-112,-108,-278,225,-108,-112,-106,-106,-277,233,-107,-107,-110,-110,-280,230,-110,-110,-110,-110,-270,225,-110,-110,-115,-105,-275,225,-110,-110,-110,-115,-286,220,,,-110,-110,-294,229,-110,-110,-110,-110,-285,225,-115,-105
NBA,2026-01-11 10:24:54,2026-01-11 18:10,Portland Trail Blazers,New York Knicks,No,2444.4,No,-106.89,-112.78,159.56,-190.56,-109.38,-109.88,West,Northwest,East,Atlantic,-106,-114,162,-194,-106,-114,-105,-115,160,-192,-112,-108,-101,-111,162,-185,-107,-107,-105,-115,161,-185,-110,-110,-110,-110,159,-185,-110,-110,-105,-115,165,-195,-110,-110,-115,-110,160,-200,,,-110,-110,153,-189,-110,-110,-105,-115,154,-190,-110,-110
NBA,2026-01-11 10:24:54,2026-01-11 18:10,Toronto Raptors,Philadelphia 76ers,Yes,337.5,No,-110.78,-108.89,148.89,-177.11,-110.25,-109.0,East,Atlantic,East,Atlantic,-106,-114,152,-180,-110,-110,-115,-105,150,-180,-115,-105,-111,-101,150,-170,-107,-107,-115,-105,149,-170,-110,-110,-110,-110,146,-170,-110,-110,-105,-115,150,-175,-110,-110,-110,-115,145,-182,,,-110,-110,148,-182,-110,-110,-115,-105,150,-185,-110,-110
NBA,2026-01-11 10:24:54,2026-01-11 19:10,Oklahoma City Thunder,Miami Heat,No,1226.0,Yes,-109.78,-110.0,-844.67,567.44,-111.25,-108.0,West,Northwest,East,Southeast,-105,-115,-800,560,-110,-110,-118,-102,-800,550,-112,-108,-106,-106,-834,603,-110,-104,-110,-110,-850,586,-113,-107,-110,-110,-850,580,-110,-110,-110,-110,-900,575,-115,-105,-114,-112,-835,525,,,-110,-110,-833,553,-110,-110,-105,-115,-900,575,-110,-110
NBA,2026-01-11 10:24:54,2026-01-11 19:10,Minnesota Timberwolves,San Antonio Spurs,No,1109.0,Yes,-109.0,-110.67,-140.67,118.56,-110.0,-109.25,West,Northwest,West,Southwest,-110,-110,-134,114,-108,-112,-110,-110,-142,120,-110,-110,-106,-106,-138,122,-107,-107,-110,-110,-140,120,-110,-110,-110,-110,-140,120,-110,-110,-105,-115,-140,120,-110,-110,-110,-115,-148,118,,,-110,-110,-139,113,-110,-110,-110,-110,-145,120,-115,-105
NBA,2026-01-11 10:24:54,2026-01-11 20:10,Denver Nuggets,Milwaukee Bucks,No,915.0,Yes,-109.33,-110.22,110.44,-131.78,-110.25,-109.0,West,Northwest,East,Central,-108,-112,112,-132,-110,-110,-105,-115,110,-130,-115,-105,-111,-101,112,-128,-107,-107,-115,-105,110,-130,-110,-110,-110,-110,110,-130,-110,-110,-110,-110,115,-135,-110,-110,-110,-114,108,-134,,,-110,-110,107,-132,-110,-110,-105,-115,110,-135,-110,-110
NBA,2026-01-11 10:24:54,2026-01-11 20:10,Phoenix Suns,Washington Wizards,No,1982.6,Yes,-110.33,-109.44,-884.78,582.67,-111.38,-108.0,West,Pacific,East,Southeast,-112,-108,-820,570,-108,-112,-105,-115,-800,550,-115,-105,-109,-103,-834,603,-113,-102,-113,-107,-850,586,-115,-105,-110,-110,-850,580,-110,-110,-115,-105,-1000,625,-110,-110,-114,-112,-1000,600,,,-110,-110,-909,555,-110,-110,-105,-115,-900,575,-110,-110
NBA,2026-01-11 10:24:54,2026-01-11 20:40,Golden State Warriors,Atlanta Hawks,No,2137.9,Yes,-109.67,-110.0,-220.56,182.22,-110.12,-109.12,West,Pacific,East,Southeast,-106,-114,-210,176,-114,-106,-115,-105,-218,180,-110,-110,-106,-106,-219,188,-107,-107,-110,-110,-220,186,-110,-110,-110,-110,-220,185,-110,-110,-105,-115,-230,190,-110,-110,-110,-115,-215,170,,,-110,-110,-233,185,-110,-110,-115,-105,-220,180,-110,-110
NBA,2026-01-11 10:24:54,2026-01-11 21:10,Sacramento Kings,Houston Rockets,No,1609.3,Yes,-109.89,-109.89,478.56,-675.67,-109.88,-109.38,West,Pacific,West,Southwest,-110,-110,530,-750,-110,-110,-115,-105,470,-650,-112,-108,-106,-106,502,-664,-107,-107,-110,-110,491,-675,-110,-110,-110,-110,465,-630,-110,-110,-105,-115,460,-675,-110,-110,-113,-113,440,-670,,,-110,-110,449,-667,-110,-110,-110,-110,500,-700,-110,-110
