League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-01-14 04:34:33,2026-01-14 19:10,Philadelphia 76ers,Cleveland Cavaliers,No,359.4,Yes,-109.0,-110.0,-115.12,-78.88,-108.62,-110.75,East,Atlantic,East,Central,-108,-112,-112,-104,-110,-110,-106,-106,-113.0,-103.0,-102,-113,-110,-110,-115.0,-105.0,-105,-115,-110,-110,-116,-104,-110,-110,-108,-112,-115,-105,-112,-108,-110,-110,-115.0,-105.0,-110,-110,-105,-115,-110,-110,-110,-110,-115,-105,-125,105,-110,-110
NBA,2026-01-14 04:34:33,2026-01-14 19:10,Indiana Pacers,Toronto Raptors,No,440.8,Yes,-106.75,-112.25,119.5,-140.88,-108.88,-110.5,East,Central,East,Atlantic,-110,-110,118,-138,-114,-106,-101,-111,122.0,-138.0,-102,-113,-105,-115,120.0,-140.0,-105,-115,-110,-110,113,-139,-110,-110,-108,-112,120,-142,-115,-105,-105,-115,120.0,-140.0,-105,-115,-105,-115,125,-145,-110,-110,-110,-110,118,-145,-110,-110
NBA,2026-01-14 04:34:33,2026-01-14 20:10,New Orleans Pelicans,Brooklyn Nets,No,1169.5,Yes,-109.25,-109.75,107.38,-127.25,-108.5,-110.75,West,Southwest,East,Atlantic,-110,-110,112,-132,-106,-114,-106,-106,112.0,-128.0,-107,-107,-110,-110,110.0,-130.0,-110,-110,-110,-110,105,-128,-110,-110,-108,-112,105,-125,-110,-110,-110,-110,105.0,-125.0,-110,-110,-115,-105,105,-125,-110,-110,-105,-115,105,-125,-105,-115
NBA,2026-01-14 04:34:33,2026-01-14 20:10,Chicago Bulls,Utah Jazz,No,1258.5,Yes,-112.0,-107.0,-140.25,118.62,-109.5,-109.75,East,Central,West,Northwest,-110,-110,-142,120,-106,-114,-111,-101,-133.0,117.0,-107,-107,-115,-105,-135.0,115.0,-110,-110,-110,-110,-145,119,-110,-110,-115,-105,-142,120,-108,-112,-115,-105,-135.0,115.0,-110,-110,-105,-115,-145,125,-110,-110,-115,-105,-145,118,-115,-105
NBA,2026-01-14 04:34:33,2026-01-14 21:40,Dallas Mavericks,Denver Nuggets,No,662.5,Yes,-109.75,-109.25,-109.6,-109.8,-109.62,-109.62,West,Southwest,West,Northwest,-114,-106,-104,-112,-112,-108,-101,-111,,,-107,-107,-105,-115,,,-110,-110,-110,-110,-111,-110,-110,-110,-118,-102,-110,-110,-108,-112,-105,-115,,,-110,-110,-115,-105,-105,-115,-110,-110,-110,-110,-118,-102,-110,-110
NBA,2026-01-14 04:34:33,2026-01-14 22:10,Sacramento Kings,New York Knicks,No,2506.3,Yes,-111.25,-107.75,378.5,-502.12,-109.0,-110.25,West,Pacific,East,Atlantic,-114,-106,385,-500,-110,-110,-106,-106,370.0,-464.0,-107,-107,-110,-110,364.0,-470.0,-110,-110,-110,-110,409,-588,-110,-110,-115,-105,380,-500,-110,-110,-110,-110,370.0,-470.0,-105,-115,-110,-110,390,-550,-110,-110,-115,-105,360,-475,-110,-110
NBA,2026-01-14 04:34:33,2026-01-14 22:40,Los Angeles Clippers,Washington Wizards,No,2308.1,Yes,-111.12,-107.88,-662.75,479.0,-110.25,-109.0,West,Pacific,East,Southeast,-110,-110,-670,490,-110,-110,-111,-101,-640.0,487.0,-107,-107,-115,-105,-650.0,476.0,-110,-110,-110,-110,-667,464,-110,-110,-108,-112,-675,490,-110,-110,-115,-105,-650.0,475.0,-110,-110,-110,-110,-700,475,-110,-110,-110,-110,-650,475,-115,-105
