League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-14 10:22:31,2025-11-14 19:10,Orlando Magic,Brooklyn Nets,No,936.6,Yes,-112.11,-107.67,-939.0,614.44,-109.78,-110.33,East,Southeast,East,Atlantic,-114.0,-106.0,-900.0,610.0,-112.0,-108.0,-115.0,-105.0,-950.0,625.0,-110.0,-110.0,-114,-112,-835,540,-114,-112,-110.0,-110.0,-1133.0,686.0,-110.0,-110.0,-111.0,-101.0,-883.0,631.0,-102.0,-113.0,-115.0,-105.0,-900.0,613.0,-105.0,-115.0,-115.0,-105.0,-1000.0,625.0,-115.0,-105.0,-105.0,-115.0,-950.0,600.0,-110.0,-110.0,-110.0,-110.0,-900.0,600.0,-110.0,-110.0
NBA,2025-11-14 10:22:31,2025-11-14 19:10,New York Knicks,Miami Heat,No,1091.4,Yes,-112.33,-107.44,-232.11,190.56,-110.56,-109.44,East,Atlantic,East,Southeast,-114.0,-106.0,-230.0,190.0,-110.0,-110.0,-118.0,-102.0,-238.0,195.0,-110.0,-110.0,-113,-113,-230,180,-113,-113,-110.0,-110.0,-238.0,188.0,-110.0,-110.0,-111.0,-101.0,-228.0,195.0,-107.0,-107.0,-115.0,-105.0,-230.0,192.0,-110.0,-110.0,-115.0,-105.0,-235.0,190.0,-110.0,-110.0,-105.0,-115.0,-230.0,190.0,-115.0,-105.0,-110.0,-110.0,-230.0,195.0,-110.0,-110.0
NBA,2025-11-14 10:22:31,2025-11-14 19:40,Detroit Pistons,Philadelphia 76ers,No,444.3,Yes,-110.33,-109.44,-213.78,177.33,-109.89,-110.11,East,Central,East,Atlantic,-110.0,-110.0,-215.0,180.0,-112.0,-108.0,-110.0,-110.0,-218.0,180.0,-112.0,-108.0,-112,-114,-220,170,-113,-113,-110.0,-110.0,-227.0,180.0,-110.0,-110.0,-106.0,-106.0,-204.0,179.0,-107.0,-107.0,-110.0,-110.0,-205.0,177.0,-110.0,-110.0,-110.0,-110.0,-220.0,180.0,-105.0,-115.0,-115.0,-105.0,-210.0,175.0,-110.0,-110.0,-110.0,-110.0,-205.0,175.0,-110.0,-110.0
NBA,2025-11-14 10:22:31,2025-11-14 20:10,Milwaukee Bucks,Charlotte Hornets,No,659.4,Yes,-109.11,-110.67,-399.44,309.89,-110.56,-109.33,East,Central,East,Southeast,-106.0,-114.0,-370.0,295.0,-114.0,-106.0,-110.0,-110.0,-395.0,310.0,-108.0,-112.0,-114,-112,-455,330,-110,-114,-110.0,-110.0,-400.0,304.0,-110.0,-110.0,-104.0,-108.0,-380.0,311.0,-113.0,-102.0,-108.0,-112.0,-385.0,306.0,-115.0,-105.0,-110.0,-110.0,-425.0,325.0,-110.0,-110.0,-110.0,-110.0,-400.0,300.0,-105.0,-115.0,-110.0,-110.0,-385.0,308.0,-110.0,-110.0
NBA,2025-11-14 10:22:31,2025-11-14 20:10,Houston Rockets,Portland Trail Blazers,No,1836.0,Yes,-108.44,-111.22,-321.33,258.0,-111.44,-86.22,West,Southwest,West,Northwest,-106.0,-114.0,-310.0,250.0,-110.0,-110.0,-112.0,-108.0,-340.0,270.0,-105.0,-115.0,-112,-113,-315,245,-110,-114,-110.0,-110.0,-345.0,264.0,-110.0,-110.0,-101.0,-111.0,-317.0,263.0,-113.0,-102.0,-105.0,-115.0,-320.0,260.0,-115.0,-105.0,-115.0,-105.0,-325.0,260.0,-110.0,-110.0,-105.0,-115.0,-300.0,250.0,-120.0,100.0,-110.0,-110.0,-320.0,260.0,-110.0,-110.0
NBA,2025-11-14 10:22:31,2025-11-14 20:10,New Orleans Pelicans,Los Angeles Lakers,No,1673.5,Yes,-109.22,-110.44,357.44,-470.0,-109.44,-110.56,West,Southwest,West,Pacific,-106.0,-114.0,360.0,-460.0,-110.0,-110.0,-105.0,-115.0,360.0,-470.0,-110.0,-110.0,-112,-113,350,-480,-113,-113,-110.0,-110.0,344.0,-476.0,-110.0,-110.0,-108.0,-104.0,367.0,-459.0,-107.0,-107.0,-112.0,-108.0,361.0,-465.0,-110.0,-110.0,-105.0,-115.0,360.0,-475.0,-110.0,-110.0,-115.0,-105.0,350.0,-480.0,-105.0,-115.0,-110.0,-110.0,365.0,-465.0,-110.0,-110.0
NBA,2025-11-14 10:22:31,2025-11-14 20:10,Minnesota Timberwolves,Sacramento Kings,No,1514.6,Yes,-111.0,-108.67,-612.67,443.11,-109.89,-110.11,West,Northwest,West,Pacific,-106.0,-114.0,-590.0,430.0,-110.0,-110.0,-115.0,-105.0,-625.0,455.0,-110.0,-110.0,-112,-113,-670,450,-112,-114,-110.0,-110.0,-588.0,421.0,-110.0,-110.0,-111.0,-101.0,-591.0,456.0,-107.0,-107.0,-115.0,-105.0,-600.0,446.0,-110.0,-110.0,-115.0,-105.0,-625.0,450.0,-105.0,-115.0,-105.0,-115.0,-625.0,430.0,-115.0,-105.0,-110.0,-110.0,-600.0,450.0,-110.0,-110.0
NBA,2025-11-14 10:22:31,2025-11-14 20:40,Dallas Mavericks,Los Angeles Clippers,No,1245.2,Yes,-110.11,-109.67,131.22,-156.0,-110.0,-110.0,West,Southwest,West,Pacific,-112.0,-108.0,136.0,-162.0,-110.0,-110.0,-102.0,-118.0,130.0,-155.0,-110.0,-110.0,-117,-109,132,-165,-113,-113,-110.0,-110.0,123.0,-152.0,-110.0,-110.0,-108.0,-104.0,136.0,-155.0,-107.0,-107.0,-112.0,-108.0,135.0,-155.0,-110.0,-110.0,-105.0,-115.0,125.0,-155.0,-110.0,-110.0,-115.0,-105.0,130.0,-150.0,-110.0,-110.0,-110.0,-110.0,134.0,-155.0,-110.0,-110.0
NBA,2025-11-14 10:22:31,2025-11-14 21:40,San Antonio Spurs,Golden State Warriors,No,1490.6,Yes,-110.0,-109.67,-135.33,114.0,-108.44,-111.67,West,Southwest,West,Pacific,-114.0,-106.0,-138.0,118.0,-110.0,-110.0,-105.0,-115.0,-135.0,114.0,-110.0,-110.0,-115,-110,-132,106,-114,-112,-110.0,-110.0,-135.0,111.0,-110.0,-110.0,-111.0,-101.0,-133.0,117.0,-102.0,-113.0,-115.0,-105.0,-135.0,115.0,-105.0,-115.0,-105.0,-115.0,-140.0,115.0,-105.0,-115.0,-105.0,-115.0,-135.0,115.0,-110.0,-110.0,-110.0,-110.0,-135.0,115.0,-110.0,-110.0
NBA,2025-11-14 10:22:31,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
