League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-03-10 06:35:38,2026-03-10 19:10,e735f6e9e8e98e8b92c380f09760ec3f,Philadelphia 76ers,Memphis Grizzlies,No,879.4,Yes,East,Atlantic,West,Southwest,-109.12,-110.25,-4.19,4.19,-182.38,152.62,-107.56,-112.56,228.11,-112,-108,-186,156,-104,-118,-110,-110,-182,147,-110,-110,-115,-105,-185,154,-115,-105,-101,-111,-173,153,-102,-113,-105,-115,-173,152,-105,-115,-115,-108,-195,155,-112,-112,-110,-110,-175,150,-110,-110,,,,,-105,-115,-105,-115,-190,154,-105,-115
NBA,2026-03-10 06:35:38,2026-03-10 19:40,abc7626b6e289bd9003f66cd3df84349,Atlanta Hawks,Dallas Mavericks,No,721.3,Yes,East,Southeast,West,Southwest,-108.56,-110.89,-9.11,9.11,-394.0,305.22,-110.22,-109.67,238.78,-110,-110,-375,300,-112,-108,-110,-110,-400,299,-110,-110,-118,-102,-395,310,-105,-115,-101,-111,-371,304,-113,-102,-105,-115,-375,299,-115,-105,-113,-110,-420,310,-112,-112,-110,-110,-410,305,-110,-110,-105.0,-115.0,-400.0,320.0,-110,-110,-105,-115,-400,300,-105,-115
NBA,2026-03-10 06:35:38,2026-03-10 19:40,9421796c001c679383541d472b15be1f,Brooklyn Nets,Detroit Pistons,No,484.4,Yes,East,Atlantic,East,Central,-107.89,-111.56,14.67,-14.67,666.88,-1075.88,-110.89,-108.89,217.67,-110,-110,750,-1200,-110,-110,-110,-110,641,-1111,-110,-110,-105,-115,650,-1000,-110,-110,-106,-106,657,-931,-113,-102,-110,-110,637,-950,-115,-105,-110,-113,650,-1115,-110,-113,-105,-115,700,-1200,-110,-110,-110.0,-110.0,,,-115,-105,-105,-115,650,-1100,-105,-115
NBA,2026-03-10 06:35:38,2026-03-10 19:40,565b25ab007865785e752c67dfb61e99,Miami Heat,Washington Wizards,Yes,922.4,Yes,East,Southeast,East,Southeast,-109.0,-110.56,-15.33,15.33,-994.0,631.11,-109.44,-110.22,242.22,-108,-112,-1000,660,-110,-110,-110,-110,-1000,626,-110,-110,-105,-115,-950,625,-105,-115,-106,-106,-931,657,-107,-107,-110,-110,-950,637,-110,-110,-112,-112,-1115,600,-113,-110,-115,-105,-1100,650,-110,-110,-110.0,-110.0,-900.0,600.0,-110,-110,-105,-115,-1000,625,-110,-110
NBA,2026-03-10 06:35:38,2026-03-10 20:10,e989d01a7b748cf7e0c892b5259ea99d,San Antonio Spurs,Boston Celtics,No,1764.3,Yes,West,Southwest,East,Atlantic,-107.33,-112.11,-3.28,3.28,-147.22,124.33,-108.11,-111.56,222.28,-112,-108,-148,126,-106,-114,-110,-110,-145,118,-110,-110,-105,-115,-148,124,-105,-115,-101,-111,-144,127,-107,-107,-105,-115,-145,125,-110,-110,-113,-110,-150,120,-110,-113,-110,-110,-145,125,-110,-110,-105.0,-115.0,-150.0,129.0,-110,-110,-105,-115,-150,125,-105,-115
NBA,2026-03-10 06:35:38,2026-03-10 20:10,f9792224d24b63aa28a24224ea099225,Houston Rockets,Toronto Raptors,No,1301.2,Yes,West,Southwest,East,Atlantic,-109.78,-109.78,-4.61,4.61,-188.56,157.78,-110.44,-109.22,217.56,-105,-115,-188,158,-112,-108,-110,-110,-182,146,-110,-110,-115,-105,-192,160,-112,-108,-106,-106,-185,162,-107,-107,-110,-110,-185,161,-110,-110,-112,-112,-200,155,-113,-110,-105,-115,-185,160,-110,-110,-110.0,-110.0,-190.0,163.0,-110,-110,-115,-105,-190,155,-110,-110
NBA,2026-03-10 06:35:38,2026-03-10 20:10,133cc0d0b8283948b909c38cc93d2d62,Milwaukee Bucks,Phoenix Suns,No,1463.9,Yes,East,Central,West,Pacific,-108.67,-110.89,1.67,-1.67,106.33,-127.67,-109.44,-110.22,217.33,-110,-110,110,-130,-108,-112,-110,-110,112,-137,-110,-110,-110,-110,114,-135,-110,-110,-101,-111,109,-125,-107,-107,-105,-115,107,-127,-110,-110,-112,-112,100,-125,-110,-113,-110,-110,100,-120,-110,-110,-110.0,-110.0,100.0,-120.0,-110,-110,-110,-110,105,-130,-110,-110
NBA,2026-03-10 06:35:38,2026-03-10 22:10,25729251b2eb774717c748181096b0be,Portland Trail Blazers,Charlotte Hornets,No,2289.6,Yes,West,Northwest,East,Southeast,-110.11,-109.33,2.89,-2.89,125.89,-149.22,-110.22,-109.33,227.11,-110,-110,130,-154,-110,-110,-110,-110,123,-152,-110,-110,-105,-115,124,-148,-115,-105,-111,-101,127,-144,-107,-107,-115,-105,125,-145,-110,-110,-110,-113,120,-150,-110,-112,-110,-110,130,-150,-110,-110,-110.0,-110.0,129.0,-150.0,-110,-110,-110,-110,125,-150,-110,-110
NBA,2026-03-10 06:35:38,2026-03-10 22:10,c248f3294c1e35f27919ab0f49322752,Golden State Warriors,Chicago Bulls,No,1855.4,Yes,West,Pacific,East,Central,-109.44,-110.0,-6.5,6.5,-241.88,197.75,-110.44,-109.22,227.72,-110,-110,-240,198,-114,-106,-110,-110,-250,196,-110,-110,-110,-110,-238,195,-110,-110,-106,-106,-232,198,-107,-107,-110,-110,-235,195,-110,-110,-109,-114,-245,190,-113,-110,-110,-110,-260,215,-110,-110,-110.0,-110.0,,,-110,-110,-110,-110,-235,195,-110,-110
NBA,2026-03-10 06:35:38,2026-03-10 22:10,eacde0007a133dae3e1eee3630c04a60,Sacramento Kings,Indiana Pacers,No,1887.3,Yes,West,Pacific,East,Central,-109.33,-110.11,-4.22,4.22,-173.22,145.67,-111.11,-108.78,236.22,-110,-110,-174,146,-110,-110,-110,-110,-172,141,-110,-110,-112,-108,-180,150,-110,-110,-104,-108,-173,153,-113,-102,-108,-112,-173,152,-115,-105,-115,-108,-167,133,-112,-112,-105,-115,-165,140,-110,-110,-110.0,-110.0,-170.0,146.0,-110,-110,-110,-110,-185,150,-110,-110
