League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-04-05 18:31:18,2026-04-05 18:12,4f3d29a0317850ac56b0c6db31223705,Cleveland Cavaliers,Indiana Pacers,Yes,263.5,No,East,Central,East,Central,-80.83,-83.33,-13.92,13.92,-1227.83,621.67,-78.17,-119.5,244.5,-140,106,-1200,630,-112,-118,-110,-120,-1150,650,-120,-110,-115,-118,-1667,700,-117,-118,-110.0,-115.0,-1600.0,750.0,-110.0,-118.0,-110.0,-120.0,-750.0,450.0,-120.0,-110.0,100.0,-133.0,-1000.0,550.0,110.0,-143.0,,,,,,,,,,,,,,,,,,
NBA,2026-04-05 18:31:18,2026-04-05 19:10,8bce3373da945128589ce3cabae25443,Minnesota Timberwolves,Charlotte Hornets,No,939.7,Yes,West,Northwest,East,Southeast,-85.33,-110.78,4.44,-4.44,150.33,-178.44,-109.33,-110.44,226.06,-110,-110,152,-180,-110,-110,-105,-115,154,-185,-105,-115,-115,-108,133,-167,-112,-112,-105.0,-105.0,145.0,-175.0,-110.0,-110.0,100.0,-120.0,155.0,-180.0,-110.0,-110.0,-110.0,-110.0,147.0,-182.0,-110.0,-110.0,-102.0,-110.0,159.0,-181.0,-107.0,-107.0,-106.0,-114.0,158.0,-181.0,-110.0,-110.0,-115.0,-105.0,150.0,-175.0,-110.0,-110.0
NBA,2026-04-05 18:31:18,2026-04-05 19:10,9f54cd277a7d7a9fe0de35d568dfa4af,New Orleans Pelicans,Orlando Magic,No,534.1,Yes,West,Southwest,East,Southeast,-109.22,-110.33,6.39,-6.39,195.56,-238.44,-109.0,-110.67,236.39,-110,-110,190,-230,-106,-114,-110,-110,190,-230,-105,-115,-112,-112,190,-245,-113,-110,-110.0,-110.0,190.0,-235.0,-110.0,-110.0,-105.0,-115.0,195.0,-235.0,-110.0,-110.0,-110.0,-110.0,191.0,-238.0,-110.0,-110.0,-106.0,-106.0,206.0,-243.0,-107.0,-107.0,-110.0,-110.0,203.0,-245.0,-110.0,-110.0,-110.0,-110.0,205.0,-245.0,-110.0,-110.0
NBA,2026-04-05 18:31:18,2026-04-05 19:10,5441d9423f924c9a489ca00a7e321466,Oklahoma City Thunder,Utah Jazz,Yes,863.6,Yes,West,Northwest,West,Northwest,-112.22,-85.11,-24.5,24.5,-11233.43,2132.57,-111.11,-108.78,239.17,-112,-108,-10000,2500,-110,-110,-110,-110,-9000,2500,-110,-110,-112,-112,-10000,1400,-112,-112,-110.0,-110.0,-10000.0,1650.0,-110.0,-110.0,-120.0,100.0,-10000.0,1600.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-111.0,-101.0,-14634.0,2278.0,-113.0,-102.0,-115.0,-105.0,-15000.0,3000.0,-115.0,-105.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2026-04-05 18:31:18,2026-04-05 19:40,c6dfafffbada89cc908addd3a1f7748b,Dallas Mavericks,Los Angeles Lakers,No,1240.8,Yes,West,Southwest,West,Pacific,-109.78,-109.67,1.5,-1.5,55.44,-120.0,-110.11,-109.67,233.83,-110,-110,102,-120,-110,-110,-108,-112,-102,-118,-112,-108,-114,-109,-103,-122,-112,-112,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-110.0,-110.0,100.0,-122.0,-110.0,-110.0,-106.0,-106.0,102.0,-118.0,-107.0,-107.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0
NBA,2026-04-05 18:31:18,2026-04-05 21:10,f01f7ab4597dc0c1a08e837d9b9beae9,Sacramento Kings,Los Angeles Clippers,Yes,365.7,Yes,West,Pacific,West,Pacific,-110.22,-109.22,13.44,-13.44,573.0,-867.22,-109.0,-110.67,228.56,-114,-106,570,-820,-106,-114,-112,-108,600,-900,-108,-112,-110,-113,550,-910,-110,-113,-110.0,-110.0,575.0,-900.0,-110.0,-110.0,-110.0,-110.0,525.0,-800.0,-110.0,-110.0,-110.0,-110.0,597.0,-1000.0,-110.0,-110.0,-106.0,-106.0,593.0,-815.0,-107.0,-107.0,-110.0,-110.0,577.0,-830.0,-110.0,-110.0,-110.0,-110.0,570.0,-830.0,-110.0,-110.0
NBA,2026-04-05 18:31:18,2026-04-05 22:10,8516988340b00d09278e04abd65885ad,Golden State Warriors,Houston Rockets,No,1643.9,Yes,West,Pacific,West,Southwest,-109.0,-110.44,3.61,-3.61,137.67,-163.67,-110.44,-109.22,225.83,-105,-115,138,-164,-114,-106,-105,-115,140,-166,-115,-105,-109,-114,133,-167,-113,-110,-110.0,-110.0,135.0,-165.0,-105.0,-115.0,-115.0,-105.0,145.0,-170.0,-110.0,-110.0,-110.0,-110.0,131.0,-161.0,-110.0,-110.0,-104.0,-108.0,136.0,-155.0,-107.0,-107.0,-108.0,-112.0,135.0,-155.0,-110.0,-110.0,-115.0,-105.0,146.0,-170.0,-110.0,-110.0
NBA,2026-04-05 18:31:18,2026-04-06 19:10,dce0f3f389617fa7daa990c209ee8acc,Atlanta Hawks,New York Knicks,No,748.3,Yes,East,Southeast,East,Atlantic,-39.33,-114.67,-1.17,1.17,-112.0,-107.67,-112.67,-108.33,229.5,-110,-110,-112,-104,-110,-110,100,-120,-110,-110,-115,-105,-108,-114,-114,-109,-113,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-04-05 18:31:18,2026-04-06 20:10,14dede373d304abbddc590d2bcc81e4e,San Antonio Spurs,Philadelphia 76ers,No,1502.4,Yes,West,Southwest,East,Atlantic,-112.33,-108.67,-8.33,8.33,-346.67,271.67,-111.67,-109.33,234.5,-114,-106,-355,285,-112,-108,-115,-105,-340,270,-110,-110,-108,-115,-345,260,-113,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-04-05 18:31:18,2026-04-06 21:10,76e52ccb4140e4936de62dbadae0808d,Denver Nuggets,Portland Trail Blazers,Yes,981.8,Yes,West,Northwest,West,Northwest,-109.0,-112.33,-8.83,8.83,-348.33,271.67,-109.33,-111.67,238.83,-110,-110,-330,265,-110,-110,-105,-115,-355,280,-105,-115,-112,-112,-360,270,-113,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
