League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-27 22:46:49,2025-11-28 19:40,Atlanta Hawks,Cleveland Cavaliers,No,553.9,Yes,-108.67,-111.0,175.78,-211.11,-112.11,-108.0,East,Southeast,East,Central,-108,-112,176,-210,-112,-108,-112,-113,165,-210,-114,-112,-112,-108,180,-218,-110,-110,-110,-110,170,-213,-110,-110,-110,-110,175,-210,-110,-110,-105,-115,177,-205,-115,-105,-101,-111,179,-204,-113,-102,-110,-110,180,-220,-110,-110,-110,-110,180,-210,-115,-105
NBA,2025-11-27 22:46:49,2025-11-28 19:40,Brooklyn Nets,Philadelphia 76ers,Yes,83.1,Yes,-112.0,-107.78,225.0,-278.44,-108.44,-111.56,East,Atlantic,East,Atlantic,-110,-110,220,-270,-114,-106,-109,-117,215,-278,-113,-112,-118,-102,230,-285,-112,-108,-110,-110,225,-286,-110,-110,-110,-110,220,-270,-110,-110,-115,-105,226,-275,-105,-115,-111,-101,229,-272,-102,-113,-115,-105,230,-295,-105,-115,-110,-110,230,-275,-105,-115
NBA,2025-11-27 22:46:49,2025-11-28 19:40,Charlotte Hornets,Chicago Bulls,No,589.3,Yes,-111.44,-108.22,115.78,-137.89,-110.22,-109.78,East,Southeast,East,Central,-110,-110,118,-142,-110,-110,-115,-110,114,-141,-113,-113,-112,-108,114,-135,-112,-108,-110,-110,113,-139,-110,-110,-110,-110,120,-140,-110,-110,-115,-105,118,-138,-110,-110,-111,-101,120,-136,-107,-107,-110,-110,115,-140,-110,-110,-110,-110,110,-130,-110,-110
NBA,2025-11-27 22:46:49,2025-11-28 19:40,Detroit Pistons,Orlando Magic,No,956.1,Yes,-111.0,-108.56,-148.89,125.89,-108.89,-111.22,East,Central,East,Southeast,-106,-114,-146,124,-114,-106,-109,-115,-157,125,-114,-112,-115,-105,-148,124,-110,-110,-110,-110,-145,119,-110,-110,-115,-105,-145,125,-110,-110,-110,-110,-150,130,-105,-115,-106,-106,-149,132,-102,-113,-118,-102,-150,125,-110,-110,-110,-110,-150,129,-105,-115
NBA,2025-11-27 22:46:49,2025-11-28 19:40,Indiana Pacers,Washington Wizards,No,492.8,Yes,-110.22,-109.33,-261.0,212.11,-110.56,-109.33,East,Central,East,Southeast,-112,-108,-250,205,-106,-114,-114,-110,-265,200,-112,-113,-110,-110,-258,210,-115,-105,-110,-110,-263,208,-110,-110,-110,-110,-260,215,-110,-110,-110,-110,-260,215,-110,-110,-106,-106,-258,218,-107,-107,-110,-110,-275,220,-115,-105,-110,-110,-260,218,-110,-110
NBA,2025-11-27 22:46:49,2025-11-28 19:40,New York Knicks,Milwaukee Bucks,No,734.3,Yes,-110.78,-109.0,-294.33,238.0,-109.67,-110.33,East,Atlantic,East,Central,-114,-106,-295,240,-110,-110,-114,-112,-295,225,-112,-114,-108,-112,-298,240,-108,-112,-110,-110,-294,229,-110,-110,-105,-115,-300,250,-110,-110,-115,-105,-290,237,-110,-110,-111,-101,-287,241,-107,-107,-110,-110,-300,240,-110,-110,-110,-110,-290,240,-110,-110
NBA,2025-11-27 22:46:49,2025-11-28 21:40,Denver Nuggets,San Antonio Spurs,No,803.4,Yes,-108.78,-110.89,-371.22,292.33,-110.56,-109.44,West,Northwest,West,Southwest,-108,-112,-360,290,-114,-106,-112,-113,-385,290,-114,-112,-112,-108,-380,300,-105,-115,-110,-110,-370,283,-110,-110,-105,-115,-350,275,-110,-110,-108,-112,-375,299,-110,-110,-104,-108,-371,304,-107,-107,-110,-110,-375,290,-115,-105,-110,-110,-375,300,-110,-110
NBA,2025-11-27 22:46:49,2025-11-28 21:40,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-109.56,-110.11,-1133.89,697.67,-110.22,-109.56,West,Northwest,West,Pacific,-110,-110,-1350,810,-114,-106,-110,-115,-1115,650,-114,-110,-110,-110,-1050,675,-112,-108,-110,-110,-1111,650,-110,-110,-110,-110,-1200,700,-110,-110,-110,-110,-1000,661,-110,-110,-106,-106,-979,683,-107,-107,-110,-110,-1400,800,-105,-115,-110,-110,-1000,650,-110,-110
NBA,2025-11-27 22:46:49,2025-11-28 21:40,Utah Jazz,Sacramento Kings,No,533.2,Yes,-109.56,-110.11,-121.44,11.78,-111.11,-108.89,West,Northwest,West,Pacific,-110,-110,-116,-102,-114,-106,-113,-112,-117,-107,-112,-114,-112,-108,-118,-102,-112,-108,-110,-110,-133,109,-110,-110,-110,-110,-125,105,-110,-110,-110,-110,-118,-102,-110,-110,-106,-106,-116,100,-107,-107,-105,-115,-130,105,-115,-105,-110,-110,-120,100,-110,-110
NBA,2025-11-27 22:46:49,2025-11-28 22:10,Los Angeles Lakers,Dallas Mavericks,No,1240.8,Yes,-112.33,-107.44,-509.89,380.78,-111.89,-108.22,West,Pacific,West,Southwest,-110,-110,-510,390,-112,-108,-113,-113,-530,370,-112,-114,-112,-108,-520,390,-115,-105,-110,-110,-556,389,-110,-110,-115,-105,-510,370,-110,-110,-115,-105,-490,377,-115,-105,-111,-101,-483,384,-113,-102,-110,-110,-500,375,-110,-110,-115,-105,-490,382,-110,-110
