League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-28 13:33:49,2025-11-28 19:40,Atlanta Hawks,Cleveland Cavaliers,No,553.9,Yes,-109.78,-110.0,196.22,-238.22,-110.0,-110.0,East,Southeast,East,Central,-108,-112,215,-260,-110,-110,-114,-112,190,-245,-112,-114,-110,-110,195,-238,-110,-110,-110,-110,189,-238,-110,-110,-110,-110,195,-235,-110,-110,-110,-110,192,-230,-108,-112,-106,-106,195,-228,-105,-109,-110,-110,195,-235,-115,-105,-110,-110,200,-235,-110,-110
NBA,2025-11-28 13:33:49,2025-11-28 19:40,Brooklyn Nets,Philadelphia 76ers,Yes,83.1,Yes,-109.78,-110.0,221.33,-272.78,-109.33,-110.67,East,Atlantic,East,Atlantic,-112,-108,220,-270,-108,-112,-113,-113,230,-295,-114,-112,-112,-108,225,-278,-110,-110,-110,-110,210,-270,-110,-110,-110,-110,215,-260,-105,-115,-105,-115,222,-270,-110,-110,-101,-111,225,-267,-107,-107,-115,-105,220,-275,-110,-110,-110,-110,225,-270,-110,-110
NBA,2025-11-28 13:33:49,2025-11-28 19:40,Charlotte Hornets,Chicago Bulls,No,589.3,Yes,-85.11,-112.44,121.89,-145.11,-109.44,-110.56,East,Southeast,East,Central,-105,-115,118,-138,-110,-110,-112,-114,117,-148,-113,-113,-105,-115,124,-148,-110,-110,-110,-110,114,-141,-110,-110,-110,-110,125,-145,-110,-110,100,-120,122,-142,-110,-110,-104,-108,127,-144,-107,-107,-110,-110,125,-155,-105,-115,-110,-110,125,-145,-110,-110
NBA,2025-11-28 13:33:49,2025-11-28 19:40,Detroit Pistons,Orlando Magic,No,956.1,Yes,-108.56,-111.22,-153.78,129.22,-110.89,-109.11,East,Central,East,Southeast,-108,-112,-158,134,-108,-112,-109,-117,-155,125,-113,-113,-105,-115,-155,130,-115,-105,-110,-110,-152,123,-110,-110,-110,-110,-160,135,-110,-110,-112,-108,-150,130,-110,-110,-108,-104,-149,132,-107,-107,-105,-115,-155,125,-115,-105,-110,-110,-150,129,-110,-110
NBA,2025-11-28 13:33:49,2025-11-28 19:40,Indiana Pacers,Washington Wizards,No,492.8,Yes,-111.22,-108.44,-272.33,221.33,-110.22,-109.78,East,Central,East,Southeast,-110,-110,-260,215,-106,-114,-115,-110,-265,205,-114,-112,-115,-105,-278,225,-110,-110,-110,-110,-286,225,-110,-110,-110,-110,-280,230,-110,-110,-110,-110,-270,222,-110,-110,-106,-106,-267,225,-107,-107,-115,-105,-275,220,-115,-105,-110,-110,-270,225,-110,-110
NBA,2025-11-28 13:33:49,2025-11-28 19:40,New York Knicks,Milwaukee Bucks,No,734.3,Yes,-109.33,-110.33,-336.11,266.44,-110.0,-110.0,East,Atlantic,East,Central,-106,-114,-330,265,-114,-106,-110,-115,-335,250,-112,-114,-112,-108,-340,270,-112,-108,-110,-110,-333,255,-110,-110,-110,-110,-340,270,-110,-110,-110,-110,-330,267,-110,-110,-106,-106,-327,271,-107,-107,-110,-110,-350,275,-105,-115,-110,-110,-340,275,-110,-110
NBA,2025-11-28 13:33:49,2025-11-28 21:40,Denver Nuggets,San Antonio Spurs,No,803.4,Yes,-109.56,-110.22,-316.11,254.44,-110.56,-109.56,West,Northwest,West,Southwest,-110,-110,-300,245,-110,-110,-113,-113,-315,245,-112,-114,-112,-108,-325,260,-105,-115,-110,-110,-323,247,-110,-110,-105,-115,-300,250,-110,-110,-110,-110,-320,260,-115,-105,-106,-106,-317,263,-113,-102,-110,-110,-325,260,-110,-110,-110,-110,-320,260,-110,-110
NBA,2025-11-28 13:33:49,2025-11-28 21:40,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-111.0,-108.67,-1020.11,650.22,-107.89,-112.22,West,Northwest,West,Pacific,-110,-110,-1100,700,-106,-114,-110,-115,-1000,600,-113,-113,-118,-102,-1050,675,-110,-110,-110,-110,-1000,628,-110,-110,-110,-110,-1100,650,-110,-110,-110,-110,-950,637,-105,-115,-106,-106,-931,657,-102,-113,-115,-105,-1100,675,-105,-115,-110,-110,-950,630,-110,-110
NBA,2025-11-28 13:33:49,2025-11-28 21:40,Utah Jazz,Sacramento Kings,No,533.2,Yes,-109.56,-110.11,-129.56,108.33,-111.11,-109.0,West,Northwest,West,Pacific,-110,-110,-132,112,-108,-112,-115,-110,-134,108,-114,-112,-105,-115,-130,110,-110,-110,-110,-110,-132,108,-110,-110,-115,-105,-135,115,-110,-110,-110,-110,-125,105,-115,-105,-106,-106,-123,107,-113,-102,-105,-115,-130,105,-110,-110,-110,-110,-125,105,-110,-110
NBA,2025-11-28 13:33:49,2025-11-28 22:10,Los Angeles Lakers,Dallas Mavericks,No,1240.8,Yes,-109.89,-109.89,-410.0,316.44,-110.44,-109.44,West,Pacific,West,Southwest,-110,-110,-405,320,-112,-108,-113,-113,-385,285,-113,-112,-110,-110,-410,320,-112,-108,-110,-110,-455,336,-110,-110,-110,-110,-415,310,-110,-110,-110,-110,-400,316,-110,-110,-106,-106,-395,321,-107,-107,-110,-110,-425,320,-110,-110,-110,-110,-400,320,-110,-110
