League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-28 04:26:13,2025-11-28 19:40,Atlanta Hawks,Cleveland Cavaliers,No,553.9,Yes,-62.0,-113.33,176.44,-212.22,-112.11,-108.0,East,Southeast,East,Central,-108,-112,176,-210,-112,-108,-112,-113,165,-210,-114,-112,-112,-108,180,-218,-110,-110,-110,-110,170,-213,-110,-110,-110,-110,175,-210,-110,-110,105,-125,180,-210,-115,-105,109,-122,182,-209,-113,-102,-110,-110,180,-220,-110,-110,-110,-110,180,-210,-115,-105
NBA,2025-11-28 04:26:13,2025-11-28 19:40,Brooklyn Nets,Philadelphia 76ers,Yes,83.1,Yes,-109.56,-110.22,227.89,-281.44,-108.44,-111.67,East,Atlantic,East,Atlantic,-110,-110,220,-270,-110,-110,-113,-113,240,-315,-112,-114,-102,-118,230,-285,-112,-108,-110,-110,226,-286,-110,-110,-110,-110,220,-270,-110,-110,-115,-105,226,-275,-105,-115,-111,-101,229,-272,-102,-113,-105,-115,230,-285,-110,-110,-110,-110,230,-275,-105,-115
NBA,2025-11-28 04:26:13,2025-11-28 19:40,Charlotte Hornets,Chicago Bulls,No,589.3,Yes,-110.78,-108.78,115.89,-137.56,-109.44,-110.56,East,Southeast,East,Central,-110,-110,116,-136,-110,-110,-109,-115,112,-139,-113,-113,-112,-108,114,-135,-105,-115,-110,-110,113,-139,-110,-110,-110,-110,120,-140,-110,-110,-115,-105,118,-138,-110,-110,-111,-101,120,-136,-107,-107,-110,-110,115,-140,-110,-110,-110,-110,115,-135,-110,-110
NBA,2025-11-28 04:26:13,2025-11-28 19:40,Detroit Pistons,Orlando Magic,No,956.1,Yes,-112.0,-107.78,-129.56,108.89,-108.44,-111.44,East,Central,East,Southeast,-112,-108,-126,108,-110,-110,-112,-114,-129,104,-114,-110,-108,-112,-130,110,-110,-110,-110,-110,-123,101,-110,-110,-115,-105,-135,115,-110,-110,-115,-105,-130,110,-105,-115,-111,-101,-128,112,-102,-113,-110,-110,-135,110,-110,-110,-115,-105,-130,110,-105,-115
NBA,2025-11-28 04:26:13,2025-11-28 19:40,Indiana Pacers,Washington Wizards,No,492.8,Yes,-110.11,-109.56,-262.11,213.22,-108.44,-111.67,East,Central,East,Southeast,-110,-110,-260,215,-106,-114,-115,-110,-265,200,-113,-113,-110,-110,-258,210,-105,-115,-110,-110,-263,208,-110,-110,-110,-110,-260,215,-110,-110,-110,-110,-260,215,-105,-115,-106,-106,-258,218,-102,-113,-110,-110,-275,220,-115,-105,-110,-110,-260,218,-110,-110
NBA,2025-11-28 04:26:13,2025-11-28 19:40,New York Knicks,Milwaukee Bucks,No,734.3,Yes,-113.0,-84.56,-301.56,243.22,-110.89,-109.11,East,Atlantic,East,Central,-114,-106,-295,240,-108,-112,-112,-114,-315,235,-113,-113,-120,100,-298,240,-115,-105,-110,-110,-294,230,-110,-110,-110,-110,-300,250,-110,-110,-115,-105,-305,249,-110,-110,-111,-101,-302,252,-107,-107,-115,-105,-300,240,-115,-105,-110,-110,-305,253,-110,-110
NBA,2025-11-28 04:26:13,2025-11-28 21:40,Denver Nuggets,San Antonio Spurs,No,803.4,Yes,-108.0,-111.78,-360.67,284.11,-111.44,-108.44,West,Northwest,West,Southwest,-110,-110,-340,275,-110,-110,-113,-113,-375,275,-110,-114,-108,-112,-360,285,-110,-110,-110,-110,-370,285,-110,-110,-110,-110,-350,275,-110,-110,-105,-115,-360,289,-115,-105,-101,-111,-356,293,-113,-102,-105,-115,-375,290,-110,-110,-110,-110,-360,290,-115,-105
NBA,2025-11-28 04:26:13,2025-11-28 21:40,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-110.44,-109.33,-1144.78,704.67,-109.56,-110.44,West,Northwest,West,Pacific,-110,-110,-1200,750,-114,-106,-113,-113,-1115,650,-112,-114,-110,-110,-1100,700,-108,-112,-110,-110,-1111,650,-110,-110,-115,-105,-1100,650,-110,-110,-110,-110,-1100,709,-110,-110,-106,-106,-1077,733,-107,-107,-110,-110,-1400,800,-105,-115,-110,-110,-1100,700,-110,-110
NBA,2025-11-28 04:26:13,2025-11-28 21:40,Utah Jazz,Sacramento Kings,No,533.2,Yes,-107.78,-112.0,-120.89,34.22,-111.33,-108.67,West,Northwest,West,Pacific,-110,-110,-120,102,-114,-106,-114,-112,-122,100,-114,-112,-110,-110,-120,100,-112,-108,-110,-110,-133,109,-110,-110,-105,-115,-125,105,-110,-110,-105,-115,-115,-105,-110,-110,-101,-111,-113,-103,-107,-107,-110,-110,-125,105,-115,-105,-105,-115,-115,-105,-110,-110
NBA,2025-11-28 04:26:13,2025-11-28 22:10,Los Angeles Lakers,Dallas Mavericks,No,1240.8,Yes,-110.33,-109.44,-483.89,365.78,-111.11,-108.89,West,Pacific,West,Southwest,-110,-110,-430,350,-112,-108,-113,-113,-480,340,-113,-112,-105,-115,-485,370,-112,-108,-110,-110,-526,372,-110,-110,-115,-105,-500,360,-110,-110,-112,-108,-480,370,-115,-105,-108,-104,-474,377,-113,-102,-110,-110,-500,375,-105,-115,-110,-110,-480,378,-110,-110
