League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-21 22:39:11,2025-11-21 20:12,Chicago Bulls,Miami Heat,No,1189.0,Yes,-658.0,119.0,,,-125.0,-7.0,East,Central,East,Southeast,102,-136,,,-140,106,-110.0,-120.0,,,-110.0,-120.0,-124.0,-118.0,,,,,-2500.0,850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-21 22:39:11,2025-11-21 20:41,Dallas Mavericks,New Orleans Pelicans,Yes,443.2,Yes,-123.83,-42.67,-248.33,185.17,-117.83,-114.83,West,Southwest,West,Southwest,-146,110,-260.0,196.0,-114,-114,-130.0,100.0,-270.0,200.0,-115.0,-115.0,-114.0,-130.0,-235.0,165.0,-127.0,-115.0,-115.0,-115.0,-250.0,190.0,-125.0,-105.0,-118.0,-111.0,-200.0,160.0,-111.0,-125.0,-120.0,-110.0,-275.0,200.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-21 22:39:11,2025-11-21 21:11,Phoenix Suns,Minnesota Timberwolves,No,1279.2,Yes,-116.33,-82.83,86.83,-155.33,-112.67,-118.5,West,Pacific,West,Northwest,-138,104,126.0,-162.0,-112,-118,-110.0,-120.0,140.0,-180.0,-115.0,-115.0,-124.0,-118.0,115.0,-157.0,-118.0,-122.0,-105.0,-125.0,130.0,-165.0,-110.0,-118.0,-111.0,-118.0,-105.0,-118.0,-111.0,-118.0,-110.0,-120.0,115.0,-150.0,-110.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-21 22:39:11,2025-11-21 21:44,Houston Rockets,Denver Nuggets,No,879.8,Yes,-119.0,-79.83,-197.33,150.67,-114.0,-117.67,West,Southwest,West,Northwest,-140,106,-186.0,144.0,-118,-112,-105.0,-125.0,-230.0,175.0,-110.0,-120.0,-125.0,-117.0,-210.0,150.0,-120.0,-121.0,-118.0,-110.0,-225.0,175.0,-115.0,-115.0,-111.0,-118.0,-143.0,115.0,-111.0,-118.0,-115.0,-115.0,-190.0,145.0,-110.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-21 22:39:11,2025-11-21 22:11,Utah Jazz,Oklahoma City Thunder,Yes,863.6,Yes,-120.0,-111.33,270.0,-399.17,-117.17,-114.33,West,Northwest,West,Northwest,-125,-106,230.0,-310.0,-108,-122,-125.0,-105.0,310.0,-445.0,-115.0,-115.0,-120.0,-122.0,340.0,-590.0,-124.0,-118.0,-115.0,-110.0,310.0,-450.0,-118.0,-110.0,-125.0,-105.0,180.0,-250.0,-118.0,-111.0,-110.0,-120.0,250.0,-350.0,-120.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-21 22:39:11,2025-11-21 22:12,Golden State Warriors,Portland Trail Blazers,No,536.0,Yes,-78.5,-119.17,-212.0,159.83,-114.67,-116.0,West,Pacific,West,Northwest,102,-136,-172.0,134.0,-110,-118,-120.0,-110.0,-215.0,165.0,-115.0,-115.0,-122.0,-120.0,-225.0,155.0,-120.0,-122.0,-110.0,-118.0,-190.0,145.0,-110.0,-115.0,-111.0,-111.0,-250.0,195.0,-118.0,-111.0,-110.0,-120.0,-220.0,165.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-21 22:39:11,2025-11-22 13:10,Charlotte Hornets,Los Angeles Clippers,No,2127.1,No,-107.0,-111.86,110.5,-132.75,-109.29,-109.86,East,Southeast,West,Pacific,-108,-112,106.0,-124.0,-108,-112,-110.0,-110.0,114.0,-135.0,-110.0,-110.0,,,,,,,-110.0,-110.0,115.0,-140.0,-110.0,-110.0,-110.0,-110.0,107.0,-132.0,-110.0,-110.0,,,,,,,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0
NBA,2025-11-21 22:39:11,2025-11-22 17:10,Orlando Magic,New York Knicks,No,940.3,No,-108.71,-110.14,103.0,-123.0,-109.57,-109.57,East,Southeast,East,Atlantic,-110,-110,102.0,-120.0,-110,-110,-105.0,-115.0,105.0,-125.0,-110.0,-110.0,,,,,,,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,-110.0,-110.0,100.0,-122.0,-110.0,-110.0,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-21 22:39:11,2025-11-22 19:10,New Orleans Pelicans,Atlanta Hawks,No,424.9,Yes,-111.0,-109.0,232.0,-292.0,-110.0,-110.0,West,Southwest,East,Southeast,-112,-108,235.0,-290.0,-110,-110,,,,,,,,,,,,,,,,,,,-110.0,-110.0,229.0,-294.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-21 22:39:11,2025-11-22 20:10,Chicago Bulls,Washington Wizards,No,598.0,Yes,-110.0,-110.0,-513.0,378.0,-110.0,-110.0,East,Central,East,Southeast,-110,-110,-500.0,385.0,-110,-110,,,,,,,,,,,,,,,,,,,-110.0,-110.0,-526.0,371.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
