League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2025-11-24 07:53:04,2025-11-24 19:10,Toronto Raptors,Cleveland Cavaliers,No,189.3,Yes,-109.44,-110.33,111.44,-132.78,-108.56,-111.22,East,Atlantic,East,Central,-110,-110,108,-126,-110,-110,-110,-110,107,-132,-110,-110,-112,-114,106,-132,-110,-114,-112,-108,120,-142,-110,-110,-101,-111,112,-128,-107,-107,-105,-115,110,-130,-110,-110,-115,-105,110,-135,-105,-115,-110,-110,110,-130,-105,-115,-110,-110,120,-140,-110,-110
NBA,2025-11-24 07:53:04,2025-11-24 19:10,Indiana Pacers,Detroit Pistons,Yes,240.5,Yes,-110.11,-109.56,321.11,-416.33,-110.89,-109.11,East,Central,East,Central,-110,-110,340,-430,-110,-110,-110,-110,313,-417,-110,-110,-115,-110,310,-435,-114,-112,-105,-115,330,-425,-115,-105,-106,-106,321,-395,-108,-106,-110,-110,316,-400,-111,-109,-110,-110,325,-425,-110,-110,-110,-110,320,-400,-110,-110,-115,-105,315,-420,-110,-110
NBA,2025-11-24 07:53:04,2025-11-24 19:40,Brooklyn Nets,New York Knicks,Yes,4.8,Yes,-111.22,-108.44,580.22,-882.56,-109.33,-110.67,East,Atlantic,East,Atlantic,-110,-110,590,-850,-110,-110,-110,-110,528,-833,-110,-110,-115,-110,575,-1000,-112,-114,-105,-115,600,-900,-105,-115,-111,-101,590,-810,-107,-107,-115,-105,574,-825,-110,-110,-105,-115,625,-1000,-110,-110,-115,-105,565,-825,-110,-110,-115,-105,575,-900,-110,-110
NBA,2025-11-24 07:53:04,2025-11-24 19:40,Miami Heat,Dallas Mavericks,No,1111.8,Yes,-111.11,-108.67,-322.44,257.89,-109.67,-110.11,East,Southeast,West,Southwest,-114,-106,-330,265,-110,-110,-110,-110,-345,267,-110,-110,-114,-112,-335,250,-110,-114,-110,-110,-325,260,-110,-110,-109,-103,-302,252,-107,-107,-113,-107,-305,249,-110,-110,-105,-115,-325,260,-110,-110,-110,-110,-305,253,-110,-110,-115,-105,-330,265,-110,-110
NBA,2025-11-24 07:53:04,2025-11-24 20:10,New Orleans Pelicans,Chicago Bulls,No,833.6,Yes,-109.33,-110.44,175.33,-211.0,-112.44,-107.67,West,Southwest,East,Central,-106,-114,180,-215,-110,-110,-110,-110,172,-217,-110,-110,-112,-114,160,-200,-112,-114,-115,-105,180,-218,-112,-108,-101,-111,179,-204,-113,-102,-105,-115,177,-205,-115,-105,-115,-105,170,-210,-115,-105,-105,-115,175,-205,-115,-105,-115,-105,185,-225,-110,-110
NBA,2025-11-24 07:53:04,2025-11-24 20:10,Memphis Grizzlies,Denver Nuggets,No,880.4,Yes,-108.89,-110.78,262.78,-328.89,-111.0,-108.89,West,Southwest,West,Northwest,-106,-114,260,-320,-112,-108,-110,-110,260,-333,-110,-110,-113,-112,230,-305,-115,-110,-115,-105,270,-340,-115,-105,-101,-111,267,-322,-107,-107,-105,-115,263,-325,-110,-110,-110,-110,280,-350,-110,-110,-110,-110,265,-325,-110,-110,-110,-110,270,-340,-110,-110
NBA,2025-11-24 07:53:04,2025-11-24 20:10,Milwaukee Bucks,Portland Trail Blazers,No,1718.4,Yes,-110.0,-109.78,-126.0,105.44,-110.44,-109.56,East,Central,West,Northwest,-110,-110,-132,112,-106,-114,-110,-110,-125,102,-110,-110,-114,-112,-132,106,-114,-112,-110,-110,-122,102,-112,-108,-106,-106,-123,107,-107,-107,-110,-110,-125,105,-110,-110,-110,-110,-125,105,-115,-105,-110,-110,-125,105,-110,-110,-110,-110,-125,105,-110,-110
NBA,2025-11-24 07:53:04,2025-11-24 21:40,Phoenix Suns,Houston Rockets,No,1016.4,Yes,-109.22,-110.33,196.56,-239.0,-109.44,-110.56,West,Pacific,West,Southwest,-110,-110,205,-250,-114,-106,-110,-110,201,-256,-110,-110,-109,-115,180,-230,-114,-112,-108,-112,195,-238,-105,-115,-106,-106,198,-232,-107,-107,-110,-110,195,-235,-110,-110,-110,-110,195,-235,-105,-115,-110,-110,200,-235,-110,-110,-110,-110,200,-240,-110,-110
NBA,2025-11-24 07:53:04,2025-11-24 22:10,Golden State Warriors,Utah Jazz,No,598.7,Yes,-112.11,-85.44,-877.56,582.0,-110.22,-109.78,West,Pacific,West,Northwest,-110,-110,-820,570,-110,-110,-110,-110,-909,559,-110,-110,-113,-113,-835,540,-112,-114,-120,100,-900,600,-108,-112,-106,-106,-834,603,-107,-107,-110,-110,-850,586,-110,-110,-115,-105,-1000,625,-110,-110,-110,-110,-850,580,-110,-110,-115,-105,-900,575,-115,-105
NBA,2025-11-24 07:53:04,2025-11-24 22:10,Sacramento Kings,Minnesota Timberwolves,No,1514.6,Yes,-108.44,-111.33,318.0,-411.33,-110.0,-110.11,West,Pacific,West,Northwest,-110,-110,330,-420,-110,-110,-110,-110,310,-417,-110,-110,-113,-113,310,-420,-112,-114,-112,-108,310,-395,-105,-115,-101,-111,321,-395,-113,-102,-105,-115,316,-400,-115,-105,-110,-110,325,-425,-105,-115,-110,-110,320,-400,-110,-110,-105,-115,320,-430,-110,-110
