League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-03 18:41:22,2026-05-03 19:40,a463f640631f8b0580966b909965de14,Cleveland Cavaliers,Toronto Raptors,No,189.3,Yes,East,Central,East,Atlantic,-108.67,-109.78,-8.5,8.5,-333.11,264.22,-111.67,-108.89,209.67,-115,-105,-325,260,-110,-110,-110,-110,-330,265,-110,-110,-106,-114,-326,264,-115,-105,-105,-105,-325,260,-118,-110,-112,-112,-360,265,-110,-113,-105,-107,-323,268,-107,-107,-110,-110,-350,275,-115,-105,-110,-110,-334,256,-110,-110,-105.0,-115.0,-325.0,265.0,-110.0,-110.0
NBA,2026-05-03 18:41:22,2026-05-04 20:10,b11391b35b7a0cf79deeef3bb3eb9009,New York Knicks,Philadelphia 76ers,Yes,85.5,Yes,East,Atlantic,East,Atlantic,-81.12,-113.38,-7.5,7.5,-291.0,233.62,-108.88,-110.75,212.88,-108,-112,-298,240,-110,-110,-108,-112,-290,235,-110,-110,-105,-115,-285,234,-110,-110,-105,-115,-295,230,-105,-115,-112,-112,-295,225,-114,-109,-101,-111,-282,237,-107,-107,100,-120,-280,230,-105,-115,-110,-110,-303,238,-110,-110,,,,,,
NBA,2026-05-03 18:41:22,2026-05-04 21:40,219920e3a715ceb3dc69f3638f7571d5,San Antonio Spurs,Minnesota Timberwolves,No,1109.0,Yes,West,Southwest,West,Northwest,-108.38,-111.0,-13.31,13.31,-757.12,518.0,-110.38,-109.25,217.12,-105,-115,-800,550,-108,-112,-110,-110,-750,530,-112,-108,-111,-109,-675,491,-113,-107,-105,-115,-750,525,-110,-110,-109,-114,-910,550,-110,-113,-107,-105,-664,502,-110,-104,-110,-110,-675,460,-110,-110,-110,-110,-833,536,-110,-110,,,,,,
NBA,2026-05-03 18:41:22,2026-05-05 21:40,689b4554b0b10e67f46872eb2e74b98d,Oklahoma City Thunder,Los Angeles Lakers,No,1182.5,Yes,West,Northwest,West,Pacific,-110.38,-109.12,-15.75,15.75,-1310.38,761.0,-109.25,-110.38,213.44,-110,-110,-1100,700,-110,-110,-115,-105,-1350,810,-110,-110,-110,-110,-1200,754,-107,-113,-115,-105,-1400,775,-110,-110,-112,-112,-1430,750,-113,-110,-106,-106,-1174,781,-104,-110,-105,-115,-1400,750,-110,-110,-110,-110,-1429,768,-110,-110,,,,,,
