League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-18 13:36:14,2025-11-18 19:10,Orlando Magic,Golden State Warriors,No,2439.6,Yes,-112.33,-107.33,134.56,-159.22,-110.56,-109.33,East,Southeast,West,Pacific,-112,-108,136,-162,-108,-112,-118,-102,136,-162,-110,-110,-110,-110,127,-156,-110,-110,-115,-110,128,-159,-110,-115,-111,-101,138,-157,-107,-107,-115,-105,137,-157,-110,-110,-115,-105,135,-160,-115,-105,-105,-115,140,-165,-115,-105,-110,-110,134,-155,-110,-110
NBA,2025-11-18 13:36:14,2025-11-18 19:40,Brooklyn Nets,Boston Celtics,Yes,190.6,Yes,-109.11,-110.67,411.78,-559.67,-112.78,-108.11,East,Atlantic,East,Atlantic,-108,-112,420,-560,-112,-108,-118,-102,410,-550,-112,-108,-110,-110,424,-594,-110,-110,-109,-117,400,-590,-115,-110,-104,-108,417,-532,-113,-102,-108,-112,409,-540,-115,-105,-105,-115,400,-550,-118,-110,-110,-110,390,-550,-110,-110,-110,-110,436,-571,-110,-110
NBA,2025-11-18 13:36:14,2025-11-18 20:10,Atlanta Hawks,Detroit Pistons,No,596.5,Yes,-109.89,-109.89,-112.0,-107.78,-111.22,-108.78,East,Southeast,East,Central,-108,-112,-102,-116,-108,-112,-110,-110,-115,-105,-112,-108,-110,-110,-112,-109,-110,-110,-114,-112,-108,-115,-113,-112,-109,-103,-113,-103,-113,-102,-113,-107,-115,-105,-115,-105,-105,-115,-118,-102,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-115,-105,-110,-110
NBA,2025-11-18 13:36:14,2025-11-18 20:10,San Antonio Spurs,Memphis Grizzlies,Yes,628.7,Yes,-111.33,-108.33,-240.33,196.78,-110.11,-109.89,West,Southwest,West,Southwest,-110,-110,-240,194,-110,-110,-118,-102,-230,190,-110,-110,-110,-110,-246,196,-110,-110,-110,-115,-250,195,-114,-112,-106,-106,-232,198,-107,-107,-105,-115,-235,195,-110,-110,-118,-102,-250,200,-110,-110,-115,-105,-240,200,-110,-110,-110,-110,-240,203,-110,-110
NBA,2025-11-18 13:36:14,2025-11-18 22:40,Los Angeles Lakers,Utah Jazz,No,580.8,Yes,-110.78,-109.0,-691.67,486.56,-112.22,-107.78,West,Pacific,West,Northwest,-114,-106,-700,500,-110,-110,-115,-105,-650,470,-115,-105,-110,-110,-776,514,-110,-110,-113,-113,-670,440,-112,-113,-103,-109,-634,483,-113,-102,-107,-113,-645,472,-115,-105,-115,-105,-800,550,-115,-105,-110,-110,-675,460,-110,-110,-110,-110,-675,490,-110,-110
NBA,2025-11-18 13:36:14,2025-11-18 23:10,Portland Trail Blazers,Phoenix Suns,No,1006.0,Yes,-110.11,-109.67,-140.0,118.0,-109.44,-110.56,West,Northwest,West,Pacific,-112,-108,-142,120,-110,-110,-115,-105,-142,120,-110,-110,-110,-110,-135,110,-110,-110,-114,-112,-143,115,-113,-113,-103,-109,-138,122,-107,-107,-107,-113,-140,120,-110,-110,-110,-110,-140,115,-110,-110,-110,-110,-140,120,-105,-115,-110,-110,-140,120,-110,-110
