League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2025-12-04 22:53:14,2025-12-05 19:10,Boston Celtics,Los Angeles Lakers,No,2597.9,Yes,-115.33,-106.67,-274.33,218.33,-108.33,-113.0,East,Atlantic,West,Pacific,-114,-106,-250,205,-110,-110,-115,-105,-278,225,-105,-115,-117,-109,-295,225,-110,-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-04 22:53:14,2025-12-05 19:10,Orlando Magic,Miami Heat,Yes,203.7,Yes,-110.0,-109.75,-212.38,175.62,-110.0,-110.0,East,Southeast,East,Southeast,-112,-108,-190,160,-110,-110,-110,-110,-218,180,-105,-115,-112,-114,-225,175,-113,-113,-110.0,-110.0,-217.0,173.0,-110.0,-110.0,-110.0,-110.0,-210.0,180.0,-110.0,-110.0,-106.0,-106.0,-209.0,182.0,-107.0,-107.0,-110.0,-110.0,-220.0,180.0,-115.0,-105.0,-110.0,-110.0,-210.0,175.0,-110.0,-110.0
NBA,2025-12-04 22:53:14,2025-12-05 19:40,Atlanta Hawks,Denver Nuggets,No,1212.6,Yes,-111.12,-108.62,224.25,-278.0,-110.25,-109.75,East,Southeast,West,Northwest,-114,-106,215,-260,-110,-110,-115,-105,220,-270,-112,-108,-109,-117,230,-305,-113,-113,-110.0,-110.0,223.0,-286.0,-110.0,-110.0,-110.0,-110.0,219.0,-265.0,-110.0,-110.0,-106.0,-106.0,222.0,-263.0,-107.0,-107.0,-110.0,-110.0,240.0,-300.0,-110.0,-110.0,-115.0,-105.0,225.0,-275.0,-110.0,-110.0
NBA,2025-12-04 22:53:14,2025-12-05 19:40,Toronto Raptors,Charlotte Hornets,No,586.0,Yes,-110.12,-109.62,-345.25,272.25,-109.88,-110.12,East,Atlantic,East,Southeast,-110,-110,-330,265,-114,-106,-108,-112,-355,280,-110,-110,-112,-114,-345,260,-113,-113,-110.0,-110.0,-345.0,263.0,-110.0,-110.0,-110.0,-110.0,-345.0,278.0,-110.0,-110.0,-106.0,-106.0,-342.0,282.0,-107.0,-107.0,-110.0,-110.0,-350.0,275.0,-105.0,-115.0,-115.0,-105.0,-350.0,275.0,-110.0,-110.0
NBA,2025-12-04 22:53:14,2025-12-05 19:40,Cleveland Cavaliers,San Antonio Spurs,No,1254.7,Yes,-109.38,-110.38,-201.25,167.62,-109.88,-110.12,East,Central,West,Southwest,-110,-110,-196,164,-112,-108,-102,-118,-205,170,-108,-112,-112,-114,-205,163,-112,-114,-110.0,-110.0,-204.0,163.0,-110.0,-110.0,-115.0,-105.0,-195.0,170.0,-110.0,-110.0,-111.0,-101.0,-195.0,171.0,-107.0,-107.0,-105.0,-115.0,-200.0,165.0,-110.0,-110.0,-110.0,-110.0,-210.0,175.0,-110.0,-110.0
NBA,2025-12-04 22:53:14,2025-12-05 19:40,Detroit Pistons,Portland Trail Blazers,No,1968.3,Yes,-106.75,-112.88,-296.5,238.62,-111.88,-108.0,East,Central,West,Northwest,-108,-112,-300,245,-110,-110,-105,-115,-305,245,-115,-105,-115,-110,-286,215,-113,-112,-110.0,-110.0,-294.0,231.0,-110.0,-110.0,-105.0,-115.0,-300.0,245.0,-110.0,-110.0,-101.0,-111.0,-297.0,248.0,-107.0,-107.0,-105.0,-115.0,-300.0,240.0,-115.0,-105.0,-105.0,-115.0,-290.0,240.0,-115.0,-105.0
NBA,2025-12-04 22:53:14,2025-12-05 19:40,New York Knicks,Utah Jazz,No,1973.2,Yes,-110.88,-108.88,-1161.0,706.0,-109.75,-110.0,East,Atlantic,West,Northwest,-112,-108,-950,640,-110,-110,-110,-110,-1200,750,-112,-108,-114,-112,-1250,650,-114,-110,-110.0,-110.0,-1111.0,641.0,-110.0,-110.0,-115.0,-105.0,-1100.0,709.0,-110.0,-110.0,-111.0,-101.0,-1077.0,733.0,-107.0,-107.0,-110.0,-110.0,-1400.0,825.0,-105.0,-115.0,-105.0,-115.0,-1200.0,700.0,-110.0,-110.0
NBA,2025-12-04 22:53:14,2025-12-05 20:10,Chicago Bulls,Indiana Pacers,Yes,166.3,Yes,-110.25,-109.5,-214.88,177.75,-109.88,-110.0,East,Central,East,Central,-114,-106,-205,172,-110,-110,-110,-110,-218,180,-110,-110,-112,-114,-215,170,-112,-113,-110.0,-110.0,-217.0,173.0,-110.0,-110.0,-110.0,-110.0,-210.0,180.0,-110.0,-110.0,-106.0,-106.0,-209.0,182.0,-107.0,-107.0,-110.0,-110.0,-225.0,185.0,-110.0,-110.0,-110.0,-110.0,-220.0,180.0,-110.0,-110.0
NBA,2025-12-04 22:53:14,2025-12-05 20:10,Houston Rockets,Phoenix Suns,No,1016.4,Yes,-113.5,-56.12,-561.0,410.12,-110.12,-109.88,West,Southwest,West,Pacific,-114,-106,-520,400,-110,-110,-112,-108,-575,425,-112,-108,-110,-114,-560,390,-112,-114,-110.0,-110.0,-556.0,393.0,-110.0,-110.0,-125.0,105.0,-550.0,415.0,-110.0,-110.0,-122.0,109.0,-542.0,423.0,-107.0,-107.0,-110.0,-110.0,-600.0,425.0,-110.0,-110.0,-105.0,-115.0,-585.0,410.0,-110.0,-110.0
NBA,2025-12-04 22:53:14,2025-12-05 20:10,Memphis Grizzlies,Los Angeles Clippers,No,1610.3,Yes,-109.12,-110.5,103.12,-123.38,-110.88,-109.12,West,Southwest,West,Pacific,-112,-108,102,-120,-112,-108,-105,-115,102,-122,-115,-105,-110,-115,102,-127,-113,-113,-110.0,-110.0,102.0,-125.0,-110.0,-110.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,-106.0,-106.0,107.0,-123.0,-107.0,-107.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0
