League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-02-19 17:32:10,2026-02-19 19:10,d647541d42648749f3bde601547fa1be,Philadelphia 76ers,Atlanta Hawks,No,663.4,Yes,East,Atlantic,East,Southeast,-108.33,-111.11,-1.17,1.17,-115.78,-81.78,-111.56,-108.33,240.56,-106,-114,-112,-104,-114,-106,-114,-109,-121,-104,-112,-112,-102,-118,-115,-105,-110,-110,-102.0,-118.0,-115.0,-105.0,-110.0,-110.0,-110.0,-110.0,-116.0,-105.0,-110.0,-110.0,-106.0,-106.0,-113.0,-103.0,-113.0,-102.0,-110.0,-110.0,-115.0,-105.0,-115.0,-105.0,-115.0,-105.0,-120.0,100.0,-110.0,-110.0,-110.0,-110.0,-115.0,-105.0,-110.0,-110.0
NBA,2026-02-19 17:32:10,2026-02-19 19:10,24a92d49df82923f29b3e9cda4d57446,Cleveland Cavaliers,Brooklyn Nets,No,406.4,Yes,East,Central,East,Atlantic,-107.67,-111.78,-16.0,16.0,-1083.33,678.78,-109.89,-109.89,229.5,-105,-115,-1150,730,-112,-108,-109,-114,-910,575,-112,-112,-115,-105,-1100,700,-108,-112,-105.0,-115.0,-1100.0,675.0,-110.0,-110.0,-110.0,-110.0,-1262.0,705.0,-110.0,-110.0,-103.0,-109.0,-1028.0,708.0,-107.0,-107.0,-107.0,-113.0,-1050.0,686.0,-110.0,-110.0,-105.0,-115.0,-1100.0,650.0,-110.0,-110.0,-110.0,-110.0,-1050.0,680.0,-110.0,-110.0
NBA,2026-02-19 17:32:10,2026-02-19 19:10,97031eee2ea39d890bf5046a1c57c7a7,Charlotte Hornets,Houston Rockets,No,927.0,Yes,East,Southeast,West,Southwest,-110.22,-109.22,4.44,-4.44,152.33,-181.44,-111.11,-108.56,218.5,-112,-108,154,-184,-114,-106,-114,-109,155,-195,-110,-113,-110,-110,154,-185,-115,-105,-110.0,-110.0,145.0,-180.0,-110.0,-110.0,-110.0,-110.0,146.0,-179.0,-110.0,-110.0,-106.0,-106.0,154.0,-175.0,-109.0,-105.0,-110.0,-110.0,153.0,-175.0,-112.0,-108.0,-110.0,-110.0,155.0,-180.0,-110.0,-110.0,-110.0,-110.0,155.0,-180.0,-110.0,-110.0
NBA,2026-02-19 17:32:10,2026-02-19 19:10,c93f72cb146ef69c7bd4a79f03481123,Washington Wizards,Indiana Pacers,No,492.8,Yes,East,Southeast,East,Central,-109.78,-109.67,2.11,-2.11,110.33,-131.44,-110.0,-109.67,232.56,-112,-108,108,-126,-110,-110,-113,-110,114,-141,-113,-110,-115,-105,110,-130,-110,-110,-102.0,-118.0,110.0,-135.0,-110.0,-110.0,-110.0,-110.0,109.0,-133.0,-110.0,-110.0,-106.0,-106.0,112.0,-128.0,-107.0,-107.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0
NBA,2026-02-19 17:32:10,2026-02-19 19:40,0ea61c4bb159036d242d6aa077216586,New York Knicks,Detroit Pistons,No,482.2,Yes,East,Atlantic,East,Central,-111.22,-108.22,-3.78,3.78,-163.78,137.78,-109.44,-110.33,219.39,-115,-105,-162,136,-110,-110,-113,-110,-180,143,-112,-112,-115,-105,-162,136,-110,-110,-118.0,-102.0,-170.0,140.0,-110.0,-110.0,-110.0,-110.0,-159.0,130.0,-110.0,-110.0,-103.0,-109.0,-158.0,139.0,-105.0,-109.0,-107.0,-113.0,-158.0,138.0,-108.0,-112.0,-110.0,-110.0,-165.0,140.0,-110.0,-110.0,-110.0,-110.0,-160.0,138.0,-110.0,-110.0
NBA,2026-02-19 17:32:10,2026-02-19 20:10,537f72a12ccf54596ce42c638bacb485,Chicago Bulls,Toronto Raptors,No,438.9,Yes,East,Central,East,Atlantic,-108.22,-111.22,6.28,-6.28,191.56,-232.89,-111.22,-108.44,233.61,-110,-110,190,-230,-110,-110,-108,-115,195,-250,-113,-110,-115,-105,195,-238,-112,-108,-110.0,-110.0,190.0,-235.0,-115.0,-105.0,-110.0,-110.0,195.0,-244.0,-110.0,-110.0,-101.0,-111.0,188.0,-219.0,-109.0,-105.0,-105.0,-115.0,186.0,-220.0,-112.0,-108.0,-105.0,-115.0,190.0,-230.0,-110.0,-110.0,-110.0,-110.0,195.0,-230.0,-110.0,-110.0
NBA,2026-02-19 17:32:10,2026-02-19 20:40,d34f8e76f10dd65a684c9bd6301e667e,San Antonio Spurs,Phoenix Suns,No,850.8,Yes,West,Southwest,West,Pacific,-87.78,-109.44,-7.94,7.94,-293.78,236.56,-109.89,-109.78,229.83,-110,-110,-310,250,-106,-114,-114,-109,-335,245,-113,-110,100,-120,-285,230,-108,-112,-115.0,-105.0,-275.0,225.0,-115.0,-105.0,-110.0,-110.0,-312.0,240.0,-110.0,-110.0,-106.0,-106.0,-282.0,237.0,-107.0,-107.0,-110.0,-110.0,-285.0,234.0,-110.0,-110.0,-115.0,-105.0,-300.0,250.0,-110.0,-110.0,-110.0,-110.0,-260.0,218.0,-110.0,-110.0
NBA,2026-02-19 17:32:10,2026-02-19 22:10,7bb1dc8e7e0b6a77195533729951d187,Golden State Warriors,Boston Celtics,No,2697.8,Yes,West,Pacific,East,Atlantic,-108.22,-111.22,5.78,-5.78,185.33,-224.67,-110.44,-109.22,211.89,-106,-114,194,-235,-114,-106,-108,-115,185,-235,-113,-110,-105,-115,190,-230,-115,-105,-105.0,-115.0,180.0,-220.0,-110.0,-110.0,-110.0,-110.0,186.0,-233.0,-110.0,-110.0,-108.0,-104.0,185.0,-214.0,-107.0,-107.0,-112.0,-108.0,183.0,-215.0,-110.0,-110.0,-110.0,-110.0,180.0,-220.0,-105.0,-115.0,-110.0,-110.0,185.0,-220.0,-110.0,-110.0
NBA,2026-02-19 17:32:10,2026-02-19 22:10,fc4ef6fdb917bca80f99940665442e96,Sacramento Kings,Orlando Magic,No,2394.9,Yes,West,Pacific,East,Southeast,-110.33,-109.11,8.5,-8.5,283.11,-360.56,-109.67,-110.0,225.89,-110,-110,290,-360,-112,-108,-109,-114,270,-360,-113,-110,-112,-108,285,-360,-105,-115,-110.0,-110.0,290.0,-375.0,-110.0,-110.0,-110.0,-110.0,288.0,-385.0,-110.0,-110.0,-109.0,-103.0,285.0,-345.0,-107.0,-107.0,-113.0,-107.0,280.0,-350.0,-110.0,-110.0,-110.0,-110.0,280.0,-360.0,-110.0,-110.0,-110.0,-110.0,280.0,-350.0,-110.0,-110.0
NBA,2026-02-19 17:32:10,2026-02-19 22:40,13c088a4f279e674bf80e4cb06d231a9,Los Angeles Clippers,Denver Nuggets,No,839.4,Yes,West,Pacific,West,Northwest,-108.89,-110.67,4.5,-4.5,153.78,-183.11,-107.89,-111.89,226.17,-110,-110,152,-180,-108,-112,-112,-112,150,-190,-112,-112,-108,-112,154,-185,-105,-115,-110.0,-110.0,150.0,-185.0,-105.0,-115.0,-110.0,-110.0,155.0,-192.0,-110.0,-110.0,-103.0,-109.0,157.0,-178.0,-104.0,-110.0,-107.0,-113.0,156.0,-178.0,-107.0,-113.0,-110.0,-110.0,155.0,-180.0,-110.0,-110.0,-110.0,-110.0,155.0,-180.0,-110.0,-110.0
