League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-26 01:37:39,2025-11-25 23:14,Los Angeles Lakers,Los Angeles Clippers,Yes,8.5,Yes,-48.33,-120.17,-15000.0,2050.0,-176.6,-25.4,West,Pacific,West,Pacific,-105,-125,-15000,2500,100,-130,100,-132,-20000,2000,-118,-112,-137,-109,,,-115,-125,105,-140,-10000,1650,-125,-105,-120,-110,,,,,-133,-105,,,-625,345,,,,,,,,,,,,,,,,,,
NBA,2025-11-26 01:37:39,2025-11-26 17:10,Boston Celtics,Detroit Pistons,No,613.5,No,-108.67,-111.0,125.44,-148.78,-110.33,-109.67,East,Atlantic,East,Central,-105,-115,124,-148,-112,-108,-112,-108,126,-148,-112,-108,-115,-110,125.0,-157.0,-112,-114,-110,-110,118,-145,-110,-110,-115,-105,125.0,-145.0,-110.0,-110.0,-110,-110,115.0,-141.0,-110,-110,-101.0,-111.0,134.0,-152.0,-107.0,-107.0,-105.0,-115.0,133.0,-153.0,-110.0,-110.0,-105.0,-115.0,129.0,-150.0,-110.0,-110.0
NBA,2025-11-26 01:37:39,2025-11-26 19:10,Charlotte Hornets,New York Knicks,No,533.4,Yes,-108.56,-111.11,210.0,-258.22,-110.11,-109.89,East,Southeast,East,Atlantic,-105,-115,210,-258,-110,-110,-106,-114,205,-250,-110,-110,-110,-115,230.0,-305.0,-114,-112,-110,-110,200,-250,-110,-110,-110,-110,210.0,-250.0,-110.0,-110.0,-110,-110,208.0,-263.0,-110,-110,-106.0,-106.0,210.0,-248.0,-107.0,-107.0,-110.0,-110.0,207.0,-250.0,-110.0,-110.0,-110.0,-110.0,210.0,-250.0,-110.0,-110.0
NBA,2025-11-26 01:37:39,2025-11-26 19:40,Toronto Raptors,Indiana Pacers,No,440.8,Yes,-112.67,-107.0,-435.56,332.0,-111.0,-108.78,East,Atlantic,East,Central,-115,-105,-425,330,-115,-105,-110,-110,-500,380,-108,-112,-113,-112,-455.0,320.0,-114,-110,-115,-105,-450,340,-110,-110,-110,-110,-440.0,330.0,-115.0,-105.0,-110,-110,-455.0,331.0,-110,-110,-111.0,-101.0,-395.0,321.0,-107.0,-107.0,-115.0,-105.0,-400.0,316.0,-110.0,-110.0,-115.0,-105.0,-400.0,320.0,-110.0,-110.0
NBA,2025-11-26 01:37:39,2025-11-26 19:40,Miami Heat,Milwaukee Bucks,No,1267.8,Yes,-109.22,-110.56,-281.78,228.0,-110.11,-109.89,East,Southeast,East,Central,-108,-112,-285,230,-108,-112,-110,-110,-270,220,-108,-112,-109,-117,-278.0,215.0,-113,-113,-110,-110,-295,230,-110,-110,-110,-110,-285.0,235.0,-115.0,-105.0,-110,-110,-286.0,224.0,-110,-110,-106.0,-106.0,-277.0,233.0,-107.0,-107.0,-110.0,-110.0,-280.0,230.0,-110.0,-110.0,-110.0,-110.0,-280.0,235.0,-110.0,-110.0
NBA,2025-11-26 01:37:39,2025-11-26 19:40,Oklahoma City Thunder,Minnesota Timberwolves,Yes,693.5,Yes,-111.67,-108.11,-352.44,277.56,-109.67,-110.33,West,Northwest,West,Northwest,-110,-110,-355,280,-112,-108,-110,-110,-350,280,-110,-110,-114,-112,-375.0,275.0,-113,-113,-110,-110,-350,280,-105,-115,-110,-110,-340.0,270.0,-110.0,-110.0,-110,-110,-357.0,268.0,-110,-110,-111.0,-101.0,-345.0,285.0,-107.0,-107.0,-115.0,-105.0,-350.0,280.0,-110.0,-110.0,-115.0,-105.0,-350.0,280.0,-110.0,-110.0
NBA,2025-11-26 01:37:39,2025-11-26 20:10,New Orleans Pelicans,Memphis Grizzlies,Yes,357.6,Yes,-109.89,-109.89,34.67,-121.67,-112.33,-107.67,West,Southwest,West,Southwest,-110,-110,102,-122,-110,-110,-114,-106,104,-122,-110,-110,-114,-112,110.0,-137.0,-113,-112,-110,-110,100,-120,-115,-105,-105,-115,105.0,-125.0,-110.0,-110.0,-110,-110,100.0,-122.0,-110,-110,-106.0,-106.0,-101.0,-115.0,-113.0,-102.0,-110.0,-110.0,-103.0,-117.0,-115.0,-105.0,-110.0,-110.0,-105.0,-115.0,-115.0,-105.0
NBA,2025-11-26 01:37:39,2025-11-26 22:10,Golden State Warriors,Houston Rockets,No,1643.9,Yes,-110.56,-109.22,-126.44,106.44,-108.22,-111.89,West,Pacific,West,Southwest,-112,-108,-122,102,-105,-115,-110,-110,-126,108,-108,-112,-112,-114,-129.0,104.0,-114,-112,-110,-110,-125,105,-110,-110,-115,-105,-125.0,105.0,-115.0,-105.0,-110,-110,-123.0,102.0,-110,-110,-106.0,-106.0,-128.0,112.0,-102.0,-113.0,-110.0,-110.0,-130.0,110.0,-105.0,-115.0,-110.0,-110.0,-130.0,110.0,-105.0,-115.0
NBA,2025-11-26 01:37:39,2025-11-26 22:10,Sacramento Kings,Phoenix Suns,Yes,635.3,Yes,-111.0,-108.78,153.33,-182.44,-110.67,-109.33,West,Pacific,West,Pacific,-110,-110,154,-185,-110,-110,-110,-110,152,-180,-110,-110,-113,-113,145.0,-182.0,-114,-112,-110,-110,155,-190,-115,-105,-105,-115,150.0,-175.0,-110.0,-110.0,-110,-110,142.0,-175.0,-110,-110,-111.0,-101.0,162.0,-185.0,-107.0,-107.0,-115.0,-105.0,161.0,-185.0,-110.0,-110.0,-115.0,-105.0,159.0,-185.0,-110.0,-110.0
NBA,2025-11-26 01:37:39,2025-11-26 22:10,Portland Trail Blazers,San Antonio Spurs,No,1721.8,Yes,-110.89,-108.89,-127.56,106.78,-109.44,-110.44,West,Northwest,West,Southwest,-115,-105,-125,105,-105,-115,-110,-110,-132,112,-110,-110,-112,-114,-127.0,104.0,-113,-112,-115,-105,-130,105,-105,-115,-110,-110,-125.0,105.0,-115.0,-105.0,-110,-110,-125.0,102.0,-110,-110,-106.0,-106.0,-126.0,110.0,-107.0,-107.0,-110.0,-110.0,-128.0,108.0,-110.0,-110.0,-110.0,-110.0,-130.0,110.0,-110.0,-110.0
