League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-17 18:53:40,2026-05-17 20:10,465746f51ad349641512f36c52306968,Detroit Pistons,Cleveland Cavaliers,Yes,91.4,Yes,East,Central,East,Central,-108.89,-110.56,-4.28,4.28,-189.0,158.78,-110.89,-108.78,204.33,-108,-112,-192,160,-110,-110,-108,-112,-190,160,-106,-114,-108,-104,-190,166,-107,-107,-112,-108,-190,165,-116,-104,-105,-115,-190,155,-115,-105,-114,-109,-180,143,-109,-114,-105,-115,-185,160,-115,-105,-110,-110,-194,157,-110,-110,-110.0,-110.0,-190.0,163.0,-110.0,-110.0
NBA,2026-05-17 18:53:40,2026-05-18 20:40,924fe1c270c7ccb9e7a9cfa3002bdf05,Oklahoma City Thunder,San Antonio Spurs,No,419.4,Yes,West,Northwest,West,Southwest,-110.0,-109.25,-6.5,6.5,-253.5,205.88,-111.38,-108.38,219.25,-115,-105,-265,215,-110,-110,-110,-110,-250,205,-110,-110,-106,-106,-238,202,-113,-102,-110,-110,-240,200,-115,-105,-110,-110,-250,200,-110,-110,-109,-113,-265,205,-113,-110,-110,-110,-245,205,-110,-110,-110,-110,-275,215,-110,-110,,,,,,
