League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-04-25 14:54:20,2026-04-25 13:08,e480da9a1b9dacbed9120388db4f133f,Orlando Magic,Detroit Pistons,No,956.1,No,East,Southeast,East,Central,-112.83,-118.5,-7.42,7.42,-429.17,295.83,-112.0,-118.83,219.25,-110,-120,-425,300,-110,-120,-113,-121,-500,330,-122,-114,-118,-110,-425,290,-110,-118,-110,-120,-520,350,-102,-130,-111,-125,-455,320,-118,-111,-115,-115,-250,185,-110,-120,,,,,,,,,,,,,,,,,,
NBA,2026-04-25 14:54:20,2026-04-25 15:40,9f41c322eb6aa09683dc241cacc31d7c,Phoenix Suns,Oklahoma City Thunder,No,841.9,No,West,Pacific,West,Northwest,-109.67,-109.78,8.56,-8.56,300.67,-385.67,-109.67,-110.0,212.72,-108,-112,295,-375,-110,-110,-113,-110,295,-400,-110,-113,-110,-110,310,-400,-110,-110,-110,-110,310,-390,-112,-108,-110,-110,298,-400,-110,-110,-110,-110,290,-380,-110,-110,-106.0,-106.0,304.0,-371.0,-105.0,-109.0,-110.0,-110.0,299.0,-375.0,-110.0,-110.0,-110.0,-110.0,305.0,-380.0,-110.0,-110.0
NBA,2026-04-25 14:54:20,2026-04-25 18:10,184d31a9a32dffc9c91eac3766d6f12d,Atlanta Hawks,New York Knicks,No,748.3,No,East,Southeast,East,Atlantic,-111.67,-107.78,2.06,-2.06,109.89,-131.11,-110.33,-109.33,215.0,-118,-102,110,-130,-110,-110,-113,-110,106,-132,-113,-110,-118,-102,110,-135,-115,-105,-105,-115,114,-134,-108,-112,-110,-110,111,-135,-110,-110,-115,-105,105,-125,-110,-110,-106.0,-106.0,115.0,-131.0,-107.0,-107.0,-110.0,-110.0,113.0,-133.0,-110.0,-110.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0
NBA,2026-04-25 14:54:20,2026-04-25 20:40,b24e970fd53cf667dd009e54d107d4b1,Minnesota Timberwolves,Denver Nuggets,Yes,699.6,Yes,West,Northwest,West,Northwest,-110.11,-109.44,1.5,-1.5,100.44,-120.44,-110.22,-109.33,229.56,-108,-112,102,-122,-112,-108,-112,-112,100,-124,-109,-113,-110,-110,100,-120,-110,-110,-115,-105,100,-118,-110,-110,-110,-110,100,-122,-110,-110,-110,-110,100,-120,-110,-110,-106.0,-106.0,102.0,-118.0,-109.0,-105.0,-110.0,-110.0,100.0,-120.0,-112.0,-108.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0
NBA,2026-04-25 14:54:20,2026-04-26 13:10,d94d967f8600a3fb8b869f32c31a7357,Toronto Raptors,Cleveland Cavaliers,No,189.3,No,East,Atlantic,East,Central,-109.44,-110.0,3.61,-3.61,140.67,-167.44,-110.33,-109.33,220.5,-110,-110,142,-170,-112,-108,-114,-109,135,-175,-114,-109,-110,-110,140,-170,-110,-110,-110,-110,138,-164,-110,-110,-110,-110,129,-159,-110,-110,-115,-105,145,-170,-110,-110,-101.0,-111.0,148.0,-167.0,-107.0,-107.0,-105.0,-115.0,147.0,-167.0,-110.0,-110.0,-110.0,-110.0,142.0,-165.0,-110.0,-110.0
NBA,2026-04-25 14:54:20,2026-04-26 15:40,0cab123e90bdf5d1d144a7e26ebc339c,Portland Trail Blazers,San Antonio Spurs,No,1721.8,No,West,Northwest,West,Southwest,-111.38,-108.0,5.44,-5.44,179.0,-216.75,-110.5,-109.25,218.56,-115,-105,180,-218,-110,-110,-109,-114,165,-210,-112,-112,-115,-105,180,-220,-115,-105,-112,-108,176,-210,-110,-110,-110,-110,178,-222,-110,-110,-110,-110,185,-225,-110,-110,-108.0,-104.0,185.0,-214.0,-107.0,-107.0,-112.0,-108.0,183.0,-215.0,-110.0,-110.0,,,,,,
NBA,2026-04-25 14:54:20,2026-04-26 19:10,62dc6619019d4366984883a71b283077,Philadelphia 76ers,Boston Celtics,Yes,273.6,Yes,East,Atlantic,East,Atlantic,-110.12,-109.25,7.19,-7.19,234.88,-293.0,-112.38,-107.38,213.69,-110,-110,235,-290,-108,-112,-115,-108,230,-305,-114,-109,-115,-105,230,-295,-115,-105,-105,-115,235,-290,-114,-106,-110,-110,228,-297,-110,-110,-110,-110,250,-300,-110,-110,-106.0,-106.0,237.0,-282.0,-113.0,-102.0,-110.0,-110.0,234.0,-285.0,-115.0,-105.0,,,,,,
NBA,2026-04-25 14:54:20,2026-04-26 21:40,399d2e69e4408801d09e614c88779989,Houston Rockets,Los Angeles Lakers,No,1375.3,Yes,West,Southwest,West,Pacific,-110.38,-109.0,-5.12,5.12,-190.0,158.38,-109.0,-110.62,207.75,-112,-108,-185,154,-105,-115,-113,-110,-205,160,-110,-113,-105,-115,-190,155,-110,-110,-112,-108,-184,154,-110,-110,-110,-110,-196,159,-110,-110,-115,-105,-200,170,-110,-110,-106.0,-106.0,-180.0,158.0,-107.0,-107.0,-110.0,-110.0,-180.0,157.0,-110.0,-110.0,,,,,,
