League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-03-05 14:16:52,2026-03-05 19:10,9433b263c495c0f5968b95317cc639f6,Orlando Magic,Dallas Mavericks,No,963.1,Yes,East,Southeast,West,Southwest,-108.44,-111.0,-9.17,9.17,-398.89,309.56,-111.44,-108.33,230.06,-108,-112,-400,315,-112,-108,-102,-118,-395,310,-110,-110,-106.0,-106.0,-380.0,311.0,-113.0,-102.0,-110.0,-110.0,-385.0,306.0,-115.0,-105.0,-102.0,-118.0,-425.0,320.0,-110.0,-110.0,-113,-110,-400,300,-113,-110,-110.0,-110.0,-385.0,308.0,-110.0,-110.0,-110.0,-110.0,-400.0,301.0,-110.0,-110.0,-115.0,-105.0,-420.0,315.0,-110.0,-110.0
NBA,2026-03-05 14:16:52,2026-03-05 19:10,bc0cdadc5e95e588b0a1ea210243fa52,Washington Wizards,Utah Jazz,No,1847.5,Yes,East,Southeast,West,Northwest,-110.56,-108.89,-4.33,4.33,-176.11,147.67,-109.67,-110.0,241.33,-108,-112,-180,152,-110,-110,-108,-112,-175,145,-110,-110,-111.0,-101.0,-170.0,150.0,-107.0,-107.0,-115.0,-105.0,-170.0,149.0,-110.0,-110.0,-110.0,-110.0,-185.0,150.0,-110.0,-110.0,-113,-110,-175,138,-110,-113,-110.0,-110.0,-170.0,146.0,-110.0,-110.0,-110.0,-110.0,-185.0,149.0,-110.0,-110.0,-110.0,-110.0,-175.0,150.0,-110.0,-110.0
NBA,2026-03-05 14:16:52,2026-03-05 19:40,9096d55ba6f3120da3126b404e48d023,Miami Heat,Brooklyn Nets,No,1087.4,Yes,East,Southeast,East,Atlantic,-109.67,-109.78,-13.11,13.11,-806.89,550.22,-111.0,-108.67,227.06,-112,-108,-800,560,-112,-108,-105,-115,-800,550,-110,-110,-106.0,-106.0,-786.0,576.0,-113.0,-102.0,-110.0,-110.0,-800.0,561.0,-115.0,-105.0,-105.0,-115.0,-800.0,550.0,-110.0,-110.0,-114,-109,-835,525,-109,-113,-110.0,-110.0,-800.0,550.0,-110.0,-110.0,-110.0,-110.0,-841.0,555.0,-110.0,-110.0,-115.0,-105.0,-800.0,525.0,-110.0,-110.0
NBA,2026-03-05 14:16:52,2026-03-05 19:40,f7585c5c396d85403879fd5cd3097302,Houston Rockets,Golden State Warriors,No,1643.9,Yes,West,Southwest,West,Pacific,-109.56,-109.89,-8.56,8.56,-373.67,293.89,-110.33,-109.33,213.28,-110,-110,-355,285,-112,-108,-112,-108,-380,300,-115,-105,-106.0,-106.0,-366.0,301.0,-109.0,-105.0,-110.0,-110.0,-370.0,296.0,-112.0,-108.0,-110.0,-110.0,-375.0,300.0,-105.0,-115.0,-113,-110,-400,295,-110,-113,-110.0,-110.0,-370.0,295.0,-110.0,-110.0,-110.0,-110.0,-377.0,288.0,-110.0,-110.0,-105.0,-115.0,-370.0,285.0,-110.0,-110.0
NBA,2026-03-05 14:16:52,2026-03-05 20:10,405300ced4b3e611f8d6cc145e5cc9da,San Antonio Spurs,Detroit Pistons,No,1236.1,Yes,West,Southwest,East,Central,-106.67,-112.78,-3.5,3.5,-159.67,134.89,-110.22,-109.56,228.33,-105,-115,-156,132,-112,-108,-105,-115,-155,130,-118,-102,-101.0,-111.0,-160.0,141.0,-102.0,-113.0,-105.0,-115.0,-160.0,140.0,-105.0,-115.0,-105.0,-115.0,-160.0,135.0,-110.0,-110.0,-109,-114,-159,128,-110,-113,-110.0,-110.0,-160.0,138.0,-110.0,-110.0,-110.0,-110.0,-167.0,135.0,-110.0,-110.0,-110.0,-110.0,-160.0,135.0,-115.0,-105.0
NBA,2026-03-05 14:16:52,2026-03-05 20:10,0aac7c0b9b7350238d921ab4c6faf26d,Minnesota Timberwolves,Toronto Raptors,No,694.2,Yes,West,Northwest,East,Atlantic,-109.67,-109.78,-4.72,4.72,-201.67,168.11,-108.0,-111.56,225.28,-115,-105,-200,168,-106,-114,-118,-102,-205,170,-105,-115,-101.0,-111.0,-204.0,179.0,-107.0,-107.0,-105.0,-115.0,-205.0,177.0,-110.0,-110.0,-110.0,-110.0,-210.0,170.0,-105.0,-115.0,-108,-115,-200,155,-109,-113,-105.0,-115.0,-195.0,167.0,-110.0,-110.0,-110.0,-110.0,-196.0,157.0,-110.0,-110.0,-115.0,-105.0,-200.0,170.0,-110.0,-110.0
NBA,2026-03-05 14:16:52,2026-03-05 21:10,2838ee4e0a7f60e2fb0fb134a84c3a76,Phoenix Suns,Chicago Bulls,No,1452.0,Yes,West,Pacific,East,Central,-107.67,-111.78,-10.44,10.44,-518.78,385.56,-110.22,-109.44,224.5,-114,-106,-500,385,-114,-106,-105,-115,-535,400,-112,-108,-101.0,-111.0,-503.0,398.0,-107.0,-107.0,-105.0,-115.0,-510.0,390.0,-110.0,-110.0,-105.0,-115.0,-550.0,400.0,-110.0,-110.0,-114,-109,-480,340,-109,-114,-110.0,-110.0,-510.0,395.0,-110.0,-110.0,-110.0,-110.0,-556.0,387.0,-110.0,-110.0,-105.0,-115.0,-525.0,375.0,-110.0,-110.0
NBA,2026-03-05 14:16:52,2026-03-05 22:10,2bcbbf1e576480f97be0401eb089cd5a,Denver Nuggets,Los Angeles Lakers,No,831.9,Yes,West,Northwest,West,Pacific,-110.78,-108.67,-4.94,4.94,-192.78,161.33,-107.44,-112.22,240.83,-112,-108,-196,164,-110,-110,-102,-118,-198,164,-110,-110,-106.0,-106.0,-185.0,162.0,-102.0,-113.0,-110.0,-110.0,-185.0,161.0,-105.0,-115.0,-118.0,-102.0,-200.0,165.0,-105.0,-115.0,-114,-109,-205,160,-110,-112,-110.0,-110.0,-185.0,159.0,-105.0,-115.0,-110.0,-110.0,-196.0,157.0,-110.0,-110.0,-115.0,-105.0,-185.0,160.0,-110.0,-110.0
NBA,2026-03-05 14:16:52,2026-03-05 22:10,3a3ada953e9680525dd22a739ea65ffd,Sacramento Kings,New Orleans Pelicans,No,1883.0,Yes,West,Pacific,West,Southwest,-109.89,-109.56,5.94,-5.94,180.0,-218.25,-110.44,-109.33,234.67,-106,-114,184,-220,-114,-106,-112,-108,185,-225,-110,-110,-106.0,-106.0,182.0,-209.0,-102.0,-113.0,-110.0,-110.0,180.0,-210.0,-105.0,-115.0,-115.0,-105.0,180.0,-220.0,-115.0,-105.0,-115,-108,170,-220,-113,-110,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,179.0,-222.0,-110.0,-110.0,-105.0,-115.0,180.0,-220.0,-115.0,-105.0
NBA,2026-03-05 14:16:52,2026-03-06 19:10,ab266816a618acf42cd468f0c03d88df,Boston Celtics,Dallas Mavericks,No,1551.7,Yes,East,Atlantic,West,Southwest,-110.0,-111.0,-15.5,15.5,-1055.0,661.67,-108.33,-112.67,224.83,-110,-110,-1000,660,-105,-115,-110,-110,-1050,675,-110,-110,,,,,,,,,,,,,,,,,,,-110,-113,-1115,650,-110,-113,,,,,,,,,,,,,,,,,,
