League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-02 20:57:40,2025-11-02 19:11,New York Knicks,Chicago Bulls,No,715.3,Yes,-80.33,-118.5,-6860.0,1720.0,-126.67,-73.67,East,Atlantic,East,Central,-125.0,-105.0,-6500.0,1800.0,-110.0,-120.0,-108.0,-122.0,-10000.0,1800.0,-120.0,-110.0,-110.0,-118.0,-10000.0,2800.0,-118.0,-110.0,-124,-118,,,-125,-117,-115.0,-115.0,-2800.0,1100.0,-120.0,-110.0,100.0,-133.0,-5000.0,1100.0,-167.0,125.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-02 20:57:40,2025-11-02 20:11,Phoenix Suns,San Antonio Spurs,No,850.8,Yes,-118.67,-112.83,-274.5,201.17,-119.0,-111.5,West,Pacific,West,Southwest,-120.0,-110.0,-280.0,210.0,-120.0,-110.0,-122.0,-106.0,-225.0,172.0,-122.0,-108.0,-115.0,-115.0,-275.0,210.0,-118.0,-110.0,-117,-125,-375.0,250.0,-121,-121,-120.0,-110.0,-310.0,225.0,-115.0,-115.0,-118.0,-111.0,-182.0,140.0,-118.0,-105.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-02 20:57:40,2025-11-02 21:30,Los Angeles Lakers,Miami Heat,No,2340.4,Yes,-109.67,-110.11,-202.78,169.0,-111.67,-108.44,West,Pacific,East,Southeast,-115.0,-105.0,-205.0,170.0,-115.0,-105.0,-108.0,-112.0,-205.0,172.0,-110.0,-110.0,-115.0,-105.0,-210.0,170.0,-105.0,-115.0,-113,-113,-205.0,160.0,-112,-114,-115.0,-105.0,-200.0,170.0,-115.0,-105.0,-110.0,-110.0,-200.0,160.0,-110.0,-110.0,-101.0,-111.0,-200.0,175.0,-113.0,-102.0,-105.0,-115.0,-200.0,174.0,-115.0,-105.0,-105.0,-115.0,-200.0,170.0,-110.0,-110.0
NBA,2025-11-02 20:57:40,2025-11-03 19:00,Indiana Pacers,Milwaukee Bucks,Yes,244.2,Yes,-109.75,-110.0,181.57,-220.57,-109.25,-110.75,East,Central,East,Central,-110.0,-110.0,180.0,-218.0,-110.0,-110.0,-110.0,-110.0,180.0,-215.0,-110.0,-110.0,-110.0,-110.0,180.0,-220.0,-105.0,-115.0,-112,-114,180.0,-230.0,-112,-114,,,,,,,-110.0,-110.0,177.0,-222.0,-110.0,-110.0,-106.0,-106.0,188.0,-219.0,-107.0,-107.0,-110.0,-110.0,186.0,-220.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-02 20:57:40,2025-11-03 19:10,Brooklyn Nets,Minnesota Timberwolves,No,1021.6,Yes,-109.75,-110.0,291.43,-370.71,-110.12,-109.88,East,Atlantic,West,Northwest,-110.0,-110.0,285.0,-360.0,-110.0,-110.0,-110.0,-110.0,290.0,-360.0,-110.0,-110.0,-110.0,-110.0,280.0,-350.0,-110.0,-110.0,-112,-114,275.0,-375.0,-114,-112,,,,,,,-110.0,-110.0,293.0,-385.0,-110.0,-110.0,-106.0,-106.0,311.0,-380.0,-107.0,-107.0,-110.0,-110.0,306.0,-385.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-02 20:57:40,2025-11-03 19:40,Boston Celtics,Utah Jazz,No,2099.0,Yes,-110.12,-109.5,-429.29,329.29,-110.12,-109.88,East,Atlantic,West,Northwest,-110.0,-110.0,-440.0,340.0,-110.0,-110.0,-110.0,-110.0,-420.0,330.0,-110.0,-110.0,-115.0,-105.0,-450.0,333.0,-110.0,-110.0,-110,-115,-435.0,320.0,-114,-112,,,,,,,-110.0,-110.0,-435.0,323.0,-110.0,-110.0,-106.0,-106.0,-410.0,332.0,-107.0,-107.0,-110.0,-110.0,-415.0,327.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-02 20:57:40,2025-11-03 19:40,New York Knicks,Washington Wizards,No,205.6,Yes,-109.71,-110.0,-552.2,400.6,-108.86,-111.14,East,Atlantic,East,Southeast,-110.0,-110.0,-520.0,390.0,-110.0,-110.0,-108.0,-112.0,-500.0,385.0,-106.0,-114.0,-110.0,-110.0,-625.0,450.0,-105.0,-115.0,-114,-112,-590.0,400.0,-114,-112,,,,,,,-110.0,-110.0,-526.0,378.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-02 20:57:40,2025-11-03 20:10,Houston Rockets,Dallas Mavericks,Yes,226.3,Yes,-110.0,-109.5,-677.57,480.14,-109.38,-110.75,West,Southwest,West,Southwest,-110.0,-110.0,-625.0,455.0,-110.0,-110.0,-110.0,-110.0,-650.0,480.0,-114.0,-106.0,-110.0,-110.0,-700.0,500.0,-110.0,-110.0,-114,-110,-715.0,460.0,-114,-112,,,,,,,-110.0,-110.0,-714.0,473.0,-110.0,-110.0,-106.0,-106.0,-664.0,502.0,-102.0,-113.0,-110.0,-110.0,-675.0,491.0,-105.0,-115.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-02 20:57:40,2025-11-03 20:10,Memphis Grizzlies,Detroit Pistons,No,623.7,Yes,-110.5,-109.12,137.29,-163.71,-108.75,-111.38,West,Southwest,East,Central,-115.0,-105.0,130.0,-155.0,-110.0,-110.0,-110.0,-110.0,138.0,-164.0,-110.0,-110.0,-110.0,-110.0,135.0,-165.0,-110.0,-110.0,-113,-112,132.0,-165.0,-113,-113,,,,,,,-110.0,-110.0,135.0,-167.0,-110.0,-110.0,-106.0,-106.0,146.0,-165.0,-102.0,-113.0,-110.0,-110.0,145.0,-165.0,-105.0,-115.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-02 20:57:40,2025-11-03 21:00,Denver Nuggets,Sacramento Kings,No,888.1,Yes,-109.5,-110.0,-621.0,452.17,-108.5,-111.67,West,Northwest,West,Pacific,-110.0,-110.0,-625.0,455.0,-110.0,-110.0,-106.0,-114.0,-600.0,450.0,-110.0,-110.0,-115.0,-105.0,-625.0,450.0,-110.0,-110.0,-110,-115,-715.0,475.0,-114,-112,,,,,,,,,,,,,-106.0,-106.0,-576.0,446.0,-102.0,-113.0,-110.0,-110.0,-585.0,437.0,-105.0,-115.0,,,,,,
