League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-12 07:50:39,2026-05-12 20:10,09800f9101b348d4a66742a3d8888b82,San Antonio Spurs,Minnesota Timberwolves,No,1109.0,Yes,West,Southwest,West,Northwest,-106.25,-113.25,-10.44,10.44,-416.88,322.25,-111.0,-108.75,218.5,-105,-115,-410,320,-108,-112,-102,-110,-405,329,-110,-104,-105,-115,-420,330,-112,-108,-106,-114,-410,324,-113,-107,-105,-115,-425,320,-110,-110,-112,-112,-420,310,-112,-112,-110,-110,-435,320,-110,-110,-105.0,-115.0,-410.0,325.0,-113.0,-107.0
NBA,2026-05-12 07:50:39,2026-05-13 20:10,c3531530e77a4ada542bdbff23de5409,Detroit Pistons,Cleveland Cavaliers,Yes,91.4,Yes,East,Central,East,Central,-109.43,-109.86,-3.93,3.93,-173.57,145.43,-110.14,-109.57,212.29,-115,-105,-170,142,-110,-110,-106,-106,-175,154,-107,-107,-115,-105,-168,142,-112,-108,-110,-110,-175,153,-110,-110,-102,-118,-185,150,-110,-110,-108,-115,-167,135,-112,-112,-110,-110,-175,142,-110,-110,,,,,,
