League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-09 22:52:15,2025-11-09 20:43,Golden State Warriors,Indiana Pacers,No,1948.2,Yes,-113.83,-117.67,-10000.0,3300.0,-123.33,-110.33,West,Pacific,East,Central,-108.0,-122.0,,,-130.0,-102.0,-110.0,-120.0,,,-125.0,-105.0,-115.0,-115.0,,,-110.0,-120.0,-105.0,-125.0,,,-125.0,-111.0,-130,-114,,,-120,-122,-115.0,-110.0,-10000.0,3300.0,-130.0,-102.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-09 22:52:15,2025-11-09 21:10,Sacramento Kings,Minnesota Timberwolves,No,1514.6,Yes,-113.33,-118.83,6650.0,-55000.0,-115.17,-116.83,West,Pacific,West,Northwest,-102.0,-130.0,,,-125.0,-106.0,-110.0,-120.0,10000.0,-100000.0,-120.0,-110.0,-110.0,-120.0,,,-115.0,-115.0,-111.0,-118.0,,,-111.0,-118.0,-122,-120,,,-115,-127,-125.0,-105.0,3300.0,-10000.0,-105.0,-125.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-09 22:52:15,2025-11-10 19:00,Detroit Pistons,Washington Wizards,No,396.2,Yes,-111.5,-110.0,-856.0,562.0,-110.75,-110.5,East,Central,East,Southeast,-112.0,-108.0,-850.0,590.0,-110.0,-110.0,-110.0,-110.0,-950.0,625.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-909.0,573.0,-110.0,-110.0,-114,-112,-715.0,460.0,-113,-112,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-09 22:52:15,2025-11-10 19:10,Charlotte Hornets,Los Angeles Lakers,No,2121.4,Yes,-110.56,-109.11,234.0,-293.17,-110.67,-109.33,East,Southeast,West,Pacific,-106.0,-114.0,245.0,-300.0,-112.0,-108.0,-115.0,-105.0,235.0,-290.0,-110.0,-110.0,-115.0,-105.0,230.0,-280.0,-110.0,-110.0,-110.0,-110.0,234.0,-303.0,-110.0,-110.0,-113,-112,220.0,-286.0,-112,-114,-110.0,-110.0,240.0,-300.0,-115.0,-105.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-09 22:52:15,2025-11-10 19:10,Orlando Magic,Portland Trail Blazers,No,2528.5,Yes,-109.0,-110.78,-140.5,117.17,-109.67,-110.11,East,Southeast,West,Northwest,-106.0,-114.0,-136.0,116.0,-106.0,-114.0,-110.0,-110.0,-142.0,120.0,-110.0,-110.0,-115.0,-105.0,-145.0,125.0,-110.0,-110.0,-110.0,-110.0,-141.0,115.0,-110.0,-110.0,-114,-112,-139.0,112.0,-114,-110,-110.0,-110.0,-140.0,115.0,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-09 22:52:15,2025-11-10 19:30,Miami Heat,Cleveland Cavaliers,No,1086.5,Yes,-106.89,-112.89,241.33,-302.17,-109.89,-110.11,East,Southeast,East,Central,-112.0,-108.0,240.0,-295.0,-110.0,-110.0,-110.0,-110.0,250.0,-310.0,-110.0,-110.0,-105.0,-115.0,250.0,-300.0,-110.0,-110.0,-110.0,-110.0,243.0,-313.0,-110.0,-110.0,-109,-117,225.0,-295.0,-112,-114,-105.0,-115.0,240.0,-300.0,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0
NBA,2025-11-09 22:52:15,2025-11-10 20:10,Chicago Bulls,San Antonio Spurs,No,1048.8,Yes,-107.0,-112.78,137.17,-165.67,-109.0,-111.11,East,Central,West,Southwest,-110.0,-110.0,138.0,-164.0,-110.0,-110.0,-110.0,-110.0,140.0,-166.0,-110.0,-110.0,-105.0,-115.0,135.0,-160.0,-110.0,-110.0,-110.0,-110.0,138.0,-169.0,-110.0,-110.0,-112,-114,132.0,-165.0,-114,-112,-105.0,-115.0,140.0,-170.0,-115.0,-105.0,-105.0,-115.0,,,-105.0,-115.0,-101.0,-111.0,,,-102.0,-113.0,-105.0,-115.0,,,-105.0,-115.0
NBA,2025-11-09 22:52:15,2025-11-10 20:30,Dallas Mavericks,Milwaukee Bucks,No,856.9,Yes,-111.22,-108.44,109.17,-131.67,-109.33,-110.67,West,Southwest,East,Central,-110.0,-110.0,114.0,-134.0,-110.0,-110.0,-115.0,-105.0,110.0,-130.0,-110.0,-110.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-110.0,-110.0,103.0,-127.0,-110.0,-110.0,-115,-110,108.0,-134.0,-112,-114,-115.0,-105.0,110.0,-135.0,-105.0,-115.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-09 22:52:15,2025-11-10 21:00,Utah Jazz,Minnesota Timberwolves,Yes,986.7,Yes,-108.43,-111.29,240.2,-304.6,-110.14,-109.86,West,Northwest,West,Northwest,-110.0,-110.0,245.0,-300.0,-110.0,-110.0,-110.0,-110.0,245.0,-305.0,-110.0,-110.0,,,,,,,-110.0,-110.0,241.0,-313.0,-110.0,-110.0,-113,-113,230.0,-305.0,-114,-112,-110.0,-110.0,240.0,-300.0,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,,,,,,
NBA,2025-11-09 22:52:15,2025-11-10 21:10,Phoenix Suns,New Orleans Pelicans,No,1315.0,Yes,-112.67,-107.11,-313.0,248.0,-110.33,-109.67,West,Pacific,West,Southwest,-114.0,-106.0,-320.0,260.0,-112.0,-108.0,-110.0,-110.0,-310.0,250.0,-110.0,-110.0,-115.0,-105.0,-330.0,265.0,-115.0,-105.0,-110.0,-110.0,-323.0,248.0,-110.0,-110.0,-109,-117,-295.0,225.0,-114,-112,-115.0,-105.0,-300.0,240.0,-105.0,-115.0,-115.0,-105.0,,,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0
