League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-03 22:43:35,2025-11-03 20:11,Houston Rockets,Dallas Mavericks,Yes,226.3,Yes,-170.0,76.0,-24186.6,1772.0,-126.67,-41.33,West,Southwest,West,Southwest,-205.0,152.0,,,-154.0,116.0,-180.0,140.0,-100000.0,4000.0,-115.0,-115.0,,,-10000.0,950.0,,,-190.0,145.0,-10000.0,3300.0,,,-105.0,-133.0,-333.0,235.0,-111.0,-125.0,,,-600.0,375.0,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-03 22:43:35,2025-11-03 20:11,Memphis Grizzlies,Detroit Pistons,No,623.7,Yes,-76.75,-11.5,1797.5,-5200.0,-108.0,-125.0,West,Southwest,East,Central,134.0,-180.0,,,,,-166.0,130.0,,,-105.0,-125.0,,,,,,,-150.0,115.0,3300.0,-10000.0,,,-125.0,-111.0,295.0,-400.0,-111.0,-125.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-03 22:43:35,2025-11-03 21:10,Denver Nuggets,Sacramento Kings,No,888.1,Yes,-41.83,-126.5,-4766.6,1127.0,-120.5,-111.33,West,Northwest,West,Pacific,106.0,-140.0,-3500.0,1060.0,-125.0,-106.0,-110.0,-120.0,-4000.0,1500.0,-120.0,-110.0,-122.0,-120.0,-10000.0,1050.0,-118.0,-122.0,-125.0,-105.0,-3000.0,1050.0,-115.0,-115.0,110.0,-154.0,-3333.0,975.0,-125.0,-105.0,-110.0,-120.0,,,-120.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-03 22:43:35,2025-11-03 22:12,Portland Trail Blazers,Los Angeles Lakers,No,826.1,Yes,-116.33,-114.17,-931.67,525.83,-116.33,-114.17,West,Northwest,West,Pacific,-120.0,-110.0,-950.0,540.0,-112.0,-118.0,-115.0,-115.0,-1150.0,650.0,-115.0,-115.0,-120.0,-122.0,-1115.0,540.0,-120.0,-122.0,-110.0,-118.0,-1000.0,575.0,-118.0,-110.0,-118.0,-105.0,-625.0,400.0,-118.0,-105.0,-115.0,-115.0,-750.0,450.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-03 22:43:35,2025-11-03 22:41,Los Angeles Clippers,Miami Heat,No,2344.1,Yes,-89.56,-92.22,-236.33,187.11,-113.56,-112.44,West,Pacific,East,Southeast,104.0,-138.0,-250.0,190.0,-120.0,-110.0,-110.0,-120.0,-140.0,110.0,-120.0,-110.0,-124.0,-118.0,-186.0,133.0,-120.0,-122.0,-110.0,-118.0,-160.0,125.0,-110.0,-118.0,-110.0,-110.0,-294.0,230.0,-110.0,-110.0,-115.0,-115.0,-175.0,135.0,-115.0,-115.0,-106.0,-106.0,-307.0,256.0,-107.0,-107.0,-120.0,100.0,-310.0,252.0,-110.0,-110.0,-115.0,-105.0,-305.0,253.0,-110.0,-110.0
NBA,2025-11-03 22:43:35,2025-11-04 19:40,Toronto Raptors,Milwaukee Bucks,No,432.0,Yes,-111.38,-107.62,-186.6,155.2,-109.62,-109.62,East,Atlantic,East,Central,-110.0,-110.0,-180.0,152.0,-110.0,-110.0,-110.0,-110.0,-198.0,164.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-190.0,155.0,-110.0,-110.0,-110.0,-110.0,-185.0,150.0,-110.0,-110.0,-110.0,-110.0,-180.0,155.0,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,-115.0,-105.0,,,-110.0,-110.0
NBA,2025-11-03 22:43:35,2025-11-04 20:10,Atlanta Hawks,Orlando Magic,Yes,401.3,Yes,-107.38,-111.62,135.8,-162.6,-109.62,-109.62,East,Southeast,East,Southeast,-108.0,-112.0,144.0,-172.0,-110.0,-110.0,-115.0,-105.0,136.0,-162.0,-110.0,-110.0,,,,,,,-110.0,-110.0,135.0,-160.0,-110.0,-110.0,-110.0,-110.0,129.0,-159.0,-110.0,-110.0,-105.0,-115.0,135.0,-160.0,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0
NBA,2025-11-03 22:43:35,2025-11-04 20:10,New Orleans Pelicans,Charlotte Hornets,No,649.8,Yes,-108.88,-110.12,-123.8,103.6,-109.62,-109.62,West,Southwest,East,Southeast,-110.0,-110.0,-124.0,106.0,-110.0,-110.0,-110.0,-110.0,-122.0,102.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-125.0,105.0,-110.0,-110.0,-110.0,-110.0,-123.0,100.0,-110.0,-110.0,-105.0,-115.0,-125.0,105.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-03 22:43:35,2025-11-04 20:10,Chicago Bulls,Philadelphia 76ers,No,668.1,Yes,-110.75,-108.25,-120.8,21.0,-109.62,-109.62,East,Central,East,Atlantic,-110.0,-110.0,-126.0,108.0,-110.0,-110.0,-105.0,-115.0,-118.0,-102.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-110.0,-110.0,-120.0,-101.0,-110.0,-110.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,-115.0,-105.0,,,-110.0,-110.0
NBA,2025-11-03 22:43:35,2025-11-04 22:10,Golden State Warriors,Phoenix Suns,Yes,652.3,Yes,-109.5,-109.5,-475.0,358.8,-109.88,-109.38,West,Pacific,West,Pacific,-110.0,-110.0,-460.0,360.0,-112.0,-108.0,-110.0,-110.0,-500.0,380.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-500.0,375.0,-110.0,-110.0,-110.0,-110.0,-455.0,339.0,-110.0,-110.0,-110.0,-110.0,-460.0,340.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-03 22:43:35,2025-11-04 23:10,Los Angeles Clippers,Oklahoma City Thunder,No,1188.0,Yes,-109.8,-108.6,170.67,-206.67,-110.8,-108.0,West,Pacific,West,Northwest,-108.0,-112.0,172.0,-205.0,-112.0,-108.0,-110.0,-110.0,170.0,-205.0,-110.0,-110.0,,,,,,,-115.0,-105.0,170.0,-210.0,-115.0,-105.0,,,,,,,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-03 22:43:35,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-03 22:43:35,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-200.0,160.0,-114.0,-112.0,West,Pacific,West,Southwest,,,,,,,,,,,,,-114.0,-112.0,-200.0,160.0,-114.0,-112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-03 22:43:35,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,West,Northwest,West,Northwest,,,,,,,,,,,,,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
