League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-01 01:40:15,2025-12-01 19:00,Washington Wizards,Milwaukee Bucks,No,637.0,Yes,-110.78,-109.0,332.11,-432.78,-110.67,-109.22,East,Southeast,East,Central,-110,-110,330,-425,-112,-108,-106.0,-106.0,332.0,-410.0,-107.0,-107.0,-110.0,-110.0,327.0,-415.0,-110.0,-110.0,-114,-106,350,-450,-114,-106,-110.0,-110.0,335.0,-455.0,-110.0,-110.0,-110.0,-110.0,340.0,-450.0,-115.0,-105.0,-115.0,-105.0,315.0,-420.0,-105.0,-115.0,-112.0,-114.0,330.0,-455.0,-113.0,-112.0,-110.0,-110.0,330.0,-415.0,-110.0,-110.0
NBA,2025-12-01 01:40:15,2025-12-01 19:10,Detroit Pistons,Atlanta Hawks,No,596.5,Yes,-109.78,-110.0,-386.78,302.33,-109.67,-110.33,East,Central,East,Southeast,-102,-118,-380,300,-108,-112,-111.0,-101.0,-371.0,304.0,-107.0,-107.0,-115.0,-105.0,-375.0,299.0,-110.0,-110.0,-108,-112,-375,300,-105,-115,-110.0,-110.0,-400.0,303.0,-110.0,-110.0,-105.0,-115.0,-400.0,310.0,-115.0,-105.0,-105.0,-115.0,-420.0,315.0,-110.0,-110.0,-117.0,-109.0,-385.0,290.0,-112.0,-114.0,-115.0,-105.0,-375.0,300.0,-110.0,-110.0
NBA,2025-12-01 01:40:15,2025-12-01 19:10,Indiana Pacers,Cleveland Cavaliers,Yes,263.5,Yes,-109.89,-109.89,175.89,-211.56,-111.0,-109.0,East,Central,East,Central,-110,-110,180,-218,-115,-105,-106.0,-106.0,179.0,-204.0,-107.0,-107.0,-110.0,-110.0,177.0,-205.0,-110.0,-110.0,-110,-110,172,-205,-110,-110,-110.0,-110.0,175.0,-217.0,-110.0,-110.0,-110.0,-110.0,180.0,-220.0,-110.0,-110.0,-110.0,-110.0,175.0,-210.0,-115.0,-105.0,-113.0,-113.0,170.0,-220.0,-112.0,-114.0,-110.0,-110.0,175.0,-205.0,-110.0,-110.0
NBA,2025-12-01 01:40:15,2025-12-01 19:30,Miami Heat,Los Angeles Clippers,No,2344.1,Yes,-109.56,-110.22,-239.78,196.33,-110.67,-109.33,East,Southeast,West,Pacific,-105,-115,-245,200,-115,-105,-106.0,-106.0,-238.0,202.0,-107.0,-107.0,-110.0,-110.0,-240.0,200.0,-110.0,-110.0,-108,-112,-230,190,-112,-108,-110.0,-110.0,-250.0,197.0,-110.0,-110.0,-110.0,-110.0,-250.0,200.0,-110.0,-110.0,-115.0,-105.0,-235.0,195.0,-110.0,-110.0,-112.0,-114.0,-230.0,180.0,-112.0,-114.0,-110.0,-110.0,-240.0,203.0,-110.0,-110.0
NBA,2025-12-01 01:40:15,2025-12-01 19:40,Brooklyn Nets,Charlotte Hornets,No,530.9,Yes,-108.33,-111.22,166.22,-198.33,-109.78,-110.11,East,Atlantic,East,Southeast,-105,-115,170,-205,-110,-110,-106.0,-106.0,179.0,-204.0,-107.0,-107.0,-110.0,-110.0,177.0,-205.0,-110.0,-110.0,-110,-110,162,-194,-108,-112,-110.0,-110.0,155.0,-192.0,-110.0,-110.0,-105.0,-115.0,165.0,-200.0,-110.0,-110.0,-105.0,-115.0,170.0,-200.0,-110.0,-110.0,-114.0,-110.0,143.0,-180.0,-113.0,-112.0,-110.0,-110.0,175.0,-205.0,-110.0,-110.0
NBA,2025-12-01 01:40:15,2025-12-01 19:40,Orlando Magic,Chicago Bulls,No,985.5,Yes,-108.67,-111.0,-347.33,275.33,-109.56,-110.44,East,Southeast,East,Central,-105,-115,-345,275,-108,-112,-106.0,-106.0,-336.0,278.0,-107.0,-107.0,-110.0,-110.0,-340.0,274.0,-110.0,-110.0,-110,-110,-360,290,-114,-106,-110.0,-110.0,-345.0,266.0,-110.0,-110.0,-110.0,-110.0,-350.0,275.0,-105.0,-115.0,-105.0,-115.0,-350.0,275.0,-110.0,-110.0,-112.0,-113.0,-360.0,270.0,-112.0,-114.0,-110.0,-110.0,-340.0,275.0,-110.0,-110.0
NBA,2025-12-01 01:40:15,2025-12-01 21:10,Denver Nuggets,Dallas Mavericks,No,662.5,Yes,-109.56,-110.11,-495.33,373.0,-108.33,-111.44,West,Northwest,West,Southwest,-110,-110,-455,350,-112,-108,-106.0,-106.0,-493.0,390.0,-107.0,-107.0,-110.0,-110.0,-500.0,383.0,-110.0,-110.0,-110,-110,-500,385,-106,-114,-110.0,-110.0,-500.0,364.0,-110.0,-110.0,-110.0,-110.0,-500.0,375.0,-105.0,-115.0,-110.0,-110.0,-510.0,370.0,-105.0,-115.0,-110.0,-115.0,-500.0,350.0,-110.0,-114.0,-110.0,-110.0,-500.0,390.0,-110.0,-110.0
NBA,2025-12-01 01:40:15,2025-12-01 21:10,Utah Jazz,Houston Rockets,No,1201.1,Yes,-110.44,-109.11,457.89,-634.22,-110.44,-109.33,West,Northwest,West,Southwest,-115,-105,455,-625,-112,-108,-106.0,-106.0,456.0,-591.0,-107.0,-107.0,-110.0,-110.0,446.0,-600.0,-110.0,-110.0,-110,-110,500,-700,-110,-110,-110.0,-110.0,459.0,-667.0,-110.0,-110.0,-118.0,-102.0,475.0,-650.0,-115.0,-105.0,-105.0,-115.0,450.0,-650.0,-110.0,-110.0,-110.0,-114.0,430.0,-625.0,-110.0,-114.0,-110.0,-110.0,450.0,-600.0,-110.0,-110.0
NBA,2025-12-01 01:40:15,2025-12-01 22:10,Los Angeles Lakers,Phoenix Suns,Yes,359.1,Yes,-109.78,-110.0,-220.11,182.0,-109.67,-110.33,West,Pacific,West,Pacific,-110,-110,-225,185,-115,-105,-106.0,-106.0,-214.0,185.0,-107.0,-107.0,-110.0,-110.0,-215.0,183.0,-110.0,-110.0,-110,-110,-235,194,-108,-112,-110.0,-110.0,-222.0,178.0,-110.0,-110.0,-110.0,-110.0,-220.0,180.0,-105.0,-115.0,-110.0,-110.0,-225.0,185.0,-110.0,-110.0,-112.0,-114.0,-210.0,165.0,-112.0,-114.0,-110.0,-110.0,-215.0,183.0,-110.0,-110.0
NBA,2025-12-01 01:40:15,2025-12-09 18:00,Orlando Magic,Miami Heat,Yes,203.7,No,-109.5,-110.5,-207.5,173.0,-110.0,-110.0,East,Southeast,East,Southeast,-105,-115,-205,170,-110,-110,,,,,,,,,,,,,-114,-106,-210,176,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
