League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2025-11-09 13:30:00,2025-11-09 15:30,Milwaukee Bucks,Houston Rockets,No,1005.2,No,-112.44,-84.89,148.22,-176.11,-109.11,-110.78,East,Central,West,Southwest,-115.0,-105.0,145.0,-175.0,-108.0,-112.0,-112.0,100.0,156.0,-177.0,-107.0,-107.0,-116.0,-104.0,155.0,-177.0,-110.0,-110.0,-110.0,-110.0,142.0,-175.0,-110.0,-110.0,-115.0,-105.0,146.0,-174.0,-112.0,-108.0,-105.0,-115.0,150.0,-175.0,-110.0,-110.0,-115.0,-105.0,145.0,-175.0,-105.0,-115.0,-110.0,-110.0,150.0,-175.0,-110.0,-110.0,-114,-110,145,-182,-110,-115
NBA,2025-11-09 13:30:00,2025-11-09 18:00,New York Knicks,Brooklyn Nets,Yes,4.8,No,-109.22,-110.44,-1242.89,746.89,-108.67,-111.22,East,Atlantic,East,Atlantic,-110.0,-110.0,-1200.0,750.0,-105.0,-115.0,-106.0,-106.0,-1174.0,781.0,-107.0,-107.0,-110.0,-110.0,-1200.0,754.0,-110.0,-110.0,-110.0,-110.0,-1262.0,737.0,-110.0,-110.0,-112.0,-108.0,-1200.0,750.0,-106.0,-114.0,-105.0,-115.0,-1300.0,725.0,-110.0,-110.0,-110.0,-110.0,-1400.0,775.0,-105.0,-115.0,-110.0,-110.0,-1200.0,750.0,-110.0,-110.0,-110,-115,-1250,700,-115,-110
NBA,2025-11-09 13:30:00,2025-11-09 18:10,Orlando Magic,Boston Celtics,No,1115.0,No,-112.44,-107.33,-165.0,139.11,-111.11,-108.89,East,Southeast,East,Atlantic,-115.0,-105.0,-162.0,136.0,-115.0,-105.0,-111.0,-101.0,-165.0,146.0,-107.0,-107.0,-115.0,-105.0,-165.0,145.0,-110.0,-110.0,-110.0,-110.0,-167.0,135.0,-110.0,-110.0,-110.0,-110.0,-164.0,138.0,-115.0,-105.0,-110.0,-110.0,-170.0,145.0,-110.0,-110.0,-118.0,-102.0,-165.0,135.0,-110.0,-110.0,-110.0,-110.0,-165.0,142.0,-110.0,-110.0,-113,-113,-162,130,-113,-113
NBA,2025-11-09 13:30:00,2025-11-09 18:10,Memphis Grizzlies,Oklahoma City Thunder,No,422.4,No,-106.56,-113.11,383.89,-513.22,-108.89,-111.22,West,Southwest,West,Northwest,-108.0,-112.0,390.0,-520.0,-110.0,-110.0,-101.0,-111.0,390.0,-493.0,-102.0,-113.0,-105.0,-115.0,383.0,-500.0,-105.0,-115.0,-110.0,-110.0,382.0,-526.0,-110.0,-110.0,-105.0,-115.0,385.0,-500.0,-110.0,-110.0,-105.0,-115.0,390.0,-550.0,-110.0,-110.0,-105.0,-115.0,375.0,-500.0,-110.0,-110.0,-110.0,-110.0,390.0,-500.0,-110.0,-110.0,-110,-115,370,-530,-113,-113
NBA,2025-11-09 13:30:00,2025-11-09 19:30,Philadelphia 76ers,Detroit Pistons,No,444.3,Yes,-109.67,-110.11,144.11,-171.22,-110.67,-109.33,East,Atlantic,East,Central,-115.0,-105.0,142.0,-170.0,-115.0,-105.0,-101.0,-111.0,146.0,-165.0,-113.0,-102.0,-105.0,-115.0,145.0,-165.0,-115.0,-105.0,-110.0,-110.0,142.0,-175.0,-110.0,-110.0,-114.0,-106.0,138.0,-166.0,-105.0,-115.0,-110.0,-110.0,150.0,-175.0,-110.0,-110.0,-110.0,-110.0,145.0,-175.0,-105.0,-115.0,-105.0,-115.0,146.0,-170.0,-110.0,-110.0,-117,-109,143,-180,-113,-112
NBA,2025-11-09 13:30:00,2025-11-09 20:40,Golden State Warriors,Indiana Pacers,No,1948.2,Yes,-109.33,-110.33,-659.78,470.67,-111.0,-109.11,West,Pacific,East,Central,-108.0,-112.0,-675.0,490.0,-105.0,-115.0,-101.0,-111.0,-629.0,480.0,-113.0,-102.0,-105.0,-115.0,-640.0,469.0,-115.0,-105.0,-110.0,-110.0,-714.0,467.0,-110.0,-110.0,-110.0,-110.0,-620.0,460.0,-112.0,-108.0,-115.0,-105.0,-650.0,450.0,-110.0,-110.0,-110.0,-110.0,-700.0,500.0,-110.0,-110.0,-110.0,-110.0,-640.0,470.0,-110.0,-110.0,-115,-110,-670,450,-114,-112
NBA,2025-11-09 13:30:00,2025-11-09 21:10,Sacramento Kings,Minnesota Timberwolves,No,1514.6,Yes,-113.0,-84.56,179.67,-216.56,-110.89,-109.22,West,Pacific,West,Northwest,-115.0,-105.0,180.0,-218.0,-108.0,-112.0,-114.0,102.0,179.0,-204.0,-113.0,-102.0,-118.0,-102.0,177.0,-205.0,-115.0,-105.0,-110.0,-110.0,176.0,-217.0,-110.0,-110.0,-112.0,-108.0,190.0,-225.0,-110.0,-110.0,-110.0,-110.0,180.0,-220.0,-110.0,-110.0,-115.0,-105.0,180.0,-220.0,-110.0,-110.0,-110.0,-110.0,175.0,-205.0,-110.0,-110.0,-113,-113,180,-235,-112,-114
NBA,2025-11-09 13:30:00,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113
NBA,2025-11-09 13:30:00,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-195,150,-115,-110
NBA,2025-11-09 13:30:00,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-117,-109,-220,175,-112,-114
