League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2025-11-06 01:36:09,2025-11-06 21:00,Phoenix Suns,Los Angeles Clippers,Yes,362.6,Yes,-110.56,-109.11,-129.22,108.56,-109.67,-110.33,West,Pacific,West,Pacific,-112.0,-108.0,-125.0,105.0,-110.0,-110.0,-106.0,-106.0,-126.0,110.0,-107.0,-107.0,-105.0,-115.0,-123.0,103.0,-110.0,-110.0,-112.0,-108.0,-130.0,110.0,-106.0,-114.0,-115.0,-105.0,-135.0,115.0,-110.0,-110.0,-110.0,-110.0,-128.0,105.0,-110.0,-110.0,-110.0,-110.0,-125.0,105.0,-110.0,-110.0,-110.0,-110.0,-130.0,110.0,-110.0,-110.0,-115.0,-110.0,-141.0,114.0,-114.0,-112.0
NBA,2025-11-06 01:36:09,2025-11-07 19:40,San Antonio Spurs,Houston Rockets,Yes,186.5,Yes,-111.0,-109.0,106.5,-125.5,-110.0,-110.0,West,Southwest,West,Southwest,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,,,,,,,,,,,,,-112.0,-108.0,108.0,-126.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-06 01:36:09,2025-11-07 22:10,Denver Nuggets,Golden State Warriors,No,947.0,Yes,-109.0,-111.0,-202.5,169.0,-109.0,-111.0,West,Northwest,West,Pacific,-110.0,-110.0,-205.0,170.0,-110.0,-110.0,,,,,,,,,,,,,-108.0,-112.0,-200.0,168.0,-108.0,-112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-06 01:36:09,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113.0,-113.0,-143.0,117.0,-113.0,-113.0
NBA,2025-11-06 01:36:09,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114.0,-112.0,-195.0,150.0,-115.0,-110.0
NBA,2025-11-06 01:36:09,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-117.0,-109.0,-220.0,175.0,-112.0,-114.0
