League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-02-10 15:09:19,2026-02-10 19:30,029d9c1b39d0cd27d90931850a1f0bbd,New York Knicks,Indiana Pacers,No,646.0,Yes,East,Atlantic,East,Central,-109.89,-109.89,-12.11,12.11,-620.67,449.56,-110.11,-109.89,225.28,-114,-106,-620,460,-110,-110,-110.0,-110.0,-625.0,439.0,-110.0,-110.0,-105.0,-115.0,-600.0,440.0,-110.0,-110.0,-111.0,-101.0,-591.0,456.0,-107.0,-107.0,-115.0,-105.0,-600.0,446.0,-110.0,-110.0,-105.0,-115.0,-625.0,450.0,-110.0,-110.0,-105.0,-115.0,-650.0,475.0,-110.0,-110.0,-114.0,-112.0,-625.0,430.0,-114.0,-112.0,-110.0,-110.0,-650.0,450.0,-110.0,-110.0
NBA,2026-02-10 15:09:19,2026-02-10 20:00,402d3274a70ecdf3f3441bd2730e9a86,Houston Rockets,Los Angeles Clippers,No,1378.7,Yes,West,Southwest,West,Pacific,-110.11,-109.67,-8.0,8.0,-296.67,239.56,-109.89,-110.0,212.83,-105,-115,-310,250,-106,-114,-110.0,-110.0,-303.0,237.0,-110.0,-110.0,-112.0,-108.0,-305.0,245.0,-108.0,-112.0,-105.0,-107.0,-282.0,237.0,-107.0,-107.0,-109.0,-111.0,-285.0,234.0,-110.0,-110.0,-118.0,-102.0,-285.0,230.0,-115.0,-105.0,-110.0,-110.0,-285.0,238.0,-110.0,-110.0,-112.0,-114.0,-315.0,235.0,-113.0,-112.0,-110.0,-110.0,-300.0,250.0,-110.0,-110.0
NBA,2026-02-10 15:09:19,2026-02-10 21:00,a431f33f9135f054bfd08b6f0d341497,Phoenix Suns,Dallas Mavericks,No,885.4,Yes,West,Pacific,West,Southwest,-108.89,-110.78,-8.44,8.44,-330.78,264.0,-110.22,-109.78,228.89,-110,-110,-330,265,-112,-108,-110.0,-110.0,-360.0,273.0,-110.0,-110.0,-108.0,-112.0,-340.0,270.0,-115.0,-105.0,-104.0,-108.0,-317.0,263.0,-105.0,-109.0,-108.0,-112.0,-320.0,260.0,-108.0,-112.0,-110.0,-110.0,-325.0,260.0,-110.0,-110.0,-110.0,-110.0,-320.0,260.0,-110.0,-110.0,-115.0,-110.0,-345.0,265.0,-112.0,-114.0,-105.0,-115.0,-320.0,260.0,-110.0,-110.0
NBA,2026-02-10 15:09:19,2026-02-10 22:30,3abaf28550da137114cba0daec6fe134,Los Angeles Lakers,San Antonio Spurs,No,1208.0,Yes,West,Pacific,West,Southwest,-110.44,-109.33,9.39,-9.39,278.22,-350.67,-111.67,-108.33,225.78,-114,-106,290,-360,-114,-106,-110.0,-110.0,285.0,-370.0,-110.0,-110.0,-112.0,-108.0,280.0,-355.0,-115.0,-105.0,-106.0,-106.0,274.0,-331.0,-107.0,-107.0,-110.0,-110.0,270.0,-335.0,-110.0,-110.0,-110.0,-110.0,275.0,-350.0,-115.0,-105.0,-110.0,-110.0,290.0,-360.0,-110.0,-110.0,-112.0,-114.0,280.0,-375.0,-114.0,-112.0,-110.0,-110.0,260.0,-320.0,-110.0,-110.0
NBA,2026-02-10 15:09:19,2026-02-11 19:00,786e38c6d2a209bb12801b30f17e9ef2,Orlando Magic,Milwaukee Bucks,No,1064.4,Yes,East,Southeast,East,Central,-108.0,-114.0,-10.17,10.17,-473.33,353.33,-110.0,-111.67,220.5,-110,-110,-450,350,-110,-110,,,,,,,-102.0,-118.0,-470.0,360.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,-112.0,-114.0,-500.0,350.0,-110.0,-115.0,,,,,,
NBA,2026-02-10 15:09:19,2026-02-11 19:10,1e29ea38e9c7789166418c9a3544bff9,Cleveland Cavaliers,Washington Wizards,No,305.1,Yes,East,Central,East,Southeast,-110.0,-110.0,-18.5,18.5,-1600.0,900.0,-112.0,-108.0,235.5,-110,-110,-1600,900,-112,-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-02-10 15:09:19,2026-02-11 19:30,c09c552bcc0d68d3e96c860980ae1563,Toronto Raptors,Detroit Pistons,No,206.8,Yes,East,Atlantic,East,Central,-108.67,-113.0,1.5,-1.5,105.67,-127.33,-110.67,-111.33,223.5,-106,-114,110,-130,-110,-110,,,,,,,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,-110.0,-115.0,102.0,-127.0,-112.0,-114.0,,,,,,
NBA,2026-02-10 15:09:19,2026-02-11 19:30,fa53065fb88985857fe9cfe5372477dc,Philadelphia 76ers,New York Knicks,Yes,85.5,Yes,East,Atlantic,East,Atlantic,-112.33,-109.67,1.83,-1.83,38.33,-126.0,-111.0,-111.0,223.5,-110,-110,-102,-116,-110,-110,,,,,,,-115.0,-105.0,110.0,-130.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,-112.0,-114.0,107.0,-132.0,-113.0,-113.0,,,,,,
NBA,2026-02-10 15:09:19,2026-02-11 19:40,fe5025ebf8e01fd991276b32c2720ea7,Boston Celtics,Chicago Bulls,No,852.9,Yes,East,Atlantic,East,Central,-112.5,-107.5,-13.0,13.0,-610.0,450.0,-112.5,-107.5,226.5,-110,-110,-620,460,-115,-105,,,,,,,-115.0,-105.0,-600.0,440.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-02-10 15:09:19,2026-02-11 21:00,a8954b4710b0fae858e10da04cd1b866,Phoenix Suns,Oklahoma City Thunder,No,841.9,Yes,West,Pacific,West,Northwest,-111.33,-110.67,6.5,-6.5,205.0,-255.0,-110.0,-111.33,217.5,-110,-110,205,-250,-110,-110,,,,,,,-110.0,-110.0,205.0,-250.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,-114.0,-112.0,205.0,-265.0,-110.0,-114.0,,,,,,
