League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-17 20:54:27,2025-11-17 19:10,Philadelphia 76ers,Los Angeles Clippers,No,2401.6,Yes,-82.67,-83.83,283.33,-417.0,-79.5,-119.83,East,Atlantic,West,Pacific,108.0,-144.0,320.0,-460.0,-125.0,-106.0,-110.0,-120.0,340.0,-500.0,-110.0,-120.0,-143.0,110.0,130.0,-167.0,110.0,-143.0,-118.0,-110.0,300.0,-425.0,-115.0,-115.0,-118.0,-124.0,310.0,-500.0,-122.0,-120.0,-115.0,-115.0,300.0,-450.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-17 20:54:27,2025-11-17 19:11,Detroit Pistons,Indiana Pacers,Yes,240.5,Yes,-114.33,-118.5,-8750.0,1681.25,-118.5,-113.33,East,Central,East,Central,-106.0,-125.0,-10000.0,1700.0,-114.0,-114.0,-105.0,-125.0,-10000.0,2200.0,-120.0,-110.0,-125.0,-111.0,-5000.0,1225.0,-118.0,-118.0,-110.0,-118.0,-10000.0,1600.0,-115.0,-110.0,-125.0,-117.0,,,-124.0,-118.0,-115.0,-115.0,,,-120.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-17 20:54:27,2025-11-17 19:12,Cleveland Cavaliers,Milwaukee Bucks,Yes,336.6,Yes,-117.83,-80.67,-314.17,224.17,-118.17,-113.5,East,Central,East,Central,-114.0,-114.0,-310.0,230.0,-122.0,-108.0,-110.0,-120.0,-280.0,210.0,-115.0,-115.0,-133.0,100.0,-455.0,305.0,-125.0,-105.0,-110.0,-118.0,-225.0,175.0,-110.0,-118.0,-125.0,-117.0,-375.0,245.0,-122.0,-120.0,-115.0,-115.0,-240.0,180.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-17 20:54:27,2025-11-17 19:41,Miami Heat,New York Knicks,No,1091.4,Yes,-114.17,-117.0,-174.0,133.33,-117.33,-113.5,East,Southeast,East,Atlantic,-118.0,-112.0,-184.0,142.0,-120.0,-110.0,-110.0,-120.0,-166.0,130.0,-120.0,-110.0,-105.0,-125.0,-167.0,130.0,-118.0,-111.0,-115.0,-110.0,-185.0,140.0,-110.0,-115.0,-122.0,-120.0,-167.0,123.0,-121.0,-120.0,-115.0,-115.0,-175.0,135.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-17 20:54:27,2025-11-17 19:43,Toronto Raptors,Charlotte Hornets,No,586.0,Yes,-117.0,-114.5,-508.5,340.0,-116.17,-115.33,East,Atlantic,East,Southeast,-114.0,-114.0,-500.0,340.0,-122.0,-108.0,-125.0,-105.0,-475.0,325.0,-115.0,-115.0,-111.0,-118.0,-556.0,380.0,-111.0,-118.0,-125.0,-105.0,-450.0,320.0,-118.0,-110.0,-117.0,-125.0,-420.0,275.0,-121.0,-121.0,-110.0,-120.0,-650.0,400.0,-110.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-17 20:54:27,2025-11-17 20:10,Minnesota Timberwolves,Dallas Mavericks,No,861.9,Yes,-117.67,-79.83,-7450.0,1500.0,-117.0,-113.5,West,Northwest,West,Southwest,-132.0,100.0,-10000.0,1800.0,-118.0,-112.0,-120.0,-110.0,-4800.0,1600.0,-120.0,-110.0,-105.0,-118.0,-5000.0,1150.0,-118.0,-105.0,-110.0,-118.0,-10000.0,1450.0,-110.0,-118.0,-124.0,-118.0,,,-121.0,-121.0,-115.0,-115.0,,,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-17 20:54:27,2025-11-17 20:11,New Orleans Pelicans,Oklahoma City Thunder,No,575.8,Yes,-116.0,-114.17,3150.0,-15000.0,-116.5,-114.83,West,Southwest,West,Northwest,-114.0,-114.0,,,-114.0,-114.0,-110.0,-120.0,3000.0,-20000.0,-120.0,-110.0,-118.0,-105.0,,,-111.0,-118.0,-118.0,-110.0,3300.0,-10000.0,-115.0,-115.0,-121.0,-121.0,,,-124.0,-117.0,-115.0,-115.0,,,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-17 20:54:27,2025-11-17 21:10,Denver Nuggets,Chicago Bulls,No,918.9,Yes,-109.67,-110.11,-776.22,530.0,-110.44,-109.56,West,Northwest,East,Central,-108.0,-112.0,-720.0,520.0,-110.0,-110.0,-105.0,-115.0,-750.0,525.0,-110.0,-110.0,-110.0,-110.0,-833.0,528.0,-110.0,-110.0,-105.0,-115.0,-900.0,575.0,-115.0,-105.0,-113.0,-113.0,-835.0,540.0,-112.0,-114.0,-110.0,-110.0,-800.0,525.0,-110.0,-110.0,-111.0,-101.0,-708.0,530.0,-107.0,-107.0,-115.0,-105.0,-720.0,517.0,-110.0,-110.0,-110.0,-110.0,-720.0,510.0,-110.0,-110.0
NBA,2025-11-17 20:54:27,2025-11-18 19:10,Orlando Magic,Golden State Warriors,No,2439.6,Yes,-109.33,-112.33,124.0,-150.0,-111.0,-110.67,East,Southeast,West,Pacific,-108.0,-112.0,130.0,-154.0,-110.0,-110.0,-105.0,-115.0,124.0,-148.0,-110.0,-110.0,,,,,,,,,,,,,-115.0,-110.0,118.0,-148.0,-113.0,-112.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-17 20:54:27,2025-11-18 19:40,Brooklyn Nets,Boston Celtics,Yes,190.6,Yes,-109.83,-109.83,362.5,-490.0,-108.17,-112.0,East,Atlantic,East,Atlantic,-110.0,-110.0,380.0,-490.0,-110.0,-110.0,-110.0,-110.0,360.0,-470.0,-110.0,-110.0,,,,,,,,,,,,,-113.0,-113.0,350.0,-500.0,-112.0,-114.0,-110.0,-110.0,360.0,-500.0,-110.0,-110.0,-106.0,-106.0,,,-102.0,-113.0,-110.0,-110.0,,,-105.0,-115.0,,,,,,
