League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-03-25 18:36:27,2026-03-25 19:10,8aaad66627fe854cc273103047d880e6,Detroit Pistons,Atlanta Hawks,No,596.5,Yes,East,Central,East,Southeast,-113.0,-84.11,-1.94,1.94,-137.22,115.89,-109.11,-110.56,229.89,-110,-110,-136,116,-110,-110,-115,-105,-130,110,-110,-110,-110,-110,-132,107,-110,-110,-109,-113,-130,105,-110,-113,-113,101,-143,126,-107,-107,-117,-103,-144,124,-110,-110,-118,-102,-140,115,-105,-115,-110,-110,-140,120,-110,-110,-115,-105,-140,120,-110,-110
NBA,2026-03-25 18:36:27,2026-03-25 19:10,eaf07668d23364ac54cbcf69f4808ba9,Philadelphia 76ers,Chicago Bulls,No,668.1,Yes,East,Atlantic,East,Central,-108.0,-111.56,-7.06,7.06,-268.67,218.56,-109.89,-109.89,240.39,-115,-105,-290,235,-110,-110,-102,-118,-270,220,-110,-110,-110,-110,-250,200,-110,-110,-112,-112,-315,245,-112,-112,-106,-106,-248,210,-107,-107,-110,-110,-250,207,-110,-110,-102,-118,-285,225,-110,-110,-105,-115,-260,215,-110,-110,-110,-110,-250,210,-110,-110
NBA,2026-03-25 18:36:27,2026-03-25 19:10,3d71d6b6b1bc85b5ec831ae9dba2c93c,Indiana Pacers,Los Angeles Lakers,No,1811.2,Yes,East,Central,West,Pacific,-111.0,-108.44,8.67,-8.67,330.78,-431.11,-110.44,-109.22,240.78,-110,-110,340,-430,-114,-106,-108,-112,340,-440,-115,-105,-110,-110,324,-435,-110,-110,-115,-108,310,-420,-113,-110,-111,-101,343,-425,-107,-107,-115,-105,337,-430,-110,-110,-110,-110,333,-450,-105,-115,-110,-110,320,-430,-110,-110,-110,-110,330,-420,-110,-110
NBA,2026-03-25 18:36:27,2026-03-25 19:40,277fee894c9dc5c623ed6a131bf513c7,Boston Celtics,Oklahoma City Thunder,No,1495.8,Yes,East,Atlantic,West,Northwest,-109.11,-86.89,2.06,-2.06,114.0,-135.78,-110.11,-109.44,221.67,-108,-112,120,-142,-112,-108,-105,-115,114,-135,-110,-110,-110,-110,110,-136,-110,-110,-113,-109,110,-136,-112,-110,-106,-106,117,-133,-107,-107,-110,-110,115,-135,-110,-110,-115,105,115,-140,-110,-110,-105,-115,110,-130,-110,-110,-110,-110,115,-135,-110,-110
NBA,2026-03-25 18:36:27,2026-03-25 19:40,bb33d3e33ac233af2a20161310f567f2,Cleveland Cavaliers,Miami Heat,No,1086.5,Yes,East,Central,East,Southeast,-109.78,-109.78,-2.5,2.5,-146.0,123.22,-110.56,-109.11,242.89,-110,-110,-144,122,-114,-106,-110,-110,-148,124,-115,-105,-110,-110,-152,123,-110,-110,-112,-112,-137,110,-114,-109,-106,-106,-146,129,-107,-107,-110,-110,-147,127,-110,-110,-110,-110,-150,125,-105,-115,-110,-110,-140,120,-110,-110,-110,-110,-150,129,-110,-110
NBA,2026-03-25 18:36:27,2026-03-25 20:10,bcbad64f54906ae96b4be0ef54b453b4,Memphis Grizzlies,San Antonio Spurs,Yes,628.7,Yes,West,Southwest,West,Southwest,-108.0,-111.44,16.78,-16.78,913.67,-1711.22,-109.22,-110.44,233.17,-106,-114,870,-1500,-108,-112,-102,-118,950,-1650,-105,-115,-110,-110,866,-1667,-110,-110,-113,-110,750,-1430,-113,-110,-106,-106,1042,-1804,-107,-107,-110,-110,995,-1850,-110,-110,-105,-115,950,-2000,-110,-110,-110,-110,850,-1800,-110,-110,-110,-110,950,-1700,-110,-110
NBA,2026-03-25 18:36:27,2026-03-25 21:10,dcd42c163a10db20aa31d9ee311c07bd,Utah Jazz,Washington Wizards,No,1847.5,Yes,West,Northwest,East,Southeast,-110.89,-86.33,-4.06,4.06,-178.11,149.33,-109.11,-110.44,239.33,-112,-108,-174,146,-105,-115,-120,100,-180,150,-110,-110,-110,-110,-182,146,-110,-110,-110,-113,-182,145,-110,-112,-106,-106,-175,154,-107,-107,-110,-110,-175,153,-110,-110,-115,-105,-185,150,-110,-110,-105,-115,-175,150,-110,-110,-110,-110,-175,150,-110,-110
NBA,2026-03-25 18:36:27,2026-03-25 21:40,cf2665074fd82e7b5f2b4393f20afd32,Minnesota Timberwolves,Houston Rockets,No,1056.4,Yes,West,Northwest,West,Southwest,-107.67,-111.78,1.61,-1.61,105.33,-125.44,-109.44,-110.22,223.17,-105,-115,108,-126,-114,-106,-105,-115,105,-125,-105,-115,-110,-110,103,-125,-110,-110,-108,-115,105,-130,-114,-109,-106,-106,102,-118,-107,-107,-110,-110,110,-130,-110,-110,-110,-110,105,-125,-105,-115,-110,-110,105,-125,-110,-110,-105,-115,105,-125,-110,-110
NBA,2026-03-25 18:36:27,2026-03-25 22:10,f0853d396988ee8ea615897e136d22cb,Golden State Warriors,Brooklyn Nets,No,2572.5,Yes,West,Pacific,East,Atlantic,-109.56,-109.89,-12.44,12.44,-638.67,459.67,-110.44,-109.22,217.17,-106,-114,-650,480,-112,-108,-110,-110,-625,455,-110,-110,-110,-110,-588,414,-110,-110,-114,-109,-670,450,-110,-113,-106,-106,-640,487,-107,-107,-110,-110,-650,476,-110,-110,-110,-110,-625,450,-115,-105,-110,-110,-650,450,-110,-110,-110,-110,-650,475,-110,-110
NBA,2026-03-25 18:36:27,2026-03-25 22:10,63b3c408cf1e55eb8d34aec686038a87,Denver Nuggets,Dallas Mavericks,No,662.5,Yes,West,Northwest,West,Southwest,-108.78,-110.78,-11.61,11.61,-651.89,466.56,-110.56,-109.11,245.0,-112,-108,-620,460,-108,-112,-110,-110,-650,470,-115,-105,-110,-110,-667,451,-110,-110,-112,-112,-715,475,-110,-113,-103,-109,-640,487,-107,-107,-107,-113,-650,476,-110,-110,-110,-110,-650,475,-115,-105,-105,-115,-625,430,-110,-110,-110,-110,-650,475,-110,-110
