League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-10-30 23:46:01,2025-10-31 19:00,Indiana Pacers,Atlanta Hawks,No,425.5,Yes,-110.89,-108.78,112.38,-133.75,-110.67,-109.33,East,Central,East,Southeast,-112,-108,114,-135,-105,-115,-110.0,-110.0,108.0,-126.0,-112.0,-108.0,-115.0,-110.0,104.0,-129.0,-112.0,-114.0,-110.0,-110.0,111.0,-137.0,-110.0,-110.0,-110.0,-110.0,115.0,-135.0,-110.0,-110.0,-106.0,-106.0,117.0,-133.0,-107.0,-107.0,-115.0,-105.0,115.0,-135.0,-115.0,-105.0,-110.0,-110.0,115.0,-140.0,-115.0,-105.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-10-30 23:46:01,2025-10-31 19:00,Philadelphia 76ers,Boston Celtics,Yes,273.6,Yes,-109.78,-110.0,-128.62,107.38,-109.67,-110.22,East,Atlantic,East,Atlantic,-118,-102,-125,105,-108,-112,-112.0,-108.0,-134.0,114.0,-110.0,-110.0,-114.0,-112.0,-130.0,105.0,-112.0,-113.0,-110.0,-110.0,-130.0,106.0,-110.0,-110.0,-105.0,-115.0,-126.0,106.0,-110.0,-110.0,-101.0,-111.0,-124.0,108.0,-107.0,-107.0,-105.0,-115.0,-125.0,105.0,-110.0,-110.0,-118.0,-102.0,-135.0,110.0,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0
NBA,2025-10-30 23:46:01,2025-10-31 19:30,Cleveland Cavaliers,Toronto Raptors,No,189.3,Yes,-110.89,-108.89,-298.5,240.38,-109.89,-110.11,East,Central,East,Atlantic,-110,-110,-298,240,-110,-110,-108.0,-112.0,-295.0,240.0,-110.0,-110.0,-114.0,-112.0,-315.0,240.0,-112.0,-114.0,-110.0,-110.0,-303.0,237.0,-110.0,-110.0,-115.0,-105.0,-295.0,241.0,-110.0,-110.0,-111.0,-101.0,-292.0,245.0,-107.0,-107.0,-105.0,-115.0,-290.0,240.0,-110.0,-110.0,-110.0,-110.0,-300.0,240.0,-110.0,-110.0,-115.0,-105.0,,,-110.0,-110.0
NBA,2025-10-30 23:46:01,2025-10-31 20:00,Chicago Bulls,New York Knicks,No,715.3,Yes,-109.78,-110.0,148.75,-177.88,-108.11,-112.0,East,Central,East,Atlantic,-115,-105,150,-180,-110,-110,-105.0,-115.0,146.0,-174.0,-112.0,-108.0,-117.0,-109.0,138.0,-175.0,-114.0,-112.0,-110.0,-110.0,144.0,-179.0,-110.0,-110.0,-105.0,-115.0,153.0,-175.0,-105.0,-115.0,-101.0,-111.0,154.0,-175.0,-102.0,-113.0,-115.0,-105.0,155.0,-180.0,-110.0,-110.0,-115.0,-105.0,150.0,-185.0,-105.0,-115.0,-105.0,-115.0,,,-105.0,-115.0
NBA,2025-10-30 23:46:01,2025-10-31 21:30,Memphis Grizzlies,Los Angeles Lakers,No,1604.9,Yes,-109.56,-110.11,-144.5,121.38,-110.56,-109.44,West,Southwest,West,Pacific,-112,-108,-142,120,-115,-105,-110.0,-110.0,-142.0,120.0,-110.0,-110.0,-113.0,-112.0,-159.0,128.0,-113.0,-113.0,-110.0,-110.0,-145.0,118.0,-110.0,-110.0,-110.0,-110.0,-140.0,120.0,-110.0,-110.0,-106.0,-106.0,-138.0,122.0,-107.0,-107.0,-105.0,-115.0,-145.0,125.0,-110.0,-110.0,-110.0,-110.0,-145.0,118.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-10-30 23:46:01,2025-10-31 22:00,Portland Trail Blazers,Denver Nuggets,Yes,981.8,Yes,-112.78,-106.89,160.12,-191.62,-111.56,-108.56,West,Northwest,West,Northwest,-112,-108,164,-198,-108,-112,-110.0,-110.0,160.0,-190.0,-110.0,-110.0,-112.0,-113.0,155.0,-195.0,-113.0,-113.0,-110.0,-110.0,149.0,-185.0,-110.0,-110.0,-115.0,-105.0,161.0,-185.0,-115.0,-105.0,-111.0,-101.0,162.0,-185.0,-113.0,-102.0,-115.0,-105.0,165.0,-195.0,-110.0,-110.0,-115.0,-105.0,165.0,-200.0,-110.0,-110.0,-115.0,-105.0,,,-115.0,-105.0
NBA,2025-10-30 23:46:01,2025-10-31 22:00,Phoenix Suns,Utah Jazz,No,505.1,Yes,-108.56,-111.22,-154.25,129.5,-110.56,-109.33,West,Pacific,West,Northwest,-102,-118,-155,130,-115,-105,-110.0,-110.0,-154.0,130.0,-106.0,-114.0,-114.0,-112.0,-167.0,133.0,-112.0,-113.0,-110.0,-110.0,-149.0,121.0,-110.0,-110.0,-110.0,-110.0,-150.0,130.0,-110.0,-110.0,-106.0,-106.0,-149.0,132.0,-107.0,-107.0,-110.0,-110.0,-160.0,135.0,-115.0,-105.0,-105.0,-115.0,-150.0,125.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-10-30 23:46:01,2025-10-31 22:30,Los Angeles Clippers,New Orleans Pelicans,No,1677.3,Yes,-109.89,-109.89,-528.62,391.5,-109.44,-110.33,West,Pacific,West,Southwest,-105,-115,-535,400,-108,-112,-110.0,-110.0,-520.0,400.0,-110.0,-110.0,-113.0,-113.0,-480.0,340.0,-110.0,-114.0,-110.0,-110.0,-526.0,384.0,-110.0,-110.0,-115.0,-105.0,-525.0,400.0,-110.0,-110.0,-111.0,-101.0,-518.0,408.0,-107.0,-107.0,-105.0,-115.0,-575.0,400.0,-110.0,-110.0,-105.0,-115.0,-550.0,400.0,-110.0,-110.0,-115.0,-105.0,,,-110.0,-110.0
NBA,2025-10-30 23:46:01,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-110.5,-112.5,-139.0,115.5,-111.5,-111.5,East,Atlantic,East,Central,-108,-112,-135,114,-110,-110,,,,,,,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 23:46:01,2025-12-25 14:30,Oklahoma City Thunder,San Antonio Spurs,No,419.4,No,-111.0,-111.5,-415.0,315.0,-113.5,-109.5,West,Northwest,West,Southwest,-110,-110,-410,320,-115,-105,,,,,,,-112.0,-113.0,-420.0,310.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
