League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-23 16:21:06,2025-11-23 18:10,Atlanta Hawks,Charlotte Hornets,Yes,226.8,No,-111.33,-108.33,-293.22,237.67,-110.44,-109.44,East,Southeast,East,Southeast,-114,-106,-295,240,-110,-110,-110,-110,-284,221,-110,-110,-112,-108,-298,240,-110,-110,-115,-110,-295,230,-113,-112,-111,-101,-287,241,-109,-105,-115,-105,-290,237,-112,-108,-105,-115,-300,250,-110,-110,-110,-110,-300,240,-110,-110,-110,-110,-290,240,-110,-110
NBA,2025-11-23 16:21:06,2025-11-23 18:10,Boston Celtics,Orlando Magic,No,1115.0,No,-111.22,-108.56,-184.56,155.11,-110.33,-109.67,East,Atlantic,East,Southeast,-106,-114,-184,154,-114,-106,-110,-110,-185,150,-110,-110,-110,-110,-192,160,-110,-110,-114,-112,-186,148,-112,-114,-111,-101,-182,160,-107,-107,-115,-105,-182,159,-110,-110,-110,-110,-180,155,-110,-110,-115,-105,-190,155,-110,-110,-110,-110,-180,155,-110,-110
NBA,2025-11-23 16:21:06,2025-11-23 18:10,Toronto Raptors,Brooklyn Nets,Yes,344.5,No,-108.78,-111.0,-685.44,483.67,-109.67,-110.22,East,Atlantic,East,Atlantic,-106,-114,-670,490,-110,-110,-110,-110,-714,480,-110,-110,-105,-115,-675,490,-115,-105,-117,-109,-770,480,-110,-115,-106,-106,-640,487,-107,-107,-110,-110,-650,476,-110,-110,-110,-110,-700,475,-110,-110,-105,-115,-700,500,-105,-115,-110,-110,-650,475,-110,-110
NBA,2025-11-23 16:21:06,2025-11-23 18:10,Cleveland Cavaliers,Los Angeles Clippers,No,2057.9,No,-110.89,-108.89,-317.22,254.89,-110.56,-109.44,East,Central,West,Pacific,-112,-108,-310,250,-110,-110,-110,-110,-333,256,-110,-110,-108,-112,-325,260,-110,-110,-112,-114,-315,245,-112,-114,-111,-101,-307,256,-110,-104,-115,-105,-310,252,-113,-107,-110,-110,-320,260,-110,-110,-110,-110,-325,260,-110,-110,-110,-110,-310,255,-110,-110
NBA,2025-11-23 16:21:06,2025-11-23 19:10,Oklahoma City Thunder,Portland Trail Blazers,Yes,1487.1,Yes,-109.67,-110.11,-1226.11,742.67,-110.22,-109.78,West,Northwest,West,Northwest,-110,-110,-1400,830,-110,-110,-110,-110,-1111,644,-110,-110,-115,-105,-1200,750,-108,-112,-112,-114,-1250,700,-112,-114,-103,-109,-1174,781,-107,-107,-107,-113,-1200,754,-110,-110,-105,-115,-1100,650,-115,-105,-115,-105,-1400,825,-110,-110,-110,-110,-1200,750,-110,-110
NBA,2025-11-23 16:21:06,2025-11-23 20:10,Utah Jazz,Los Angeles Lakers,No,580.8,Yes,-109.11,-110.56,333.11,-434.44,-109.22,-110.89,West,Northwest,West,Pacific,-106,-114,350,-450,-114,-106,-110,-110,332,-455,-110,-110,-110,-110,330,-425,-110,-110,-110,-115,320,-435,-112,-114,-106,-106,336,-415,-102,-113,-110,-110,330,-420,-105,-115,-110,-110,330,-440,-110,-110,-110,-110,340,-450,-110,-110,-110,-110,330,-420,-110,-110
NBA,2025-11-23 16:21:06,2025-11-23 20:10,Phoenix Suns,San Antonio Spurs,No,850.8,Yes,-109.89,-109.89,-139.22,117.0,-112.11,-108.0,West,Pacific,West,Southwest,-110,-110,-142,120,-110,-110,-110,-110,-139,113,-110,-110,-110,-110,-142,120,-112,-108,-114,-112,-139,112,-114,-112,-103,-109,-132,116,-113,-102,-107,-113,-134,114,-115,-105,-115,-105,-145,125,-110,-110,-110,-110,-145,118,-115,-105,-110,-110,-135,115,-110,-110
