League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-02 22:52:39,2025-12-02 20:10,New Orleans Pelicans,Minnesota Timberwolves,No,1051.1,Yes,-62.0,-70.75,987.5,-3057.25,-125.25,-57.75,West,Southwest,West,Northwest,112,-148,,,-146.0,110.0,,,1800.0,-6500.0,-120,-110,,,650.0,-2500.0,,,-150.0,115.0,,,,,-105.0,-125.0,700.0,-1429.0,-125.0,-111.0,-105.0,-125.0,800.0,-1800.0,-110.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 22:52:39,2025-12-02 20:11,San Antonio Spurs,Memphis Grizzlies,Yes,628.7,Yes,-109.33,63.0,,,105.0,-135.0,West,Southwest,West,Southwest,-240,174,,,,,-188.0,145.0,,,105,-135,,,,,,,100.0,-130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 22:52:39,2025-12-02 23:10,Golden State Warriors,Oklahoma City Thunder,No,1387.6,Yes,-109.78,-110.0,411.11,-563.11,-108.67,-111.33,West,Pacific,West,Northwest,-114,-106,410.0,-550.0,-106.0,-114.0,-105.0,-115.0,410.0,-550.0,-108,-112,-113.0,-113.0,425.0,-625.0,-113.0,-113.0,-105.0,-115.0,425.0,-600.0,-105.0,-115.0,-110.0,-110.0,387.0,-556.0,-110.0,-110.0,-110.0,-110.0,400.0,-575.0,-115.0,-105.0,-106.0,-106.0,417.0,-532.0,-104.0,-110.0,-115.0,-105.0,409.0,-540.0,-107.0,-113.0,-110.0,-110.0,417.0,-540.0,-110.0,-110.0
NBA,2025-12-02 22:52:39,2025-12-03 19:10,Cleveland Cavaliers,Portland Trail Blazers,No,2055.0,Yes,-111.0,-70.2,-442.0,333.4,-113.0,-108.2,East,Central,West,Northwest,-108,-112,-405.0,315.0,-114.0,-106.0,-120.0,100.0,-455.0,350.0,-118,-102,-112.0,-114.0,-420.0,310.0,-113.0,-113.0,-105.0,-115.0,-475.0,360.0,-110.0,-110.0,-110.0,-110.0,-455.0,332.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 22:52:39,2025-12-03 19:10,Indiana Pacers,Denver Nuggets,No,1002.0,Yes,-110.88,-108.88,245.38,-305.62,-109.25,-110.75,East,Central,West,Northwest,-114,-106,250.0,-310.0,-108.0,-112.0,-115.0,-105.0,245.0,-305.0,-112,-108,-112.0,-114.0,235.0,-305.0,-112.0,-114.0,-110.0,-110.0,240.0,-300.0,-105.0,-115.0,-110.0,-110.0,239.0,-313.0,-110.0,-110.0,,,,,,,-106.0,-106.0,252.0,-302.0,-107.0,-107.0,-110.0,-110.0,249.0,-305.0,-110.0,-110.0,-110.0,-110.0,253.0,-305.0,-110.0,-110.0
NBA,2025-12-02 22:52:39,2025-12-03 19:10,Orlando Magic,San Antonio Spurs,No,1033.6,Yes,-111.4,-109.6,-256.8,205.8,-111.2,-109.6,East,Southeast,West,Southwest,-112,-108,-255.0,210.0,-106.0,-114.0,-110.0,-110.0,-258.0,210.0,-115,-105,-115.0,-110.0,-265.0,205.0,-110.0,-114.0,-110.0,-110.0,-250.0,200.0,-115.0,-105.0,-110.0,-110.0,-256.0,204.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 22:52:39,2025-12-03 19:40,Atlanta Hawks,Los Angeles Clippers,No,1943.0,Yes,-111.75,-82.88,-157.2,130.0,-111.62,-108.38,East,Southeast,West,Pacific,-108,-112,-158.0,136.0,-112.0,-108.0,-120.0,100.0,-166.0,140.0,-115,-105,-115.0,-110.0,-155.0,125.0,-114.0,-112.0,-115.0,-105.0,-155.0,125.0,-115.0,-105.0,-110.0,-110.0,-152.0,124.0,-110.0,-110.0,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-12-02 22:52:39,2025-12-03 19:40,New York Knicks,Charlotte Hornets,No,533.4,Yes,-111.6,-109.6,-438.2,330.2,-110.8,-110.4,East,Atlantic,East,Southeast,-106,-114,-405.0,320.0,-110.0,-110.0,-115.0,-105.0,-425.0,330.0,-115,-105,-112.0,-114.0,-435.0,320.0,-114.0,-112.0,-115.0,-105.0,-450.0,340.0,-105.0,-115.0,-110.0,-110.0,-476.0,341.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 22:52:39,2025-12-03 20:10,Chicago Bulls,Brooklyn Nets,No,717.1,Yes,-109.67,-110.11,-308.0,244.0,-108.67,-111.22,East,Central,East,Atlantic,-114,-106,-295.0,240.0,-106.0,-114.0,-105.0,-115.0,-305.0,245.0,-108,-112,-112.0,-114.0,-335.0,250.0,-112.0,-113.0,-115.0,-105.0,-300.0,240.0,-105.0,-115.0,-110.0,-110.0,-303.0,234.0,-110.0,-110.0,-110.0,-110.0,-310.0,255.0,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-12-02 22:52:39,2025-12-03 20:10,Houston Rockets,Sacramento Kings,No,1609.3,Yes,-109.0,-110.67,-1271.67,730.83,-111.44,-108.56,West,Southwest,West,Pacific,-110,-110,-1150.0,730.0,-114.0,-106.0,-110.0,-110.0,-1200.0,750.0,-115,-105,-115.0,-110.0,-1430.0,700.0,-112.0,-114.0,-110.0,-110.0,-1400.0,800.0,-115.0,-105.0,-110.0,-110.0,-1250.0,705.0,-110.0,-110.0,-110.0,-110.0,-1200.0,700.0,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
