League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds
NBA,2025-12-04 20:58:33,2025-12-04 19:10,Philadelphia 76ers,Golden State Warriors,No,2521.8,Yes,-100.83,-55.17,-1468.5,653.33,-114.67,-116.33,East,Atlantic,West,Pacific,108,-144,-1800.0,800.0,-122,-108,-455.0,285.0,-1111.0,600.0,-111.0,-118.0,100.0,-130.0,-750.0,470.0,-110.0,-120.0,-130.0,-112.0,-1250.0,550.0,-115.0,-127.0,-118.0,-110.0,-3000.0,1000.0,-115.0,-110.0,-110.0,-120.0,-900.0,500.0,-115.0,-115.0,,,,,,,,,,,,
NBA,2025-12-04 20:58:33,2025-12-04 19:11,Washington Wizards,Boston Celtics,No,394.0,Yes,-116.33,-115.5,,,-115.67,-116.17,East,Southeast,East,Atlantic,-120,-110,,,-128,-104,-118.0,-111.0,,,-118.0,-111.0,-105.0,-125.0,,,-110.0,-120.0,-125.0,-117.0,,,-118.0,-124.0,-115.0,-115.0,,,-110.0,-118.0,-115.0,-115.0,,,-110.0,-120.0,,,,,,,,,,,,
NBA,2025-12-04 20:58:33,2025-12-04 19:41,Brooklyn Nets,Utah Jazz,No,1975.1,Yes,-112.17,-118.67,-37.83,-125.33,-82.0,-82.0,East,Atlantic,West,Northwest,-104,-128,-104.0,-122.0,-132,100,-118.0,-105.0,-105.0,-125.0,100.0,-125.0,-105.0,-125.0,-120.0,-110.0,-115.0,-115.0,-121.0,-121.0,-103.0,-130.0,-120.0,-122.0,-110.0,-118.0,105.0,-135.0,-110.0,-115.0,-115.0,-115.0,100.0,-130.0,-115.0,-115.0,,,,,,,,,,,,
NBA,2025-12-04 20:58:33,2025-12-04 19:42,Toronto Raptors,Los Angeles Lakers,No,2177.4,Yes,-122.4,-110.2,144.0,-191.0,-115.67,-115.33,East,Atlantic,West,Pacific,-130,-102,136.0,-174.0,-104,-128,-118.0,-111.0,160.0,-222.0,-111.0,-111.0,-120.0,-110.0,110.0,-140.0,-115.0,-115.0,-124.0,-118.0,148.0,-200.0,-124.0,-118.0,,,160.0,-210.0,-125.0,-105.0,-120.0,-110.0,150.0,-200.0,-115.0,-115.0,,,,,,,,,,,,
NBA,2025-12-04 20:58:33,2025-12-04 20:10,New Orleans Pelicans,Minnesota Timberwolves,No,1051.1,Yes,-121.0,-78.17,390.83,-625.0,-118.67,-79.0,West,Southwest,West,Northwest,-138,104,370.0,-590.0,-136,102,-111.0,-118.0,400.0,-625.0,-111.0,-111.0,-110.0,-120.0,450.0,-720.0,-110.0,-120.0,-122.0,-120.0,400.0,-715.0,-122.0,-120.0,-125.0,-105.0,375.0,-550.0,-118.0,-110.0,-120.0,-110.0,350.0,-550.0,-115.0,-115.0,,,,,,,,,,,,
NBA,2025-12-04 20:58:33,2025-12-05 19:10,Boston Celtics,Los Angeles Lakers,No,2597.9,Yes,-110.0,-110.0,-251.5,201.5,-110.0,-110.0,East,Atlantic,West,Pacific,-110,-110,-240.0,198.0,-110,-110,-110.0,-110.0,-263.0,205.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-04 20:58:33,2025-12-05 19:10,Orlando Magic,Miami Heat,Yes,203.7,Yes,-110.0,-110.0,-202.0,166.0,-110.0,-110.0,East,Southeast,East,Southeast,-110,-110,-196.0,164.0,-110,-110,-110.0,-110.0,-208.0,168.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-04 20:58:33,2025-12-05 19:40,Atlanta Hawks,Denver Nuggets,No,1212.6,Yes,-109.0,-111.0,247.0,-311.5,-110.0,-110.0,East,Southeast,West,Northwest,-108,-112,250.0,-310.0,-110,-110,-110.0,-110.0,244.0,-313.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-04 20:58:33,2025-12-05 19:40,Toronto Raptors,Charlotte Hornets,No,586.0,Yes,-110.0,-110.0,-306.5,242.0,-110.0,-110.0,East,Atlantic,East,Southeast,-110,-110,-300.0,245.0,-110,-110,-110.0,-110.0,-313.0,239.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-04 20:58:33,2025-12-05 19:40,Cleveland Cavaliers,San Antonio Spurs,No,1254.7,Yes,-111.83,-106.83,-204.75,167.5,-109.0,-110.0,East,Central,West,Southwest,-110,-110,-196.0,164.0,-112,-108,-110.0,-110.0,-208.0,166.0,-110.0,-110.0,-115.0,-105.0,-205.0,170.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-210.0,170.0,-105.0,-115.0,,,,,,,-115.0,-105.0,,,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0
NBA,2025-12-04 20:58:33,2025-12-05 19:40,Detroit Pistons,Portland Trail Blazers,No,1968.3,Yes,-108.2,-110.2,-234.67,190.67,-109.4,-109.4,East,Central,West,Northwest,-110,-110,-235.0,194.0,-110,-110,-110.0,-110.0,-244.0,193.0,-110.0,-110.0,-105.0,-115.0,-225.0,185.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0
NBA,2025-12-04 20:58:33,2025-12-05 19:40,New York Knicks,Utah Jazz,No,1973.2,Yes,-110.33,-108.33,-1125.0,699.75,-109.5,-109.5,East,Atlantic,West,Northwest,-106,-114,-1150.0,730.0,-110,-110,-110.0,-110.0,-1000.0,619.0,-110.0,-110.0,-110.0,-110.0,-950.0,625.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-1400.0,825.0,-110.0,-110.0,,,,,,,-115.0,-105.0,,,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0
NBA,2025-12-04 20:58:33,2025-12-05 21:40,Oklahoma City Thunder,Dallas Mavericks,No,188.6,Yes,-108.67,-108.67,-1200.0,750.0,-109.0,-109.0,West,Northwest,West,Southwest,-110,-110,-1200.0,750.0,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0
NBA,2025-12-04 20:58:33,2025-12-09 18:00,Orlando Magic,Miami Heat,Yes,203.7,No,-111.33,-110.0,-214.33,175.33,-111.0,-111.0,East,Southeast,East,Southeast,-114,-106,-210.0,176.0,-110,-110,,,,,,,-110.0,-110.0,-218.0,180.0,-110.0,-110.0,-110.0,-114.0,-215.0,170.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-04 20:58:33,2025-12-09 20:30,Toronto Raptors,New York Knicks,Yes,340.9,Yes,-112.67,-109.33,114.0,-136.33,-111.33,-110.67,East,Atlantic,East,Atlantic,-110,-110,120.0,-142.0,-110,-110,,,,,,,-115.0,-105.0,110.0,-130.0,-110.0,-110.0,-113.0,-113.0,112.0,-137.0,-114.0,-112.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-04 20:58:33,2025-12-10 19:30,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-112.67,-109.33,-1133.33,700.0,-111.0,-111.0,West,Northwest,West,Pacific,-110,-110,-1200.0,750.0,-110,-110,,,,,,,-115.0,-105.0,-1200.0,750.0,-110.0,-110.0,-113.0,-113.0,-1000.0,600.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,
