League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-09 18:43:14,2026-05-09 20:40,40c8a29efb894c4dd6bf6acc5025c9cb,Los Angeles Lakers,Oklahoma City Thunder,No,1182.5,Yes,West,Pacific,West,Northwest,-83.78,-113.44,8.89,-8.89,295.67,-377.22,-111.0,-108.67,210.72,-115,-105,300,-375,-114,-106,-102,-118,295,-375,-108,-112,-102,-118,300,-375,-115,-105,-108,-115,290,-400,-110,-113,-110,-110,287,-374,-110,-110,-101,-119,303,-380,-110,-110,-106,-106,301,-366,-107,-107,-110,-110,290,-380,-115,-105,100.0,-120.0,295.0,-370.0,-110.0,-110.0
NBA,2026-05-09 18:43:14,2026-05-10 15:40,878243c543236baba132ad43ae333aae,Philadelphia 76ers,New York Knicks,Yes,85.5,No,East,Atlantic,East,Atlantic,-108.78,-110.67,1.28,-1.28,10.22,-118.89,-111.22,-108.44,212.83,-106,-114,104,-122,-110,-110,-115,-105,-105,-115,-110,-110,-115,-105,-102,-118,-115,-105,-110,-113,102,-125,-114,-109,-110,-110,-105,-116,-110,-110,-107,-113,-102,-118,-110,-110,-101,-111,100,-116,-107,-107,-110,-110,100,-120,-115,-105,-105.0,-115.0,100.0,-120.0,-110.0,-110.0
NBA,2026-05-09 18:43:14,2026-05-10 19:40,77e60e525f42e8337027f550bcd2f1cc,Minnesota Timberwolves,San Antonio Spurs,No,1109.0,Yes,West,Northwest,West,Southwest,-110.0,-109.38,4.5,-4.5,157.0,-187.75,-109.38,-110.38,218.25,-110,-110,156,-186,-108,-112,-110,-110,160,-192,-108,-112,-110,-110,155,-190,-110,-110,-114,-109,150,-190,-112,-112,-110,-110,152,-189,-110,-110,-110,-110,161,-185,-110,-110,-106,-106,162,-185,-107,-107,-110,-110,160,-185,-110,-110,,,,,,
NBA,2026-05-09 18:43:14,2026-05-11 20:00,b537062ee0483d20ae932052628b663d,Cleveland Cavaliers,Detroit Pistons,Yes,91.4,Yes,East,Central,East,Central,-111.12,-108.25,-3.5,3.5,-164.25,137.88,-108.38,-111.38,212.25,-115,-105,-168,142,-110,-110,-110,-110,-162,136,-110,-110,-110,-110,-170,140,-110,-110,-113,-110,-165,132,-110,-113,-110,-110,-164,132,-110,-110,-110,-110,-160,140,-105,-115,-106,-106,-160,141,-102,-113,-115,-105,-165,140,-110,-110,,,,,,
