League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-01-07 10:31:00,2026-01-07 19:10,Boston Celtics,Denver Nuggets,No,1770.4,Yes,-109.33,-110.33,-384.56,298.89,-109.75,-109.62,East,Atlantic,West,Northwest,-108,-112,-370,295,-110,-110,-110,-110,-400,302,-110,-110,-105,-115,-380,300,-105,-115,-110,-110,-375,299,-115,-105,-106,-106,-371,304,-113,-102,-110,-110,-400,300,-105,-115,-110,-110,-375.0,300.0,-110,-110,-115,-110,-400,295,,,-110,-110,-390,295,-110,-110
NBA,2026-01-07 10:31:00,2026-01-07 19:10,Charlotte Hornets,Toronto Raptors,No,586.0,Yes,-109.67,-110.11,103.78,-124.11,-109.75,-109.5,East,Southeast,East,Atlantic,-110,-110,114,-134,-110,-110,-110,-110,100,-122,-110,-110,-108,-112,102,-122,-115,-105,-110,-110,103,-123,-108,-112,-106,-106,105,-121,-105,-109,-110,-110,100,-120,-110,-110,-110,-110,105.0,-125.0,-110,-110,-113,-113,105,-130,,,-110,-110,100,-120,-110,-110
NBA,2026-01-07 10:31:00,2026-01-07 19:10,Detroit Pistons,Chicago Bulls,Yes,239.5,Yes,-107.11,-112.56,-497.0,375.44,-109.12,-110.12,East,Central,East,Central,-112,-108,-500,385,-106,-114,-110,-110,-500,364,-110,-110,-102,-118,-485,370,-110,-110,-105,-115,-505,386,-110,-110,-101,-111,-498,394,-107,-107,-102,-118,-500,375,-110,-110,-105,-115,-525.0,405.0,-110,-110,-112,-113,-480,350,,,-115,-105,-480,350,-110,-110
NBA,2026-01-07 10:31:00,2026-01-07 19:10,Philadelphia 76ers,Washington Wizards,No,120.7,Yes,-112.0,-107.78,-664.11,473.11,-109.25,-110.0,East,Atlantic,East,Southeast,-108,-112,-650,480,-110,-110,-110,-110,-667,455,-110,-110,-115,-105,-650,470,-112,-108,-115,-105,-650,476,-110,-110,-111,-101,-640,487,-107,-107,-115,-105,-750,525,-105,-115,-115,-105,-650.0,475.0,-110,-110,-114,-112,-670,440,,,-105,-115,-650,450,-110,-110
NBA,2026-01-07 10:31:00,2026-01-07 19:40,Atlanta Hawks,New Orleans Pelicans,No,424.9,Yes,-110.56,-109.11,-473.89,360.22,-110.25,-109.0,East,Southeast,West,Southwest,-110,-110,-450,350,-110,-110,-110,-110,-476,347,-110,-110,-110,-110,-470,360,-115,-105,-113,-107,-480,370,-110,-110,-109,-103,-474,377,-107,-107,-110,-110,-475,360,-110,-110,-110,-110,-480.0,378.0,-110,-110,-113,-112,-480,350,,,-110,-110,-480,350,-110,-110
NBA,2026-01-07 10:31:00,2026-01-07 19:40,Brooklyn Nets,Orlando Magic,No,936.6,Yes,-110.11,-109.67,107.44,-128.89,-108.62,-110.75,East,Atlantic,East,Southeast,-110,-110,114,-134,-110,-110,-110,-110,109,-134,-110,-110,-118,-102,110,-130,-112,-108,-110,-110,105,-125,-105,-115,-106,-106,107,-123,-102,-113,-105,-115,105,-130,-110,-110,-110,-110,105.0,-125.0,-110,-110,-112,-114,107,-134,,,-110,-110,105,-125,-110,-110
NBA,2026-01-07 10:31:00,2026-01-07 19:40,New York Knicks,Los Angeles Clippers,No,2459.8,Yes,-89.22,-108.33,-198.78,165.44,-111.88,-107.5,East,Atlantic,West,Pacific,-110,-110,-196,164,-110,-110,-110,-110,-206,166,-110,-110,-118,-102,-192,160,-112,-108,-115,-105,-190,165,-115,-105,-111,-101,-190,166,-113,-102,100,-120,-210,170,-115,-105,-110,-110,-190.0,163.0,-110,-110,-114,-112,-220,170,,,-115,-105,-195,165,-110,-110
NBA,2026-01-07 10:31:00,2026-01-07 20:10,Memphis Grizzlies,Phoenix Suns,No,1262.6,Yes,-110.0,-109.78,161.0,-192.25,-110.38,-108.88,West,Southwest,West,Pacific,-110,-110,154,-184,-106,-114,-110,-110,151,-185,-110,-110,-112,-108,164,-198,-115,-105,-110,-110,170,-195,-110,-110,-106,-106,171,-195,-107,-107,-110,-110,165,-200,-115,-105,-110,-110,,,-110,-110,-112,-114,148,-186,,,-110,-110,165,-195,-110,-110
NBA,2026-01-07 10:31:00,2026-01-07 20:10,Oklahoma City Thunder,Utah Jazz,Yes,863.6,Yes,-109.89,-109.78,-1284.38,742.12,-110.75,-108.62,West,Northwest,West,Northwest,-108,-112,-1100,700,-110,-110,-110,-110,-1667,818,-110,-110,-110,-110,-1200,750,-108,-112,-110,-110,-1050,686,-115,-105,-106,-106,-1028,708,-113,-102,-110,-110,-1400,775,-110,-110,-110,-110,,,-110,-110,-115,-110,-1430,750,,,-110,-110,-1400,750,-110,-110
NBA,2026-01-07 10:31:00,2026-01-07 21:40,San Antonio Spurs,Los Angeles Lakers,No,1208.0,Yes,-111.33,-108.33,-282.33,228.22,-110.12,-109.12,West,Southwest,West,Pacific,-114,-106,-300,245,-114,-106,-110,-110,-286,224,-110,-110,-102,-118,-278,225,-110,-110,-112,-108,-275,226,-110,-110,-108,-104,-272,229,-107,-107,-118,-102,-285,225,-110,-110,-110,-110,-280.0,235.0,-110,-110,-113,-112,-295,225,,,-115,-105,-270,220,-110,-110
NBA,2026-01-07 10:31:00,2026-01-07 22:10,Golden State Warriors,Milwaukee Bucks,No,1840.7,Yes,-110.33,-109.44,-241.78,196.67,-108.88,-110.38,West,Pacific,East,Central,-110,-110,-245,200,-106,-114,-110,-110,-244,192,-110,-110,-118,-102,-245,200,-108,-112,-110,-110,-235,195,-110,-110,-106,-106,-232,198,-107,-107,-102,-118,-250,200,-110,-110,-110,-110,-230.0,195.0,-110,-110,-117,-109,-265,200,,,-110,-110,-230,190,-110,-110
NBA,2026-01-07 10:31:00,2026-01-07 22:10,Portland Trail Blazers,Houston Rockets,No,1836.0,Yes,-110.11,-109.56,211.89,-259.0,-110.5,-108.75,West,Northwest,West,Southwest,-112,-108,210,-255,-110,-110,-110,-110,207,-263,-110,-110,-108,-112,215,-265,-115,-105,-110,-110,211,-255,-111,-109,-106,-106,214,-253,-108,-106,-110,-110,220,-275,-110,-110,-110,-110,215.0,-255.0,-110,-110,-115,-110,200,-250,,,-110,-110,215,-260,-110,-110
