League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-10-31 21:55:56,2025-10-31 19:41,Cleveland Cavaliers,Toronto Raptors,No,189.3,Yes,-121.33,-111.67,1188.75,-3363.75,-117.5,-16.5,East,Central,East,Atlantic,-125.0,-105.0,,,-130.0,100.0,-106.0,-125.0,,,,,,,3300.0,-10000.0,,,,,600,-2000,,,-133.0,-105.0,305.0,-455.0,-105.0,-133.0,,,550.0,-1000.0,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 21:55:56,2025-10-31 20:10,Chicago Bulls,New York Knicks,No,715.3,Yes,-117.83,-113.67,-391.83,270.83,-117.17,-114.33,East,Central,East,Atlantic,-120.0,-110.0,-360.0,260.0,-120.0,-110.0,-114.0,-114.0,-330.0,240.0,-118.0,-112.0,-125.0,-105.0,-350.0,260.0,-118.0,-110.0,-122.0,-120.0,-500,320,-121.0,-121.0,-111.0,-118.0,-286.0,205.0,-111.0,-118.0,-115.0,-115.0,-525.0,340.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 21:55:56,2025-10-31 21:42,Memphis Grizzlies,Los Angeles Lakers,No,1604.9,Yes,-109.89,-116.56,-45.67,-90.44,-114.11,-112.89,West,Southwest,West,Pacific,-115.0,-115.0,-125.0,-105.0,-115.0,-115.0,-110.0,-120.0,-125.0,-102.0,-122.0,-108.0,-102.0,-130.0,-110.0,-115.0,-110.0,-118.0,-120.0,-122.0,-117,-115,-120.0,-122.0,-111.0,-111.0,-125.0,100.0,-118.0,-111.0,-115.0,-115.0,-120.0,-110.0,-115.0,-115.0,-105.0,-115.0,102.0,-122.0,-110.0,-110.0,-101.0,-111.0,104.0,-120.0,-107.0,-107.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0
NBA,2025-10-31 21:55:56,2025-10-31 22:10,Portland Trail Blazers,Denver Nuggets,Yes,981.8,Yes,-111.0,-108.67,186.33,-226.33,-109.89,-110.11,West,Northwest,West,Northwest,-115.0,-105.0,195.0,-238.0,-110.0,-110.0,-112.0,-108.0,190.0,-230.0,-108.0,-112.0,-110.0,-110.0,185.0,-225.0,-110.0,-110.0,-117.0,-108.0,175,-225,-114.0,-112.0,-110.0,-110.0,185.0,-234.0,-110.0,-110.0,-105.0,-115.0,190.0,-230.0,-110.0,-110.0,-112.0,-108.0,185.0,-218.0,-110.0,-110.0,-108.0,-104.0,187.0,-217.0,-107.0,-107.0,-110.0,-110.0,185.0,-220.0,-110.0,-110.0
NBA,2025-10-31 21:55:56,2025-10-31 22:10,Phoenix Suns,Utah Jazz,No,505.1,Yes,-108.67,-111.0,-150.22,127.0,-111.78,-108.11,West,Pacific,West,Northwest,-105.0,-115.0,-155.0,130.0,-108.0,-112.0,-110.0,-110.0,-146.0,124.0,-114.0,-106.0,-105.0,-115.0,-150.0,125.0,-115.0,-105.0,-110.0,-115.0,-150,120,-115.0,-110.0,-110.0,-110.0,-152.0,123.0,-110.0,-110.0,-110.0,-110.0,-150.0,130.0,-115.0,-105.0,-111.0,-109.0,-150.0,130.0,-111.0,-109.0,-107.0,-105.0,-149.0,132.0,-108.0,-106.0,-110.0,-110.0,-150.0,129.0,-110.0,-110.0
NBA,2025-10-31 21:55:56,2025-10-31 22:30,Los Angeles Clippers,New Orleans Pelicans,No,1677.3,Yes,-111.67,-108.11,-546.44,403.67,-109.44,-110.56,West,Pacific,West,Southwest,-115.0,-105.0,-535.0,400.0,-105.0,-115.0,-110.0,-110.0,-590.0,440.0,-106.0,-114.0,-115.0,-105.0,-600.0,425.0,-115.0,-105.0,-114.0,-112.0,-500,360,-112.0,-114.0,-110.0,-110.0,-600.0,420.0,-110.0,-110.0,-115.0,-105.0,-525.0,375.0,-110.0,-110.0,-110.0,-110.0,-525.0,400.0,-110.0,-110.0,-106.0,-106.0,-518.0,408.0,-107.0,-107.0,-110.0,-110.0,-525.0,405.0,-110.0,-110.0
NBA,2025-10-31 21:55:56,2025-11-01 17:10,Milwaukee Bucks,Sacramento Kings,No,1775.2,No,-109.29,-110.43,-245.0,198.0,-109.0,-111.0,East,Central,West,Pacific,-110.0,-110.0,-245.0,200.0,-110.0,-110.0,-110.0,-110.0,-230.0,190.0,-108.0,-112.0,-105.0,-115.0,-250.0,200.0,-105.0,-115.0,-114.0,-112.0,-265,205,-113.0,-113.0,,,,,,,-110.0,-110.0,-235.0,195.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,,,,,,
NBA,2025-10-31 21:55:56,2025-11-01 18:10,Charlotte Hornets,Minnesota Timberwolves,No,939.7,No,-110.29,-109.29,177.2,-216.6,-109.71,-110.29,East,Southeast,West,Northwest,-115.0,-105.0,180.0,-218.0,-110.0,-110.0,-106.0,-114.0,176.0,-210.0,-108.0,-112.0,-110.0,-110.0,180.0,-220.0,-110.0,-110.0,-115.0,-110.0,170,-215,-113.0,-113.0,,,,,,,-110.0,-110.0,180.0,-220.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,,,,,,
NBA,2025-10-31 21:55:56,2025-11-01 19:10,Indiana Pacers,Golden State Warriors,No,1948.2,Yes,-107.25,-114.25,357.5,-473.75,-111.0,-110.5,East,Central,West,Pacific,-105.0,-115.0,370.0,-485.0,-110.0,-110.0,-110.0,-110.0,370.0,-480.0,-110.0,-110.0,-105.0,-115.0,360.0,-475.0,-110.0,-110.0,-109.0,-117.0,330,-455,-114.0,-112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 21:55:56,2025-11-01 19:10,Washington Wizards,Orlando Magic,Yes,756.6,Yes,-108.86,-110.86,254.0,-322.6,-109.86,-110.14,East,Southeast,East,Southeast,-108.0,-112.0,240.0,-298.0,-110.0,-110.0,-110.0,-110.0,270.0,-335.0,-110.0,-110.0,-110.0,-110.0,230.0,-295.0,-110.0,-110.0,-113.0,-113.0,260,-345,-112.0,-114.0,,,,,,,-105.0,-115.0,270.0,-340.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,,,,,,
