League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-01-14 21:04:34,2026-01-14 19:12,Indiana Pacers,Toronto Raptors,No,440.8,Yes,-116.4,-74.2,1575.0,-8000.0,-111.75,-118.25,East,Central,East,Atlantic,-138,104,1200,-4500,-112,-118,-105.0,-125.0,950.0,-2500.0,-125.0,-105.0,-110,-120,2500,-15000,-105,-125,-115,-110,1650,-10000,-105,-125,-114.0,-120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-14 21:04:34,2026-01-14 19:13,Philadelphia 76ers,Cleveland Cavaliers,No,359.4,Yes,-69.2,-121.4,1587.5,-6450.0,-115.5,-113.75,East,Atlantic,East,Central,-106,-125,1400,-6000,-108,-122,-105.0,-125.0,1150.0,-5000.0,-111.0,-118.0,100,-130,1600,-4800,-125,-105,-118,-110,2200,-10000,-118,-110,-117.0,-117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-14 21:04:34,2026-01-14 20:11,New Orleans Pelicans,Brooklyn Nets,No,1169.5,Yes,-127.4,-23.0,17.8,-124.8,-0.75,-132.5,West,Southwest,East,Atlantic,-146,110,-106,-120,110,-146,-133.0,110.0,100.0,-125.0,115.0,-154.0,-115,-115,100,-130,-110,-120,-125,-105,-105,-120,-118,-110,-118.0,-115.0,100.0,-129.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-14 21:04:34,2026-01-14 20:11,Chicago Bulls,Utah Jazz,No,1258.5,Yes,-71.4,-118.4,-559.6,364.0,-59.75,-119.25,East,Central,West,Northwest,-122,-108,-620,400,-114,-114,100.0,-125.0,-333.0,240.0,105.0,-133.0,-110,-120,-660,420,-115,-115,-105,-125,-625,400,-115,-115,-120.0,-114.0,-560.0,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-14 21:04:34,2026-01-14 21:40,Dallas Mavericks,Denver Nuggets,No,662.5,Yes,-109.78,-109.89,-119.89,33.11,-108.88,-110.38,West,Southwest,West,Northwest,-112,-108,-116,-102,-106,-114,-110.0,-110.0,-125.0,102.0,-110.0,-110.0,-110,-110,-120,100,-108,-112,-115,-105,-125,105,-110,-110,-110.0,-115.0,-120.0,-104.0,,,-106.0,-106.0,-118.0,102.0,-107.0,-107.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-105.0,-115.0,-115.0,-105.0,-110.0,-110.0
NBA,2026-01-14 21:04:34,2026-01-14 22:10,Sacramento Kings,New York Knicks,No,2506.3,Yes,-108.44,-111.33,351.11,-462.89,-111.5,-107.88,West,Pacific,East,Atlantic,-110,-110,370,-480,-114,-106,-110.0,-110.0,341.0,-476.0,-110.0,-110.0,-102,-118,350,-455,-110,-110,-105,-115,340,-450,-110,-110,-113.0,-113.0,350.0,-480.0,,,-106.0,-106.0,350.0,-435.0,-113.0,-102.0,-110.0,-110.0,344.0,-440.0,-115.0,-105.0,-110.0,-110.0,360.0,-500.0,-110.0,-110.0,-110.0,-110.0,355.0,-450.0,-110.0,-110.0
NBA,2026-01-14 21:04:34,2026-01-14 22:40,Los Angeles Clippers,Washington Wizards,No,2308.1,Yes,-86.33,-111.22,-470.56,354.44,-109.12,-110.12,West,Pacific,East,Southeast,-108,-112,-480,370,-106,-114,-110.0,-110.0,-500.0,355.0,-110.0,-110.0,-110,-110,-455,350,-110,-110,-110,-110,-475,360,-110,-110,-113.0,-113.0,-560.0,390.0,,,-106.0,-106.0,-425.0,343.0,-107.0,-107.0,-110.0,-110.0,-430.0,337.0,-110.0,-110.0,100.0,-120.0,-490.0,355.0,-110.0,-110.0,-110.0,-110.0,-420.0,330.0,-110.0,-110.0
NBA,2026-01-14 21:04:34,2026-01-15 14:10,Orlando Magic,Memphis Grizzlies,No,682.5,No,-111.43,-108.0,-196.5,163.83,-107.0,-112.17,East,Southeast,West,Southwest,-114,-106,-194,162,-110,-110,,,,,,,-105,-115,-205,170,-115,-105,-105,-115,-200,165,-105,-115,-115.0,-109.0,-200.0,155.0,,,-111.0,-101.0,-190.0,166.0,-102.0,-113.0,-115.0,-105.0,-190.0,165.0,-105.0,-115.0,,,,,,,-115.0,-105.0,,,-105.0,-115.0
NBA,2026-01-14 21:04:34,2026-01-15 19:10,Detroit Pistons,Phoenix Suns,No,1690.2,Yes,-106.0,-112.67,-240.0,198.6,-108.67,-110.33,East,Central,West,Pacific,-115,-105,-260,215,-110,-110,,,,,,,-105,-115,-238,195,-105,-115,-105,-115,-235,190,-110,-110,,,,,,,-101.0,-111.0,-232.0,198.0,-107.0,-107.0,-105.0,-115.0,-235.0,195.0,-110.0,-110.0,,,,,,,-105.0,-115.0,,,-110.0,-110.0
NBA,2026-01-14 21:04:34,2026-01-15 19:40,Miami Heat,Boston Celtics,No,1255.4,Yes,-111.0,-107.67,106.4,-126.2,-109.5,-109.5,East,Southeast,East,Atlantic,-112,-108,108,-126,-110,-110,,,,,,,-118,-102,102,-122,-110,-110,-110,-110,110,-135,-110,-110,,,,,,,-106.0,-106.0,107.0,-123.0,-107.0,-107.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,,,,,,,-110.0,-110.0,,,-110.0,-110.0
