League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-01-01 21:05:02,2026-01-01 19:11,Detroit Pistons,Miami Heat,No,1153.0,Yes,-79.67,-117.0,369.17,-691.5,-115.0,-114.2,East,Central,East,Southeast,100,-132,560,-1000,-110,-120,-125.0,-111.0,675.0,-1429.0,-125.0,-111.0,-110.0,-110.0,-210.0,175.0,-110.0,-110.0,-105,-125,390,-600,-125,-105,-120.0,-114.0,400.0,-670.0,,,-118.0,-110.0,400.0,-625.0,-105.0,-125.0,,,,,,,,,,,,,,,,,,
NBA,2026-01-01 21:05:02,2026-01-01 20:41,Dallas Mavericks,Philadelphia 76ers,No,1298.5,Yes,-112.83,-114.17,-130.67,36.5,-109.4,-117.2,West,Southwest,East,Atlantic,-112,-118,-142,112,-102,-130,-105.0,-118.0,-118.0,-105.0,-105.0,-118.0,-115.0,-105.0,-105.0,-115.0,-110.0,-110.0,-110,-120,-140,110,-120,-110,-120.0,-114.0,-139.0,107.0,,,-115.0,-110.0,-140.0,110.0,-110.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2026-01-01 21:05:02,2026-01-01 22:10,Sacramento Kings,Boston Celtics,No,2631.5,Yes,-108.11,-111.56,331.56,-433.22,-110.88,-108.5,West,Pacific,East,Atlantic,-112,-108,330,-420,-108,-112,-110.0,-110.0,318.0,-435.0,-110.0,-110.0,-110.0,-110.0,315.0,-420.0,-110.0,-110.0,-118,-102,330,-425,-108,-112,-108.0,-117.0,325.0,-455.0,,,-102.0,-118.0,340.0,-450.0,-110.0,-110.0,-102.0,-110.0,356.0,-444.0,-112.0,-103.0,-106.0,-114.0,350.0,-450.0,-114.0,-106.0,-105.0,-115.0,320.0,-400.0,-115.0,-105.0
NBA,2026-01-01 21:05:02,2026-01-01 22:40,Los Angeles Clippers,Utah Jazz,No,589.3,Yes,-109.44,-110.22,-797.11,541.22,-109.12,-110.12,West,Pacific,West,Northwest,-110,-110,-770,560,-106,-114,-110.0,-110.0,-918.0,574.0,-110.0,-110.0,-105.0,-115.0,-600.0,425.0,-110.0,-110.0,-118,-102,-800,550,-115,-105,-115.0,-110.0,-1000.0,575.0,,,-105.0,-115.0,-800.0,550.0,-105.0,-115.0,-104.0,-108.0,-786.0,576.0,-107.0,-107.0,-108.0,-112.0,-800.0,561.0,-110.0,-110.0,-110.0,-110.0,-700.0,500.0,-110.0,-110.0
NBA,2026-01-01 21:05:02,2026-01-02 19:10,Washington Wizards,Brooklyn Nets,No,203.5,Yes,-110.67,-109.33,-33.0,-120.0,-110.0,-110.0,East,Southeast,East,Atlantic,-110,-110,106,-124,-110,-110,-110.0,-110.0,-103.0,-118.0,-110.0,-110.0,,,,,,,-112,-108,-102,-118,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-01 21:05:02,2026-01-02 19:10,Indiana Pacers,San Antonio Spurs,No,997.0,Yes,-111.25,-106.75,170.0,-203.5,-110.5,-108.0,East,Central,West,Southwest,-114,-106,180,-215,-110,-110,,,,,,,,,,,,,-115,-105,160,-192,-115,-105,,,,,,,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2026-01-01 21:05:02,2026-01-02 19:40,New York Knicks,Atlanta Hawks,No,748.3,Yes,-107.75,-110.25,-284.0,230.0,-110.5,-108.0,East,Atlantic,East,Southeast,-110,-110,-290,235,-115,-105,,,,,,,,,,,,,-105,-115,-278,225,-110,-110,,,,,,,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2026-01-01 21:05:02,2026-01-02 19:40,Cleveland Cavaliers,Denver Nuggets,No,1228.2,Yes,-109.0,-109.0,-735.0,522.5,-108.25,-110.25,East,Central,West,Northwest,-110,-110,-720,520,-106,-114,,,,,,,,,,,,,-110,-110,-750,525,-110,-110,,,,,,,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2026-01-01 21:05:02,2026-01-02 20:10,Milwaukee Bucks,Charlotte Hornets,No,659.4,Yes,-106.5,-111.5,-235.0,194.0,-108.75,-109.75,East,Central,East,Southeast,-110,-110,-240,198,-108,-112,,,,,,,,,,,,,-110,-110,-230,190,-110,-110,,,,,,,,,,,,,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,,,,,,
NBA,2026-01-01 21:05:02,2026-01-02 20:10,Chicago Bulls,Orlando Magic,No,985.5,Yes,-109.0,-109.0,145.5,-174.5,-106.75,-111.75,East,Central,East,Southeast,-110,-110,146,-174,-105,-115,,,,,,,,,,,,,-110,-110,145,-175,-105,-115,,,,,,,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
