League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-18 09:41:44,2026-05-18 20:40,924fe1c270c7ccb9e7a9cfa3002bdf05,Oklahoma City Thunder,San Antonio Spurs,No,419.4,Yes,West,Northwest,West,Southwest,-108.89,-110.56,-6.5,6.5,-238.11,195.78,-110.11,-109.44,220.89,-110,-110,-245,200,-110,-110,-110,-110,-245,200,-112,-108,-108,-115,-240,190,-112,-110,-110,-110,-250,200,-110,-110,-107,-105,-228,195,-107,-107,-110,-110,-230,192,-110,-110,-105,-115,-235,195,-110,-110,-110,-110,-235,190,-110,-110,-110.0,-110.0,-235.0,200.0,-110.0,-110.0
NBA,2026-05-18 09:41:44,2026-05-19 20:10,7e2d40a6d3b163e318b7abbe026c40c1,New York Knicks,Cleveland Cavaliers,No,404.7,Yes,East,Atlantic,East,Central,-107.5,-111.88,-7.19,7.19,-268.0,216.88,-110.62,-109.12,216.56,-105,-115,-265,215,-110,-110,-106,-114,-270,220,-110,-110,-115,-108,-286,220,-112,-112,-110,-110,-270,212,-110,-110,-105,-107,-258,218,-110,-104,-109,-111,-260,215,-113,-107,-105,-115,-260,215,-110,-110,-105,-115,-275,220,-110,-110,,,,,,
