League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-10-28 17:21:38,2025-10-28 19:10,Washington Wizards,Philadelphia 76ers,No,120.7,Yes,-107.67,-112.11,160.33,-191.33,-112.44,-107.67,East,Southeast,East,Atlantic,-106.0,-114.0,160.0,-190.0,-110.0,-110.0,-108.0,-112.0,160.0,-192.0,-112.0,-108.0,-114.0,-112.0,160.0,-200.0,-112.0,-114.0,-110.0,-110.0,150.0,-185.0,-110.0,-110.0,-101.0,-111.0,166.0,-190.0,-113.0,-102.0,-105.0,-115.0,165.0,-190.0,-115.0,-105.0,-105.0,-115.0,165.0,-195.0,-110.0,-110.0,-110.0,-110.0,154.0,-190.0,-115.0,-105.0,-110.0,-110.0,163.0,-190.0,-115.0,-105.0
NBA,2025-10-28 17:21:38,2025-10-28 19:30,Miami Heat,Charlotte Hornets,Yes,651.7,Yes,-108.22,-111.33,-212.67,177.0,-110.67,-109.44,East,Southeast,East,Southeast,-110.0,-110.0,-210.0,176.0,-106.0,-114.0,-105.0,-115.0,-218.0,180.0,-105.0,-115.0,-109.0,-115.0,-215.0,170.0,-112.0,-114.0,-110.0,-110.0,-217.0,175.0,-110.0,-110.0,-103.0,-109.0,-209.0,182.0,-113.0,-102.0,-107.0,-113.0,-210.0,180.0,-115.0,-105.0,-110.0,-110.0,-210.0,175.0,-110.0,-110.0,-110.0,-110.0,-220.0,180.0,-115.0,-105.0,-110.0,-110.0,-205.0,175.0,-110.0,-110.0
NBA,2025-10-28 17:21:38,2025-10-28 20:00,Milwaukee Bucks,New York Knicks,No,734.3,Yes,-111.33,-108.33,110.33,-131.56,-108.11,-112.0,East,Central,East,Atlantic,-108.0,-112.0,114.0,-134.0,-106.0,-114.0,-115.0,-105.0,110.0,-130.0,-108.0,-112.0,-113.0,-112.0,108.0,-134.0,-112.0,-114.0,-110.0,-110.0,108.0,-132.0,-110.0,-110.0,-106.0,-106.0,110.0,-126.0,-102.0,-113.0,-110.0,-110.0,108.0,-128.0,-105.0,-115.0,-115.0,-105.0,115.0,-135.0,-110.0,-110.0,-115.0,-105.0,110.0,-135.0,-110.0,-110.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0
NBA,2025-10-28 17:21:38,2025-10-28 20:10,Oklahoma City Thunder,Sacramento Kings,No,1339.6,Yes,-109.0,-110.78,-401.89,310.78,-108.89,-111.11,West,Northwest,West,Pacific,-108.0,-112.0,-400.0,310.0,-112.0,-108.0,-102.0,-118.0,-395.0,310.0,-110.0,-110.0,-109.0,-117.0,-400.0,295.0,-112.0,-114.0,-110.0,-110.0,-417.0,310.0,-110.0,-110.0,-109.0,-103.0,-395.0,321.0,-104.0,-110.0,-113.0,-107.0,-400.0,316.0,-107.0,-113.0,-110.0,-110.0,-410.0,305.0,-110.0,-110.0,-105.0,-115.0,-400.0,310.0,-110.0,-110.0,-115.0,-105.0,-400.0,320.0,-105.0,-115.0
NBA,2025-10-28 17:21:38,2025-10-28 23:00,Golden State Warriors,Los Angeles Clippers,Yes,348.5,Yes,-109.89,-109.78,104.56,-125.78,-109.78,-110.22,West,Pacific,West,Pacific,-112.0,-108.0,110.0,-130.0,-108.0,-112.0,-105.0,-115.0,102.0,-122.0,-110.0,-110.0,-115.0,-110.0,106.0,-132.0,-113.0,-113.0,-110.0,-110.0,100.0,-124.0,-110.0,-110.0,-109.0,-103.0,105.0,-121.0,-107.0,-107.0,-113.0,-107.0,103.0,-123.0,-110.0,-110.0,-110.0,-110.0,105.0,-125.0,-105.0,-115.0,-105.0,-115.0,105.0,-130.0,-115.0,-105.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0
NBA,2025-10-28 17:21:38,2025-10-29 18:40,Toronto Raptors,Houston Rockets,No,1301.2,No,-108.0,-109.33,160.0,-190.0,-109.0,-109.0,East,Atlantic,West,Southwest,-108.0,-112.0,160.0,-190.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 17:21:38,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-111.5,-111.5,-142.5,118.5,-111.5,-111.5,East,Atlantic,East,Central,,,,,,,-110.0,-110.0,-142.0,120.0,-110.0,-110.0,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 17:21:38,2025-12-25 14:30,Oklahoma City Thunder,San Antonio Spurs,No,419.4,No,-111.0,-111.5,-415.0,315.0,-108.5,-114.5,West,Northwest,West,Southwest,,,,,,,-110.0,-110.0,-410.0,320.0,-105.0,-115.0,-112.0,-113.0,-420.0,310.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 17:21:38,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-113.0,-110.0,-202.5,165.0,-112.0,-111.0,West,Pacific,West,Southwest,,,,,,,-112.0,-108.0,-205.0,170.0,-110.0,-110.0,-114.0,-112.0,-200.0,160.0,-114.0,-112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 17:21:38,2025-12-25 20:00,Los Angeles Lakers,Houston Rockets,No,1375.3,Yes,-112.0,-108.0,-148.0,124.0,-115.0,-105.0,West,Pacific,West,Southwest,,,,,,,-112.0,-108.0,-148.0,124.0,-115.0,-105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
