League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-03-02 13:51:09,2026-03-02 19:10,23f7e8ebef76ec1b639f412eccfdfda4,Washington Wizards,Houston Rockets,No,1220.3,Yes,East,Southeast,West,Southwest,-107.78,-111.67,14.67,-14.67,647.44,-1002.22,-109.67,-110.0,224.94,-110,-110,640,-950,-110,-110,-105,-115,650,-1000,-110,-110,-110.0,-110.0,622.0,-1000.0,-110.0,-110.0,-106.0,-106.0,670.0,-955.0,-107.0,-107.0,-110.0,-110.0,650.0,-975.0,-110.0,-110.0,-105.0,-115.0,600.0,-950.0,-110.0,-110.0,-110.0,-110.0,645.0,-975.0,-110.0,-110.0,-109,-114,650,-1115,-110,-113,-105,-115,700,-1100,-110,-110
NBA,2026-03-02 13:51:09,2026-03-02 19:40,3a1ef5b1bd5afc1ee417ba3992167357,Milwaukee Bucks,Boston Celtics,No,857.9,Yes,East,Central,East,Atlantic,-110.22,-109.22,4.5,-4.5,168.22,-201.33,-108.56,-111.22,217.83,-110,-110,162,-194,-106,-114,-112,-108,170,-205,-108,-112,-110.0,-110.0,179.0,-223.0,-110.0,-110.0,-108.0,-104.0,171.0,-195.0,-104.0,-110.0,-112.0,-108.0,170.0,-195.0,-107.0,-113.0,-105.0,-115.0,165.0,-195.0,-110.0,-110.0,-110.0,-110.0,167.0,-195.0,-110.0,-110.0,-115,-108,160,-200,-112,-112,-110,-110,170,-210,-110,-110
NBA,2026-03-02 13:51:09,2026-03-02 21:10,1804ec1ea561b137f3b6a151af196bef,Utah Jazz,Denver Nuggets,Yes,371.0,Yes,West,Northwest,West,Northwest,-107.44,-112.11,11.56,-11.56,426.0,-585.0,-109.89,-109.89,243.0,-110,-110,490,-670,-110,-110,-105,-115,410,-550,-105,-115,-110.0,-110.0,406.0,-588.0,-110.0,-110.0,-103.0,-109.0,423.0,-542.0,-107.0,-107.0,-107.0,-113.0,415.0,-550.0,-110.0,-110.0,-105.0,-115.0,430.0,-625.0,-110.0,-110.0,-105.0,-115.0,425.0,-550.0,-110.0,-110.0,-112,-112,410,-590,-112,-112,-110,-110,425,-600,-115,-105
NBA,2026-03-02 13:51:09,2026-03-02 22:10,48deab86651d256447d6bb35a3d9939c,Golden State Warriors,Los Angeles Clippers,Yes,348.5,Yes,West,Pacific,West,Pacific,-111.78,-107.78,1.28,-1.28,-12.44,-118.89,-110.44,-109.33,215.5,-114,-106,-102,-118,-110,-110,-115,-105,-102,-118,-110,-110,-110.0,-110.0,-104.0,-118.0,-110.0,-110.0,-108.0,-104.0,-101.0,-115.0,-107.0,-107.0,-112.0,-108.0,-103.0,-117.0,-110.0,-110.0,-110.0,-110.0,100.0,-120.0,-115.0,-105.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-112,-112,100,-124,-112,-112,-115,-105,100,-120,-110,-110
NBA,2026-03-02 13:51:09,2026-03-03 19:40,6e039621e88bb0b022d5b0d3eafd9596,Toronto Raptors,New York Knicks,Yes,340.9,Yes,East,Atlantic,East,Atlantic,-110.0,-110.5,2.5,-2.5,116.75,-141.25,-109.75,-110.75,224.12,-106,-114,130,-154,-110,-110,-110,-110,114,-135,-115,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114,-108,108,-136,-109,-113,-110,-110,115,-140,-105,-115
NBA,2026-03-02 13:51:09,2026-03-03 20:10,fe9fbae6e69b1684995b2fa8f45fb691,Philadelphia 76ers,San Antonio Spurs,No,1502.4,Yes,East,Atlantic,West,Southwest,-107.0,-113.75,6.5,-6.5,198.75,-246.25,-110.75,-109.75,231.38,-108,-112,210,-255,-110,-110,-105,-115,190,-230,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-110,-113,200,-265,-113,-109,-105,-115,195,-235,-110,-110
