League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds
NBA,2026-03-23 14:56:21,2026-03-23 19:10,b542245530e737dbd0703796ab0c1257,Detroit Pistons,Los Angeles Lakers,No,1984.4,Yes,East,Central,West,Pacific,-109.67,-109.78,1.5,-1.5,79.11,-121.11,-110.0,-109.67,226.11,-110,-110,104,-122,-105,-115,-108,-112,102,-122,-105,-115,-110,-110,-102,-118,-115,-105,-113,-110,100,-122,-113,-110,-110,-110,100,-120,-110,-110,-106,-106,102,-118,-107,-107,-110,-110,105,-125,-115,-105,-110,-110,100,-120,-110,-110,-110,-110,101,-123,-110,-110
NBA,2026-03-23 14:56:21,2026-03-23 19:10,ee838160ed85754aa11218f7ec3708b0,Orlando Magic,Indiana Pacers,No,820.2,Yes,East,Southeast,East,Central,-108.11,-111.33,-12.44,12.44,-762.78,524.11,-109.56,-110.11,231.78,-110,-110,-720,520,-106,-114,-105,-115,-750,525,-110,-110,-102,-118,-750,525,-110,-110,-115,-108,-835,525,-113,-110,-105,-115,-750,534,-110,-110,-101,-111,-737,547,-107,-107,-110,-110,-750,500,-110,-110,-115,-105,-740,520,-110,-110,-110,-110,-833,521,-110,-110
NBA,2026-03-23 14:56:21,2026-03-23 19:10,c61d2594de00eb4d12ba96127dc437e5,Miami Heat,San Antonio Spurs,No,1145.9,Yes,East,Southeast,West,Southwest,-108.44,-111.0,3.56,-3.56,140.0,-166.11,-109.44,-110.33,243.39,-106,-114,148,-176,-106,-114,-110,-110,140,-166,-110,-110,-105,-115,140,-170,-110,-110,-109,-114,143,-177,-112,-112,-110,-110,140,-160,-110,-110,-106,-106,141,-160,-107,-107,-110,-110,135,-160,-110,-110,-110,-110,142,-165,-110,-110,-110,-110,131,-161,-110,-110
NBA,2026-03-23 14:56:21,2026-03-23 19:10,49b50074de17e9d2082babc6b09b0d97,Philadelphia 76ers,Oklahoma City Thunder,No,1258.6,Yes,East,Atlantic,West,Northwest,-110.56,-109.0,16.11,-16.11,735.67,-1233.78,-109.56,-110.0,224.89,-108,-112,730,-1150,-112,-108,-115,-105,750,-1200,-105,-115,-115,-105,725,-1200,-110,-110,-112,-112,700,-1430,-113,-109,-107,-113,754,-1200,-112,-108,-103,-109,781,-1174,-109,-105,-115,-105,725,-1300,-105,-115,-110,-110,750,-1200,-110,-110,-110,-110,706,-1250,-110,-110
NBA,2026-03-23 14:56:21,2026-03-23 19:40,9693d8c4274c9eabbcb9ab22fcf44936,Atlanta Hawks,Memphis Grizzlies,No,336.6,Yes,East,Southeast,West,Southwest,-109.22,-110.22,-14.44,14.44,-975.89,628.89,-109.89,-109.78,240.56,-114,-106,-950,640,-110,-110,-108,-112,-900,600,-112,-108,-105,-115,-1000,650,-110,-110,-110,-113,-910,575,-110,-113,-110,-110,-915,620,-110,-110,-106,-106,-897,638,-107,-107,-110,-110,-1100,650,-110,-110,-110,-110,-1000,650,-110,-110,-110,-110,-1111,637,-110,-110
NBA,2026-03-23 14:56:21,2026-03-23 20:10,20907151ed2de3c55309ff635a0b4f53,Chicago Bulls,Houston Rockets,No,940.2,Yes,East,Central,West,Southwest,-109.22,-110.22,8.5,-8.5,283.78,-359.56,-109.56,-110.22,229.94,-110,-110,290,-360,-108,-112,-112,-108,280,-355,-105,-115,-110,-110,280,-350,-110,-110,-110,-113,280,-375,-112,-112,-110,-110,289,-360,-112,-108,-106,-106,293,-356,-109,-105,-110,-110,280,-360,-110,-110,-105,-115,280,-350,-110,-110,-110,-110,282,-370,-110,-110
NBA,2026-03-23 14:56:21,2026-03-23 21:10,3791f62ad672c74a9eaaf206188b1696,Utah Jazz,Toronto Raptors,No,1669.8,Yes,West,Northwest,East,Atlantic,-113.0,-106.44,10.17,-10.17,388.67,-520.44,-111.11,-108.56,230.78,-115,-105,380,-490,-114,-106,-115,-105,390,-520,-115,-105,-118,-102,400,-550,-110,-110,-108,-115,380,-530,-114,-109,-115,-105,383,-500,-110,-110,-111,-101,390,-493,-107,-107,-115,-105,400,-575,-110,-110,-110,-110,390,-500,-110,-110,-110,-110,385,-526,-110,-110
NBA,2026-03-23 14:56:21,2026-03-23 21:40,d6018addbf422198251c0674270b87f3,Dallas Mavericks,Golden State Warriors,No,1481.0,Yes,West,Southwest,West,Pacific,-108.44,-110.89,1.94,-1.94,106.22,-126.67,-109.89,-109.89,231.22,-114,-106,104,-122,-110,-110,-105,-115,110,-130,-105,-115,-102,-118,105,-125,-115,-105,-109,-113,106,-132,-112,-112,-110,-110,108,-128,-110,-110,-106,-106,110,-126,-107,-107,-110,-110,105,-125,-110,-110,-110,-110,105,-125,-110,-110,-110,-110,103,-127,-110,-110
NBA,2026-03-23 14:56:21,2026-03-23 22:10,3cd97096b11e331414ff5b0b6c515f5c,Portland Trail Blazers,Brooklyn Nets,No,2447.2,Yes,West,Northwest,East,Atlantic,-108.11,-111.33,-15.06,15.06,-1039.44,657.78,-109.56,-110.22,218.94,-112,-108,-1100,700,-108,-112,-105,-115,-950,625,-115,-105,-105,-115,-1000,650,-115,-105,-110,-113,-1115,650,-112,-112,-110,-110,-1000,661,-107,-113,-106,-106,-979,683,-104,-110,-105,-115,-1100,650,-110,-110,-110,-110,-1000,650,-105,-115,-110,-110,-1111,651,-110,-110
NBA,2026-03-23 14:56:21,2026-03-23 22:40,9d16ebba2fd9d005cddea05f25e60145,Los Angeles Clippers,Milwaukee Bucks,No,1753.0,Yes,West,Pacific,East,Central,-107.78,-111.67,-13.22,13.22,-810.89,547.89,-108.33,-111.33,222.0,-106,-114,-820,570,-108,-112,-105,-115,-800,550,-105,-115,-105,-115,-800,550,-105,-115,-108,-115,-910,550,-110,-113,-110,-110,-775,546,-110,-110,-106,-106,-760,561,-107,-107,-110,-110,-800,525,-110,-110,-110,-110,-800,550,-110,-110,-110,-110,-833,529,-110,-110
