League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-10-28 14:36:06,2025-10-28 19:10,Washington Wizards,Philadelphia 76ers,No,120.7,Yes,-108.78,-111.0,164.89,-196.89,-111.11,-108.89,East,Southeast,East,Atlantic,-114.0,-106.0,154.0,-184.0,-110.0,-110.0,-105,-115,170,-205,-115,-105,-109.0,-117.0,150.0,-190.0,-113.0,-113.0,-110.0,-110.0,167.0,-208.0,-110.0,-110.0,-106.0,-106.0,171.0,-195.0,-107.0,-107.0,-110.0,-110.0,170.0,-195.0,-110.0,-110.0,-110.0,-110.0,170.0,-200.0,-110.0,-110.0,-105.0,-115.0,165.0,-200.0,-115.0,-105.0,-110.0,-110.0,167.0,-195.0,-110.0,-110.0
NBA,2025-10-28 14:36:06,2025-10-28 19:30,Miami Heat,Charlotte Hornets,Yes,651.7,Yes,-108.56,-111.11,-213.44,177.44,-110.56,-109.33,East,Southeast,East,Southeast,-110.0,-110.0,-215.0,180.0,-114.0,-106.0,-102,-118,-225,185,-105,-115,-115.0,-110.0,-215.0,170.0,-110.0,-115.0,-110.0,-110.0,-222.0,176.0,-110.0,-110.0,-108.0,-104.0,-204.0,179.0,-109.0,-105.0,-112.0,-108.0,-205.0,177.0,-112.0,-108.0,-105.0,-115.0,-210.0,175.0,-110.0,-110.0,-105.0,-115.0,-220.0,180.0,-115.0,-105.0,-110.0,-110.0,-205.0,175.0,-110.0,-110.0
NBA,2025-10-28 14:36:06,2025-10-28 20:00,Milwaukee Bucks,New York Knicks,No,734.3,Yes,-110.22,-109.56,111.67,-133.22,-109.0,-111.11,East,Central,East,Atlantic,-114.0,-106.0,120.0,-142.0,-106.0,-114.0,-115,-105,110,-130,-115,-105,-112.0,-114.0,112.0,-139.0,-113.0,-113.0,-110.0,-110.0,111.0,-135.0,-110.0,-110.0,-101.0,-111.0,112.0,-128.0,-102.0,-113.0,-105.0,-115.0,110.0,-130.0,-105.0,-115.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-115.0,-105.0,110.0,-135.0,-110.0,-110.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0
NBA,2025-10-28 14:36:06,2025-10-28 20:10,Oklahoma City Thunder,Sacramento Kings,No,1339.6,Yes,-109.89,-109.89,-448.33,342.33,-110.89,-109.11,West,Northwest,West,Pacific,-106.0,-114.0,-400.0,315.0,-110.0,-110.0,-110,-110,-440,340,-118,-102,-112.0,-114.0,-435.0,320.0,-113.0,-113.0,-110.0,-110.0,-500.0,359.0,-110.0,-110.0,-106.0,-106.0,-455.0,364.0,-107.0,-107.0,-110.0,-110.0,-460.0,358.0,-110.0,-110.0,-115.0,-105.0,-435.0,325.0,-110.0,-110.0,-110.0,-110.0,-450.0,340.0,-110.0,-110.0,-110.0,-110.0,-460.0,360.0,-110.0,-110.0
NBA,2025-10-28 14:36:06,2025-10-28 23:00,Golden State Warriors,Los Angeles Clippers,Yes,348.5,Yes,-110.78,-108.78,108.78,-129.89,-111.22,-108.78,West,Pacific,West,Pacific,-112.0,-108.0,110.0,-130.0,-112.0,-108.0,-118,-102,105,-125,-118,-102,-110.0,-114.0,105.0,-130.0,-114.0,-112.0,-110.0,-110.0,103.0,-127.0,-110.0,-110.0,-104.0,-108.0,114.0,-130.0,-107.0,-107.0,-108.0,-112.0,112.0,-132.0,-110.0,-110.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-115.0,-105.0,110.0,-135.0,-110.0,-110.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0
NBA,2025-10-28 14:36:06,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-111.5,-111.5,-142.5,118.5,-111.5,-111.5,East,Atlantic,East,Central,,,,,,,-110,-110,-142,120,-110,-110,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 14:36:06,2025-12-25 14:30,Oklahoma City Thunder,San Antonio Spurs,No,419.4,No,-111.0,-111.5,-415.0,315.0,-113.5,-109.5,West,Northwest,West,Southwest,,,,,,,-110,-110,-410,320,-115,-105,-112.0,-113.0,-420.0,310.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 14:36:06,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-113.0,-110.0,-202.5,165.0,-112.0,-111.0,West,Pacific,West,Southwest,,,,,,,-112,-108,-205,170,-110,-110,-114.0,-112.0,-200.0,160.0,-114.0,-112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 14:36:06,2025-12-25 20:00,Los Angeles Lakers,Houston Rockets,No,1375.3,Yes,-112.0,-108.0,-142.0,120.0,-105.0,-115.0,West,Pacific,West,Southwest,,,,,,,-112,-108,-142,120,-105,-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 14:36:06,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-111.0,-112.0,-225.0,182.5,-113.5,-109.5,West,Northwest,West,Northwest,,,,,,,-105,-115,-230,190,-115,-105,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
