League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-03 06:51:53,2026-05-03 15:40,be60e6f50fc77fc3a3cf6925472bad91,Detroit Pistons,Orlando Magic,No,956.1,No,East,Central,East,Southeast,-107.67,-111.78,-8.44,8.44,-336.11,267.56,-109.67,-110.11,202.06,-105,-115,-340,270,-105,-115,-110,-110,-320,260,-108,-112,-113,-110,-385,285,-112,-112,-105,-115,-325,263,-110,-110,-101,-111,-322,267,-107,-107,-105,-115,-325,260,-115,-105,-110,-110,-320,260,-110,-110,-110,-110,-348,268,-110,-110,-110.0,-110.0,-340.0,275.0,-110.0,-110.0
NBA,2026-05-03 06:51:53,2026-05-03 19:40,a463f640631f8b0580966b909965de14,Cleveland Cavaliers,Toronto Raptors,No,189.3,Yes,East,Central,East,Atlantic,-109.22,-110.44,-8.17,8.17,-309.67,250.11,-111.67,-85.89,211.11,-105,-115,-310,250,-108,-112,-102,-120,-300,245,-112,-108,-110,-113,-315,245,-113,-110,-115,-105,-315,256,-117,-103,-111,-101,-312,260,-115,100,-110,-110,-300,240,-110,-110,-110,-110,-300,250,-110,-110,-110,-110,-345,265,-110,-110,-110.0,-110.0,-290.0,240.0,-110.0,-110.0
NBA,2026-05-03 06:51:53,2026-05-04 20:10,b11391b35b7a0cf79deeef3bb3eb9009,New York Knicks,Philadelphia 76ers,Yes,85.5,Yes,East,Atlantic,East,Atlantic,-84.0,-110.5,-7.38,7.38,-292.25,235.5,-111.5,-108.25,211.88,-108,-112,-298,240,-110,-110,-106,-114,-270,220,-106,-114,-112,-112,-305,235,-113,-110,-115,-105,-290,237,-115,-105,-111,-101,-287,241,-113,-102,-110,-110,-300,240,-115,-105,100,-120,-285,235,-110,-110,-110,-110,-303,236,-110,-110,,,,,,
NBA,2026-05-03 06:51:53,2026-05-04 21:40,219920e3a715ceb3dc69f3638f7571d5,San Antonio Spurs,Minnesota Timberwolves,No,1109.0,Yes,West,Southwest,West,Northwest,-109.88,-109.75,-13.94,13.94,-871.62,583.25,-109.88,-109.75,216.5,-115,-105,-900,600,-110,-110,-104,-118,-820,570,-112,-108,-109,-114,-910,575,-110,-113,-110,-110,-850,586,-110,-110,-106,-106,-834,603,-107,-107,-115,-105,-900,600,-110,-110,-110,-110,-850,550,-110,-110,-110,-110,-909,582,-110,-110,,,,,,
NBA,2026-05-03 06:51:53,2026-05-05 21:40,689b4554b0b10e67f46872eb2e74b98d,Oklahoma City Thunder,Los Angeles Lakers,No,1182.5,Yes,West,Northwest,West,Pacific,-110.25,-109.25,-15.88,15.88,-1334.88,771.75,-109.25,-110.38,213.38,-110,-110,-1100,700,-110,-110,-114,-106,-1350,810,-110,-110,-112,-112,-1430,750,-113,-110,-115,-105,-1300,795,-107,-113,-111,-101,-1270,826,-104,-110,-105,-115,-1400,775,-110,-110,-105,-115,-1400,750,-110,-110,-110,-110,-1429,768,-110,-110,,,,,,
