League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-01-02 16:22:48,2026-01-02 19:10,Washington Wizards,Brooklyn Nets,No,203.5,Yes,-108.67,-111.11,-160.56,135.11,-108.5,-110.75,East,Southeast,East,Atlantic,-110,-110,-164,138,-106,-114,-110,-110,-167,135,-110,-110,-108,-112,-162,136,-105,-115,-101,-111,-153,135,-107,-107,-105,-115,-154,134,-110,-110,-110,-110,-160,135,-110,-110,-110,-110,-160,138,-110,-110,-114,-112,-165,130,,,-110,-110,-160,135,-110,-110
NBA,2026-01-02 16:22:48,2026-01-02 19:10,Indiana Pacers,San Antonio Spurs,No,997.0,Yes,-85.56,-112.0,190.78,-231.33,-108.88,-110.38,East,Central,West,Southwest,-110,-110,205,-250,-106,-114,-110,-110,188,-238,-110,-110,-108,-112,190,-230,-108,-112,-102,-110,188,-219,-107,-107,-106,-114,186,-220,-110,-110,100,-120,205,-245,-110,-110,-110,-110,190,-225,-110,-110,-114,-112,185,-235,,,-110,-110,180,-220,-110,-110
NBA,2026-01-02 16:22:48,2026-01-02 19:40,New York Knicks,Atlanta Hawks,No,748.3,Yes,-112.78,-84.78,-269.0,219.0,-109.38,-109.88,East,Atlantic,East,Southeast,-112,-108,-280,230,-110,-110,-110,-110,-270,215,-110,-110,-118,-102,-270,220,-108,-112,-112,100,-258,218,-107,-107,-116,-104,-260,215,-110,-110,-115,-105,-270,220,-110,-110,-110,-110,-260,218,-110,-110,-112,-114,-278,215,,,-110,-110,-275,220,-110,-110
NBA,2026-01-02 16:22:48,2026-01-02 19:40,Cleveland Cavaliers,Denver Nuggets,No,1228.2,Yes,-113.78,-83.67,-815.89,552.33,-109.62,-109.62,East,Central,West,Northwest,-114,-106,-850,590,-110,-110,-110,-110,-806,520,-110,-110,-115,-105,-800,550,-105,-115,-113,101,-737,547,-107,-107,-117,-103,-750,534,-110,-110,-110,-110,-850,550,-110,-110,-115,-105,-750,530,-110,-110,-115,-110,-1000,600,,,-115,-105,-800,550,-115,-105
NBA,2026-01-02 16:22:48,2026-01-02 20:10,Milwaukee Bucks,Charlotte Hornets,No,659.4,Yes,-108.56,-111.22,-224.0,185.11,-109.88,-109.38,East,Central,East,Southeast,-106,-114,-225,188,-110,-110,-110,-110,-227,180,-110,-110,-110,-110,-225,185,-112,-108,-104,-108,-214,185,-107,-107,-108,-112,-215,183,-110,-110,-110,-110,-230,190,-110,-110,-110,-110,-220,185,-110,-110,-109,-117,-235,185,,,-110,-110,-225,185,-110,-110
NBA,2026-01-02 16:22:48,2026-01-02 20:10,Chicago Bulls,Orlando Magic,No,985.5,Yes,-109.67,-110.0,166.11,-199.22,-109.62,-109.62,East,Central,East,Southeast,-106,-114,166,-198,-110,-110,-110,-110,160,-200,-110,-110,-118,-102,170,-205,-115,-105,-106,-106,166,-190,-107,-107,-110,-110,165,-190,-110,-110,-115,-105,170,-200,-105,-115,-110,-110,163,-190,-110,-110,-110,-115,170,-220,,,-102,-118,165,-200,-110,-110
NBA,2026-01-02 16:22:48,2026-01-02 20:10,New Orleans Pelicans,Portland Trail Blazers,No,2062.1,Yes,-109.22,-110.56,126.67,-150.11,-109.62,-109.62,West,Southwest,West,Northwest,-110,-110,130,-154,-110,-110,-110,-110,121,-149,-110,-110,-108,-112,130,-155,-110,-110,-101,-111,132,-149,-107,-107,-105,-115,130,-150,-110,-110,-110,-110,115,-135,-110,-110,-110,-110,129,-150,-110,-110,-114,-112,128,-159,,,-115,-105,125,-150,-110,-110
NBA,2026-01-02 16:22:48,2026-01-02 21:10,Phoenix Suns,Sacramento Kings,Yes,635.3,Yes,-108.89,-110.78,-743.11,515.78,-109.0,-110.25,West,Pacific,West,Pacific,-106,-114,-750,530,-110,-110,-110,-110,-714,490,-110,-110,-105,-115,-750,525,-105,-115,-111,-101,-689,517,-107,-107,-115,-105,-700,505,-110,-110,-105,-115,-800,525,-110,-110,-110,-110,-700,500,-110,-110,-113,-112,-835,525,,,-105,-115,-750,525,-110,-110
NBA,2026-01-02 16:22:48,2026-01-02 22:10,Golden State Warriors,Oklahoma City Thunder,No,1387.6,Yes,-108.44,-111.33,497.0,-709.56,-110.5,-108.75,West,Pacific,West,Northwest,-106,-114,540,-770,-114,-106,-110,-110,465,-667,-110,-110,-108,-112,490,-675,-108,-112,-105,-107,502,-664,-107,-107,-109,-111,491,-675,-110,-110,-105,-115,460,-675,-115,-105,-110,-110,475,-650,-110,-110,-113,-113,550,-910,,,-110,-110,500,-700,-110,-110
NBA,2026-01-02 16:22:48,2026-01-02 22:40,Los Angeles Lakers,Memphis Grizzlies,No,1604.9,Yes,-109.56,-110.22,-169.11,142.56,-108.38,-110.88,West,Pacific,West,Southwest,-106,-114,-168,142,-110,-110,-110,-110,-172,140,-110,-110,-102,-118,-166,140,-105,-115,-110,-102,-168,149,-107,-107,-114,-106,-168,148,-110,-110,-115,-105,-165,140,-110,-110,-115,-105,-170,146,-110,-110,-112,-114,-175,138,,,-102,-118,-170,140,-105,-115
