League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-06 07:45:41,2026-05-06 19:10,d146e10295545e18ac8915a1f5860317,New York Knicks,Philadelphia 76ers,Yes,85.5,Yes,East,Atlantic,East,Atlantic,-110.33,-109.33,-6.94,6.94,-271.0,220.33,-110.78,-108.78,215.33,-104,-118,-270,220,-110,-110,-115,-105,-270,220,-110,-110,-115,-105,-275,220,-110,-110,-104,-108,-263,222,-110,-104,-110,-110,-265,219,-113,-107,-110,-110,-278,219,-110,-110,-110,-110,-275,225,-110,-110,-115,-108,-278,215,-109,-113,-110.0,-110.0,-265.0,223.0,-115.0,-105.0
NBA,2026-05-06 07:45:41,2026-05-06 21:40,246001ab42d44857430f7fe63f423461,San Antonio Spurs,Minnesota Timberwolves,No,1109.0,Yes,West,Southwest,West,Northwest,-111.78,-108.0,-9.67,9.67,-415.0,319.11,-108.78,-110.89,215.5,-118,-104,-420,330,-106,-114,-115,-105,-425,330,-110,-110,-115,-105,-425,320,-110,-110,-111,-101,-395,321,-105,-109,-115,-105,-400,316,-108,-112,-110,-110,-400,300,-110,-110,-105,-115,-435,325,-110,-110,-112,-112,-435,310,-110,-113,-105.0,-115.0,-400.0,320.0,-110.0,-110.0
NBA,2026-05-06 07:45:41,2026-05-07 19:10,862af0717b53a01b5e93a188a655d663,Detroit Pistons,Cleveland Cavaliers,Yes,91.4,Yes,East,Central,East,Central,-108.88,-110.62,-3.25,3.25,-157.0,132.75,-110.25,-109.25,215.62,-108,-112,-158,134,-110,-110,-110,-110,-162,136,-110,-110,-105,-115,-160,135,-115,-105,-106,-106,-155,136,-107,-107,-110,-110,-155,135,-110,-110,-110,-110,-154,126,-110,-110,-110,-110,-150,130,-110,-110,-112,-112,-162,130,-110,-112,,,,,,
NBA,2026-05-06 07:45:41,2026-05-07 21:40,a306b74e13d87d2f8d64b1e01c2cf958,Oklahoma City Thunder,Los Angeles Lakers,No,1182.5,Yes,West,Northwest,West,Pacific,-111.75,-107.62,-15.56,15.56,-1014.38,634.62,-108.75,-110.88,209.56,-114,-106,-950,660,-108,-112,-110,-110,-1100,700,-105,-115,-110,-110,-1000,625,-110,-110,-111,-101,-810,590,-107,-107,-115,-105,-825,574,-110,-110,-110,-110,-1000,603,-110,-110,-110,-110,-1000,625,-110,-110,-114,-109,-1430,700,-110,-113,,,,,,
