League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-10-31 14:34:27,2025-10-31 19:00,Indiana Pacers,Atlanta Hawks,No,425.5,Yes,-110.11,-109.56,115.44,-137.33,-111.33,-108.78,East,Central,East,Southeast,-108,-112,114,-135,-110,-110,-110.0,-110.0,116.0,-136.0,-110.0,-110.0,-112.0,-113.0,115.0,-143.0,-114.0,-112.0,-110.0,-110.0,117.0,-144.0,-110.0,-110.0,-110.0,-110.0,115.0,-135.0,-115.0,-105.0,-106.0,-106.0,117.0,-133.0,-113.0,-102.0,-115.0,-105.0,110.0,-130.0,-110.0,-110.0,-110.0,-110.0,115.0,-140.0,-110.0,-110.0,-110.0,-110.0,120.0,-140.0,-110.0,-110.0
NBA,2025-10-31 14:34:27,2025-10-31 19:00,Philadelphia 76ers,Boston Celtics,Yes,273.6,Yes,-63.11,-113.0,-110.25,-109.25,-111.0,-109.0,East,Atlantic,East,Atlantic,100,-120,-112,-108,-112,-108,-118.0,-104.0,-108.0,-108.0,-112.0,-108.0,-118.0,-108.0,-110.0,-113.0,-113.0,-113.0,-110.0,-110.0,-111.0,-110.0,-110.0,-110.0,-108.0,-112.0,-114.0,-106.0,-110.0,-110.0,-104.0,-108.0,-112.0,-104.0,-107.0,-107.0,-105.0,-115.0,-110.0,-110.0,-110.0,-110.0,105.0,-130.0,-105.0,-115.0,-115.0,-105.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-10-31 14:34:27,2025-10-31 19:30,Cleveland Cavaliers,Toronto Raptors,No,189.3,Yes,-109.78,-110.0,-241.56,198.44,-111.78,-108.33,East,Central,East,Atlantic,-115,-105,-245,200,-110,-110,-112.0,-108.0,-240.0,198.0,-110.0,-110.0,-113.0,-113.0,-245.0,190.0,-113.0,-113.0,-110.0,-110.0,-246.0,193.0,-110.0,-110.0,-106.0,-114.0,-240.0,200.0,-115.0,-105.0,-102.0,-110.0,-238.0,202.0,-113.0,-102.0,-105.0,-115.0,-245.0,205.0,-110.0,-110.0,-115.0,-105.0,-235.0,195.0,-115.0,-105.0,-110.0,-110.0,-240.0,203.0,-110.0,-110.0
NBA,2025-10-31 14:34:27,2025-10-31 20:00,Chicago Bulls,New York Knicks,No,715.3,Yes,-110.0,-109.78,160.56,-191.78,-110.11,-109.89,East,Central,East,Atlantic,-105,-115,160,-192,-110,-110,-114.0,-106.0,164.0,-196.0,-110.0,-110.0,-114.0,-112.0,165.0,-210.0,-114.0,-112.0,-110.0,-110.0,159.0,-198.0,-110.0,-110.0,-113.0,-107.0,161.0,-185.0,-110.0,-110.0,-109.0,-103.0,162.0,-185.0,-107.0,-107.0,-110.0,-110.0,160.0,-185.0,-110.0,-110.0,-105.0,-115.0,155.0,-190.0,-110.0,-110.0,-110.0,-110.0,159.0,-185.0,-110.0,-110.0
NBA,2025-10-31 14:34:27,2025-10-31 21:30,Memphis Grizzlies,Los Angeles Lakers,No,1604.9,Yes,-108.44,-111.22,111.0,-132.0,-111.44,-108.44,West,Southwest,West,Pacific,-105,-115,120,-142,-108,-112,-106.0,-114.0,116.0,-136.0,-112.0,-108.0,-113.0,-112.0,100.0,-124.0,-110.0,-114.0,-110.0,-110.0,101.0,-123.0,-110.0,-110.0,-108.0,-112.0,110.0,-130.0,-115.0,-105.0,-104.0,-108.0,112.0,-128.0,-113.0,-102.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-110.0,-110.0,115.0,-140.0,-115.0,-105.0,-110.0,-110.0,115.0,-135.0,-110.0,-110.0
NBA,2025-10-31 14:34:27,2025-10-31 22:00,Portland Trail Blazers,Denver Nuggets,Yes,981.8,Yes,-107.56,-112.22,171.0,-205.44,-108.89,-111.11,West,Northwest,West,Northwest,-105,-115,170,-205,-112,-108,-105.0,-115.0,172.0,-205.0,-110.0,-110.0,-117.0,-109.0,163.0,-205.0,-112.0,-114.0,-110.0,-110.0,170.0,-214.0,-110.0,-110.0,-105.0,-115.0,174.0,-200.0,-107.0,-113.0,-101.0,-111.0,175.0,-200.0,-104.0,-110.0,-110.0,-110.0,175.0,-210.0,-110.0,-110.0,-105.0,-115.0,170.0,-210.0,-105.0,-115.0,-110.0,-110.0,170.0,-200.0,-110.0,-110.0
NBA,2025-10-31 14:34:27,2025-10-31 22:00,Phoenix Suns,Utah Jazz,No,505.1,Yes,-111.56,-86.0,-151.67,128.0,-111.56,-108.44,West,Pacific,West,Northwest,-120,100,-155,130,-115,-105,-110.0,-110.0,-152.0,128.0,-118.0,-104.0,-113.0,-113.0,-155.0,123.0,-114.0,-110.0,-110.0,-110.0,-154.0,125.0,-110.0,-110.0,-110.0,-110.0,-150.0,130.0,-110.0,-110.0,-106.0,-106.0,-149.0,132.0,-107.0,-107.0,-110.0,-110.0,-150.0,130.0,-110.0,-110.0,-115.0,-105.0,-150.0,125.0,-110.0,-110.0,-110.0,-110.0,-150.0,129.0,-110.0,-110.0
NBA,2025-10-31 14:34:27,2025-10-31 22:30,Los Angeles Clippers,New Orleans Pelicans,No,1677.3,Yes,-111.56,-108.11,-527.11,392.67,-110.56,-109.44,West,Pacific,West,Southwest,-118,-102,-535,400,-112,-108,-110.0,-110.0,-510.0,390.0,-106.0,-114.0,-115.0,-110.0,-480.0,350.0,-114.0,-112.0,-110.0,-110.0,-561.0,399.0,-110.0,-110.0,-110.0,-110.0,-520.0,396.0,-113.0,-107.0,-106.0,-106.0,-513.0,404.0,-110.0,-104.0,-110.0,-110.0,-550.0,390.0,-110.0,-110.0,-115.0,-105.0,-550.0,400.0,-110.0,-110.0,-110.0,-110.0,-525.0,405.0,-110.0,-110.0
NBA,2025-10-31 14:34:27,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-110.5,-112.5,-139.0,115.5,-111.5,-111.5,East,Atlantic,East,Central,-108,-112,-135,114,-110,-110,,,,,,,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 14:34:27,2025-12-25 14:30,Oklahoma City Thunder,San Antonio Spurs,No,419.4,No,-111.0,-111.5,-415.0,315.0,-113.5,-109.5,West,Northwest,West,Southwest,-110,-110,-410,320,-115,-105,,,,,,,-112.0,-113.0,-420.0,310.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 14:34:27,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-113.0,-110.0,-209.0,170.0,-112.0,-111.0,West,Pacific,West,Southwest,-112,-108,-218,180,-110,-110,,,,,,,-114.0,-112.0,-200.0,160.0,-114.0,-112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 14:34:27,2025-12-25 20:00,Los Angeles Lakers,Houston Rockets,No,1375.3,Yes,-112.0,-108.0,-142.0,120.0,-105.0,-115.0,West,Pacific,West,Southwest,-112,-108,-142,120,-105,-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 14:34:27,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-111.0,-112.0,-225.0,182.5,-113.5,-109.5,West,Northwest,West,Northwest,-105,-115,-230,190,-115,-105,,,,,,,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
