League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-16 04:22:53,2025-11-16 15:30,Boston Celtics,Los Angeles Clippers,No,2604.9,No,-108.78,-111.0,-190.56,159.67,-111.11,-108.78,East,Atlantic,West,Pacific,-102.0,-118.0,-192.0,160.0,-115.0,-105.0,-106.0,-106.0,-183.0,161.0,-107.0,-107.0,-110.0,-110.0,-183.0,160.0,-110.0,-110.0,-105.0,-115.0,-190.0,155.0,-115.0,-105.0,-110.0,-110.0,-192.0,154.0,-110.0,-110.0,-108.0,-112.0,-200.0,168.0,-110.0,-110.0,-115.0,-105.0,-195.0,165.0,-110.0,-110.0,-113,-113,-195,155,-113,-112,-110.0,-110.0,-185.0,159.0,-110.0,-110.0
NBA,2025-11-16 04:22:53,2025-11-16 16:00,San Antonio Spurs,Sacramento Kings,No,1460.9,No,-111.33,-108.44,-328.33,262.78,-110.89,-108.89,West,Southwest,West,Pacific,-105.0,-115.0,-310.0,250.0,-112.0,-108.0,-111.0,-101.0,-312.0,260.0,-107.0,-107.0,-115.0,-105.0,-315.0,256.0,-110.0,-110.0,-110.0,-110.0,-350.0,280.0,-115.0,-105.0,-110.0,-110.0,-333.0,256.0,-110.0,-110.0,-112.0,-108.0,-355.0,285.0,-110.0,-110.0,-115.0,-105.0,-330.0,265.0,-110.0,-110.0,-109,-117,-335,255,-114,-110,-115.0,-105.0,-315.0,258.0,-110.0,-110.0
NBA,2025-11-16 04:22:53,2025-11-16 18:00,Washington Wizards,Brooklyn Nets,No,203.5,No,-110.78,-109.0,-147.78,125.0,-109.89,-110.11,East,Southeast,East,Atlantic,-115.0,-105.0,-148.0,124.0,-110.0,-110.0,-106.0,-106.0,-147.0,130.0,-107.0,-107.0,-110.0,-110.0,-148.0,128.0,-110.0,-110.0,-118.0,-102.0,-150.0,125.0,-110.0,-110.0,-110.0,-110.0,-141.0,115.0,-110.0,-110.0,-110.0,-110.0,-146.0,124.0,-110.0,-110.0,-105.0,-115.0,-145.0,125.0,-110.0,-110.0,-113,-113,-155,125,-112,-114,-110.0,-110.0,-150.0,129.0,-110.0,-110.0
NBA,2025-11-16 04:22:53,2025-11-16 19:00,New Orleans Pelicans,Golden State Warriors,No,1923.5,Yes,-110.33,-109.44,396.78,-541.0,-110.11,-109.89,West,Southwest,West,Pacific,-115.0,-105.0,400.0,-535.0,-110.0,-110.0,-106.0,-106.0,390.0,-493.0,-107.0,-107.0,-110.0,-110.0,383.0,-500.0,-110.0,-110.0,-110.0,-110.0,425.0,-600.0,-110.0,-110.0,-110.0,-110.0,388.0,-556.0,-110.0,-110.0,-110.0,-110.0,385.0,-500.0,-110.0,-110.0,-105.0,-115.0,430.0,-625.0,-110.0,-110.0,-117,-109,380,-560,-114,-112,-110.0,-110.0,390.0,-500.0,-110.0,-110.0
NBA,2025-11-16 04:22:53,2025-11-16 19:00,Houston Rockets,Orlando Magic,No,848.7,Yes,-113.44,-106.33,-339.89,270.56,-109.44,-110.56,West,Southwest,East,Southeast,-115.0,-105.0,-340.0,270.0,-108.0,-112.0,-111.0,-101.0,-327.0,271.0,-107.0,-107.0,-115.0,-105.0,-330.0,267.0,-110.0,-110.0,-115.0,-105.0,-350.0,280.0,-110.0,-110.0,-110.0,-110.0,-357.0,272.0,-110.0,-110.0,-108.0,-112.0,-320.0,260.0,-108.0,-112.0,-115.0,-105.0,-330.0,265.0,-110.0,-110.0,-117,-109,-375,280,-112,-114,-115.0,-105.0,-330.0,270.0,-110.0,-110.0
NBA,2025-11-16 04:22:53,2025-11-16 19:30,Dallas Mavericks,Portland Trail Blazers,No,1632.1,Yes,-111.89,-107.89,131.11,-154.56,-109.44,-110.56,West,Southwest,West,Northwest,-110.0,-110.0,136.0,-162.0,-112.0,-108.0,-111.0,-101.0,132.0,-149.0,-107.0,-107.0,-115.0,-105.0,130.0,-150.0,-110.0,-110.0,-110.0,-110.0,135.0,-160.0,-105.0,-115.0,-110.0,-110.0,131.0,-161.0,-110.0,-110.0,-112.0,-108.0,132.0,-154.0,-108.0,-112.0,-110.0,-110.0,130.0,-150.0,-110.0,-110.0,-114,-112,125,-155,-113,-113,-115.0,-105.0,129.0,-150.0,-110.0,-110.0
NBA,2025-11-16 04:22:53,2025-11-16 20:00,Phoenix Suns,Atlanta Hawks,No,1591.4,Yes,-110.11,-109.44,103.67,-123.56,-110.67,-109.33,West,Pacific,East,Southeast,-110.0,-110.0,105.0,-125.0,-115.0,-105.0,-106.0,-106.0,107.0,-123.0,-107.0,-107.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-110.0,-110.0,100.0,-122.0,-110.0,-110.0,-110.0,-110.0,104.0,-122.0,-112.0,-108.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,-115,-109,102,-125,-112,-114,-110.0,-110.0,105.0,-125.0,-110.0,-110.0
NBA,2025-11-16 04:22:53,2025-11-16 20:00,Utah Jazz,Chicago Bulls,No,1258.5,Yes,-112.0,-107.78,148.44,-177.0,-112.0,-108.0,West,Northwest,East,Central,-115.0,-105.0,145.0,-175.0,-110.0,-110.0,-111.0,-101.0,150.0,-170.0,-113.0,-102.0,-115.0,-105.0,149.0,-170.0,-115.0,-105.0,-115.0,-105.0,150.0,-185.0,-110.0,-110.0,-110.0,-110.0,146.0,-182.0,-110.0,-110.0,-110.0,-110.0,152.0,-180.0,-110.0,-110.0,-105.0,-115.0,150.0,-175.0,-110.0,-110.0,-112,-114,148,-186,-115,-110,-115.0,-105.0,146.0,-170.0,-115.0,-105.0
NBA,2025-11-16 04:22:53,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,
NBA,2025-11-16 04:22:53,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-195,150,-115,-110,,,,,,
