League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-12 15:53:13,2026-05-12 20:10,09800f9101b348d4a66742a3d8888b82,San Antonio Spurs,Minnesota Timberwolves,No,1109.0,Yes,West,Southwest,West,Northwest,-111.0,-108.44,-9.83,9.83,-397.78,308.67,-110.22,-109.33,218.56,-110,-110,-380,300,-108,-112,-106,-106,-385,314,-107,-107,-105,-115,-420,330,-110,-110,-115,-105,-385,306,-110,-110,-115,-105,-375,300,-110,-110,-113,-110,-435,310,-112,-110,-110,-110,-400,300,-110,-110,-110,-110,-415,310,-115,-105,-115.0,-105.0,-385.0,308.0,-110.0,-110.0
NBA,2026-05-12 15:53:13,2026-05-13 20:10,c3531530e77a4ada542bdbff23de5409,Detroit Pistons,Cleveland Cavaliers,Yes,91.4,Yes,East,Central,East,Central,-110.62,-108.62,-3.88,3.88,-174.25,145.75,-109.12,-110.5,212.5,-115,-105,-166,140,-110,-110,-106,-106,-175,154,-107,-107,-115,-105,-174,146,-106,-114,-110,-110,-175,153,-110,-110,-102,-118,-185,150,-110,-110,-112,-110,-177,140,-110,-113,-110,-110,-177,143,-110,-110,-115,-105,-165,140,-110,-110,,,,,,
