League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-09 15:02:49,2026-05-09 15:10,2734c350b90f332dbece882dd10b204e,Cleveland Cavaliers,Detroit Pistons,Yes,91.4,No,East,Central,East,Central,-110.44,-85.89,-4.89,4.89,-192.33,161.44,-112.0,-107.89,211.67,-118,-104,-190,160,-110,-110,-108,-112,-192,160,-110,-110,-103,-109,-185,162,-113,-102,-111,-109,-187,163,-115,-105,-110,100,-200,165,-118,-102,-109,-114,-200,160,-112,-112,-115,-105,-180,155,-110,-110,-110,-110,-202,161,-110,-110,-110.0,-110.0,-195.0,167.0,-110.0,-110.0
NBA,2026-05-09 15:02:49,2026-05-09 20:40,40c8a29efb894c4dd6bf6acc5025c9cb,Los Angeles Lakers,Oklahoma City Thunder,No,1182.5,Yes,West,Pacific,West,Northwest,-108.78,-110.67,8.72,-8.72,293.44,-376.22,-108.89,-110.89,211.61,-108,-112,300,-375,-110,-110,-110,-110,295,-375,-110,-110,-106,-106,297,-361,-102,-113,-110,-110,292,-365,-105,-115,-110,-110,290,-375,-110,-110,-110,-113,290,-400,-113,-110,-105,-115,300,-400,-110,-110,-110,-110,284,-370,-110,-110,-110.0,-110.0,293.0,-365.0,-110.0,-110.0
NBA,2026-05-09 15:02:49,2026-05-10 15:40,878243c543236baba132ad43ae333aae,Philadelphia 76ers,New York Knicks,Yes,85.5,No,East,Atlantic,East,Atlantic,-109.25,-110.12,1.31,-1.31,24.0,-118.75,-109.5,-110.12,212.94,-106,-114,102,-120,-110,-110,-115,-105,-105,-115,-110,-110,-101,-111,100,-116,-107,-107,-107,-113,-102,-118,-110,-110,-115,-105,100,-120,-105,-115,-110,-113,102,-125,-114,-109,-110,-110,100,-120,-110,-110,-110,-110,-105,-116,-110,-110,,,,,,
NBA,2026-05-09 15:02:49,2026-05-10 19:40,77e60e525f42e8337027f550bcd2f1cc,Minnesota Timberwolves,San Antonio Spurs,No,1109.0,Yes,West,Northwest,West,Southwest,-109.25,-110.12,4.44,-4.44,157.0,-187.75,-110.5,-109.25,218.12,-110,-110,156,-186,-108,-112,-110,-110,160,-192,-108,-112,-106,-106,162,-185,-113,-102,-110,-110,161,-185,-115,-105,-110,-110,155,-190,-110,-110,-108,-115,150,-190,-110,-113,-110,-110,160,-185,-110,-110,-110,-110,152,-189,-110,-110,,,,,,
