League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-03-27 06:43:20,2026-03-27 19:10,cfb595cba37696e470059102db23fca9,Indiana Pacers,Los Angeles Clippers,No,1817.9,Yes,East,Central,West,Pacific,-108.89,-110.56,8.94,-8.94,319.89,-415.56,-109.11,-110.56,238.39,-114,-106,310,-390,-112,-108,-110,-113,290,-385,-113,-110,-105,-115,330,-425,-105,-115,-106,-106,340,-420,-107,-107,-110,-110,334,-425,-110,-110,-105,-115,320,-425,-105,-115,-110,-110,333,-425,-110,-110,-110,-110,317,-435,-110,-110,-110,-110,305,-410,-110,-110
NBA,2026-03-27 06:43:20,2026-03-27 19:40,9443e4a245659d7362366345b5a91b39,Boston Celtics,Atlanta Hawks,No,936.8,Yes,East,Atlantic,East,Southeast,-111.11,-108.33,-4.72,4.72,-209.0,174.22,-111.67,-108.22,225.56,-106,-114,-210,176,-112,-108,-110,-113,-205,163,-112,-112,-115,-105,-218,180,-108,-112,-111,-101,-209,182,-113,-102,-115,-105,-210,180,-115,-105,-118,-102,-220,180,-110,-110,-110,-110,-210,180,-115,-105,-110,-110,-189,152,-110,-110,-105,-115,-210,175,-110,-110
NBA,2026-03-27 06:43:20,2026-03-27 19:40,5ce07242b2ab7c9c82700854c237a77a,Cleveland Cavaliers,Miami Heat,No,1086.5,Yes,East,Central,East,Southeast,-86.44,-110.56,-5.17,5.17,-205.78,171.78,-109.56,-110.22,242.44,-106,-114,-205,172,-114,-106,-115,-108,-200,160,-112,-112,-105,-115,-205,170,-108,-112,-108,-104,-204,179,-107,-107,-112,-108,-205,177,-110,-110,100,-118,-210,170,-105,-115,-112,-108,-205,175,-110,-110,-110,-110,-208,168,-110,-110,-110,-110,-210,175,-110,-110
NBA,2026-03-27 06:43:20,2026-03-27 20:10,e1036e62b7cea2b7bade60f85bc0c1b1,Oklahoma City Thunder,Chicago Bulls,No,691.4,Yes,West,Northwest,East,Central,-109.0,-110.44,-19.61,19.61,-3065.11,1231.78,-112.11,-107.67,236.67,-106,-114,-3500,1400,-108,-112,-109,-114,-2500,1000,-113,-110,-110,-110,-2800,1300,-115,-105,-106,-106,-2953,1303,-113,-102,-110,-110,-3000,1256,-115,-105,-110,-110,-3000,1250,-115,-105,-110,-110,-3000,1300,-110,-110,-110,-110,-3333,1177,-110,-110,-110,-110,-3500,1100,-110,-110
NBA,2026-03-27 06:43:20,2026-03-27 20:10,874b67c6be5c213484fdecdf0e37faf6,Memphis Grizzlies,Houston Rockets,Yes,483.7,Yes,West,Southwest,West,Southwest,-109.33,-110.22,12.56,-12.56,542.22,-793.33,-109.22,-110.44,226.56,-106,-114,570,-820,-106,-114,-112,-112,475,-715,-110,-113,-110,-110,550,-800,-110,-110,-106,-106,576,-786,-107,-107,-110,-110,561,-800,-110,-110,-110,-110,550,-800,-110,-110,-110,-110,550,-800,-110,-110,-110,-110,498,-769,-110,-110,-110,-110,550,-850,-110,-110
NBA,2026-03-27 06:43:20,2026-03-27 20:40,f2ffa80a1e0d1a911096e80676b07a99,Toronto Raptors,New Orleans Pelicans,No,1113.2,Yes,East,Atlantic,West,Southwest,-110.67,-108.78,-8.39,8.39,-336.11,266.78,-110.44,-109.33,228.44,-112,-108,-335,270,-110,-110,-113,-110,-375,275,-112,-112,-110,-110,-340,270,-110,-110,-106,-106,-327,271,-107,-107,-110,-110,-330,267,-110,-110,-110,-110,-325,260,-110,-110,-110,-110,-320,260,-110,-110,-110,-110,-333,258,-110,-110,-115,-105,-340,270,-115,-105
NBA,2026-03-27 06:43:20,2026-03-27 21:10,a2b709618069c3dd7c15f6192c11e93c,Denver Nuggets,Utah Jazz,Yes,371.0,Yes,West,Northwest,West,Northwest,-111.33,-108.22,-18.17,18.17,-2101.89,1033.89,-109.67,-110.0,248.56,-106,-114,-2200,1100,-110,-110,-112,-112,-1667,850,-110,-113,-108,-112,-2100,1100,-110,-110,-111,-101,-1950,1092,-107,-107,-115,-105,-2000,1041,-110,-110,-110,-110,-2500,1100,-110,-110,-115,-105,-2000,1050,-110,-110,-110,-110,-2000,972,-110,-110,-115,-105,-2500,1000,-110,-110
NBA,2026-03-27 06:43:20,2026-03-27 22:10,d4d54362306cefaac74ff35c3b020b78,Portland Trail Blazers,Dallas Mavericks,No,1632.1,Yes,West,Northwest,West,Southwest,-108.0,-111.44,-10.11,10.11,-445.0,339.0,-111.67,-108.22,239.28,-110,-110,-420,330,-110,-110,-109,-114,-455,325,-112,-112,-102,-118,-440,340,-110,-110,-106,-106,-435,350,-113,-102,-110,-110,-440,344,-115,-105,-105,-115,-450,340,-110,-110,-110,-110,-440,345,-115,-105,-110,-110,-455,332,-110,-110,-110,-110,-470,345,-110,-110
NBA,2026-03-27 06:43:20,2026-03-27 22:10,79aaaf1d88e3174addc5d58bd07e024d,Golden State Warriors,Washington Wizards,No,2440.2,Yes,West,Pacific,East,Southeast,-110.11,-109.44,-14.06,14.06,-987.67,633.22,-109.22,-110.33,232.5,-110,-110,-900,610,-106,-114,-112,-112,-910,550,-110,-112,-118,-102,-1000,650,-110,-110,-106,-106,-979,683,-107,-107,-110,-110,-1000,661,-110,-110,-105,-115,-1100,650,-110,-110,-110,-110,-1000,650,-110,-110,-110,-110,-1000,620,-110,-110,-110,-110,-1000,625,-110,-110
NBA,2026-03-27 06:43:20,2026-03-27 22:40,b552edb9183af4efd9e7b1b203525ac0,Los Angeles Lakers,Brooklyn Nets,No,2454.2,Yes,West,Pacific,East,Atlantic,-109.11,-110.22,-16.44,16.44,-1737.89,920.33,-110.78,-108.89,222.11,-108,-112,-1800,980,-106,-114,-113,-109,-1667,800,-109,-114,-110,-110,-1650,950,-115,-105,-106,-106,-1657,989,-107,-107,-110,-110,-1700,945,-110,-110,-110,-110,-2000,950,-115,-105,-110,-110,-1700,950,-110,-110,-110,-110,-1667,869,-110,-110,-105,-115,-1800,850,-115,-105
