League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-10 16:21:59,2025-11-10 19:00,Detroit Pistons,Washington Wizards,No,396.2,Yes,-110.33,-109.33,-614.67,447.44,-110.78,-109.33,East,Central,East,Southeast,-112.0,-108.0,-650.0,470.0,-108.0,-112.0,-111.0,-101.0,-629.0,480.0,-112.0,-103.0,-115.0,-105.0,-640.0,469.0,-114.0,-106.0,-110.0,-110.0,-673.0,468.0,-110.0,-110.0,-110.0,-110.0,-650.0,475.0,-110.0,-110.0,-108.0,-112.0,-560.0,420.0,-106.0,-114.0,-112,-113,-560,390,-112,-114,-105.0,-115.0,-585.0,410.0,-110.0,-110.0,-110.0,-110.0,-585.0,445.0,-115.0,-105.0
NBA,2025-11-10 16:21:59,2025-11-10 19:10,Charlotte Hornets,Los Angeles Lakers,No,2121.4,Yes,-107.0,-112.78,282.11,-358.33,-108.89,-111.11,East,Southeast,West,Pacific,-105.0,-115.0,280.0,-355.0,-105.0,-115.0,-101.0,-111.0,289.0,-351.0,-104.0,-110.0,-105.0,-115.0,285.0,-355.0,-107.0,-113.0,-110.0,-110.0,285.0,-374.0,-110.0,-110.0,-105.0,-115.0,280.0,-350.0,-115.0,-105.0,-105.0,-115.0,280.0,-350.0,-106.0,-114.0,-117,-109,275,-375,-113,-113,-105.0,-115.0,280.0,-360.0,-110.0,-110.0,-110.0,-110.0,285.0,-355.0,-110.0,-110.0
NBA,2025-11-10 16:21:59,2025-11-10 19:10,Orlando Magic,Portland Trail Blazers,No,2528.5,Yes,-110.22,-109.56,-125.89,105.11,-110.0,-110.0,East,Southeast,West,Northwest,-115.0,-105.0,-125.0,105.0,-115.0,-105.0,-104.0,-108.0,-123.0,107.0,-107.0,-107.0,-108.0,-112.0,-125.0,105.0,-110.0,-110.0,-110.0,-110.0,-128.0,105.0,-110.0,-110.0,-115.0,-105.0,-130.0,105.0,-110.0,-110.0,-108.0,-112.0,-118.0,100.0,-106.0,-114.0,-112,-114,-129,104,-112,-114,-110.0,-110.0,-130.0,110.0,-110.0,-110.0,-110.0,-110.0,-125.0,105.0,-110.0,-110.0
NBA,2025-11-10 16:21:59,2025-11-10 19:30,Miami Heat,Cleveland Cavaliers,No,1086.5,Yes,-109.89,-109.78,240.56,-296.78,-110.0,-110.11,East,Southeast,East,Central,-110.0,-110.0,240.0,-298.0,-112.0,-108.0,-106.0,-106.0,245.0,-292.0,-113.0,-102.0,-110.0,-110.0,241.0,-295.0,-115.0,-105.0,-110.0,-110.0,239.0,-306.0,-110.0,-110.0,-110.0,-110.0,230.0,-285.0,-105.0,-115.0,-108.0,-112.0,245.0,-300.0,-108.0,-112.0,-115,-110,235,-305,-112,-114,-110.0,-110.0,240.0,-290.0,-105.0,-115.0,-110.0,-110.0,250.0,-300.0,-110.0,-110.0
NBA,2025-11-10 16:21:59,2025-11-10 20:10,Chicago Bulls,San Antonio Spurs,No,1048.8,Yes,-110.44,-109.11,148.33,-176.89,-110.67,-109.22,East,Central,West,Southwest,-115.0,-105.0,150.0,-180.0,-110.0,-110.0,-103.0,-109.0,154.0,-175.0,-109.0,-105.0,-107.0,-113.0,153.0,-175.0,-112.0,-108.0,-110.0,-110.0,144.0,-179.0,-110.0,-110.0,-115.0,-105.0,154.0,-190.0,-110.0,-110.0,-115.0,-105.0,142.0,-168.0,-110.0,-110.0,-114,-110,143,-180,-115,-110,-105.0,-115.0,145.0,-170.0,-110.0,-110.0,-110.0,-110.0,150.0,-175.0,-110.0,-110.0
NBA,2025-11-10 16:21:59,2025-11-10 20:30,Dallas Mavericks,Milwaukee Bucks,No,856.9,Yes,-108.89,-110.78,121.78,-144.0,-111.67,-108.33,West,Southwest,East,Central,-105.0,-115.0,124.0,-148.0,-108.0,-112.0,-107.0,-105.0,127.0,-144.0,-113.0,-102.0,-111.0,-109.0,125.0,-145.0,-115.0,-105.0,-110.0,-110.0,120.0,-147.0,-110.0,-110.0,-105.0,-115.0,125.0,-150.0,-110.0,-110.0,-110.0,-110.0,120.0,-142.0,-114.0,-106.0,-112,-113,105,-130,-115,-110,-110.0,-110.0,125.0,-145.0,-110.0,-110.0,-110.0,-110.0,125.0,-145.0,-110.0,-110.0
NBA,2025-11-10 16:21:59,2025-11-10 21:00,Utah Jazz,Minnesota Timberwolves,Yes,986.7,Yes,-108.67,-111.11,247.67,-307.0,-111.11,-109.0,West,Northwest,West,Northwest,-108.0,-112.0,245.0,-305.0,-112.0,-108.0,-103.0,-109.0,263.0,-317.0,-113.0,-102.0,-107.0,-113.0,260.0,-320.0,-115.0,-105.0,-110.0,-110.0,251.0,-325.0,-110.0,-110.0,-110.0,-110.0,240.0,-300.0,-110.0,-110.0,-106.0,-114.0,250.0,-310.0,-108.0,-112.0,-114,-112,220,-286,-112,-114,-110.0,-110.0,250.0,-300.0,-110.0,-110.0,-110.0,-110.0,250.0,-300.0,-110.0,-110.0
NBA,2025-11-10 16:21:59,2025-11-10 21:10,Phoenix Suns,New Orleans Pelicans,No,1315.0,Yes,-111.0,-108.67,-352.33,277.89,-109.0,-110.89,West,Pacific,West,Southwest,-112.0,-108.0,-360.0,285.0,-105.0,-115.0,-108.0,-104.0,-342.0,282.0,-107.0,-107.0,-112.0,-108.0,-345.0,278.0,-110.0,-110.0,-110.0,-110.0,-374.0,283.0,-110.0,-110.0,-110.0,-110.0,-350.0,275.0,-105.0,-115.0,-112.0,-108.0,-350.0,280.0,-106.0,-114.0,-110,-115,-345,260,-113,-112,-115.0,-105.0,-360.0,280.0,-115.0,-105.0,-110.0,-110.0,-345.0,278.0,-110.0,-110.0
NBA,2025-11-10 16:21:59,2025-11-10 22:30,Los Angeles Clippers,Atlanta Hawks,No,1943.0,Yes,-111.0,-108.78,-190.11,158.89,-110.78,-109.22,West,Pacific,East,Southeast,-118.0,-102.0,-185.0,154.0,-112.0,-108.0,-106.0,-106.0,-190.0,166.0,-107.0,-107.0,-110.0,-110.0,-190.0,165.0,-110.0,-110.0,-110.0,-110.0,-200.0,161.0,-110.0,-110.0,-115.0,-105.0,-185.0,150.0,-115.0,-105.0,-108.0,-112.0,-186.0,156.0,-110.0,-110.0,-112,-114,-190,150,-113,-113,-110.0,-110.0,-195.0,165.0,-110.0,-110.0,-110.0,-110.0,-190.0,163.0,-110.0,-110.0
NBA,2025-11-10 16:21:59,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,
NBA,2025-11-10 16:21:59,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-195,150,-115,-110,,,,,,,,,,,,
NBA,2025-11-10 16:21:59,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-117,-109,-220,175,-112,-114,,,,,,,,,,,,
