League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-01-04 21:21:09,2026-01-04 20:10,Phoenix Suns,Oklahoma City Thunder,No,841.9,Yes,-113.67,-115.83,487.5,-822.33,-71.2,-118.4,West,Pacific,West,Northwest,-128,-104,600,-1100,102,-136,-105.0,-118.0,450.0,-714.0,-118.0,-111.0,-110,-120,400,-620,-115,-115,-115.0,-115.0,425.0,-700.0,-115.0,-115.0,-110.0,-118.0,500.0,-800.0,-110.0,-115.0,-114.0,-120.0,550.0,-1000.0,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-04 21:21:09,2026-01-04 21:10,Sacramento Kings,Milwaukee Bucks,No,1775.2,Yes,-113.56,-111.0,181.44,-228.67,-83.75,-116.75,West,Pacific,East,Central,-108,-122,164,-215,108,-144,-111.0,-111.0,200.0,-250.0,-111.0,-118.0,-120,-110,154,-200,-110,-120,-120.0,-110.0,175.0,-230.0,-115.0,-115.0,-120.0,-105.0,160.0,-210.0,-115.0,-110.0,-117.0,-115.0,175.0,-235.0,,,-110.0,-110.0,200.0,-240.0,-110.0,-110.0,-106.0,-106.0,202.0,-238.0,-107.0,-107.0,-110.0,-110.0,203.0,-240.0,-110.0,-110.0
NBA,2026-01-04 21:21:09,2026-01-04 21:40,Los Angeles Lakers,Memphis Grizzlies,No,1604.9,Yes,-109.22,-110.44,-221.67,183.11,-83.12,-111.12,West,Pacific,West,Southwest,-110,-110,-225,188,-108,-112,-110.0,-110.0,-233.0,186.0,-110.0,-110.0,-112,-108,-218,180,100,-120,-110.0,-110.0,-210.0,175.0,-110.0,-110.0,-110.0,-110.0,-220.0,180.0,-110.0,-110.0,-115.0,-110.0,-245.0,190.0,,,-105.0,-115.0,-220.0,186.0,-110.0,-110.0,-101.0,-111.0,-219.0,188.0,-107.0,-107.0,-110.0,-110.0,-205.0,175.0,-110.0,-110.0
NBA,2026-01-04 21:21:09,2026-01-05 19:10,Detroit Pistons,New York Knicks,No,482.2,Yes,-112.33,-107.33,123.83,-147.17,-111.4,-107.4,East,Central,East,Atlantic,-110,-110,120,-142,-110,-110,,,,,,,-118,-102,124,-148,-115,-105,,,,,,,-118.0,-102.0,125.0,-155.0,-115.0,-105.0,-112.0,-114.0,112.0,-139.0,,,-110.0,-110.0,130.0,-150.0,-110.0,-110.0,-106.0,-106.0,132.0,-149.0,-107.0,-107.0,,,,,,
NBA,2026-01-04 21:21:09,2026-01-05 19:40,Toronto Raptors,Atlanta Hawks,No,733.5,Yes,-109.0,-109.4,-160.0,137.2,-108.4,-110.4,East,Atlantic,East,Southeast,-114,-106,-158,134,-110,-110,,,,,,,-105,-115,-162,136,-110,-110,,,,,,,-110.0,-110.0,-160.0,135.0,-105.0,-115.0,,,,,,,-110.0,-110.0,-160.0,140.0,-110.0,-110.0,-106.0,-106.0,-160.0,141.0,-107.0,-107.0,,,,,,
NBA,2026-01-04 21:21:09,2026-01-05 19:40,Boston Celtics,Chicago Bulls,No,852.9,Yes,-108.0,-111.67,-510.5,385.5,-110.2,-108.6,East,Atlantic,East,Central,-108,-112,-550,410,-114,-106,,,,,,,-110,-110,-500,380,-110,-110,,,,,,,-110.0,-110.0,-500.0,375.0,-110.0,-110.0,-114.0,-112.0,-500.0,360.0,,,-105.0,-115.0,-510.0,390.0,-110.0,-110.0,-101.0,-111.0,-503.0,398.0,-107.0,-107.0,,,,,,
NBA,2026-01-04 21:21:09,2026-01-05 20:10,Oklahoma City Thunder,Charlotte Hornets,No,941.0,Yes,-112.8,-105.6,-1200.0,750.0,-108.6,-110.2,West,Northwest,East,Southeast,-108,-112,-1200,750,-106,-114,,,,,,,-115,-105,-1200,750,-110,-110,,,,,,,-115.0,-105.0,-1200.0,750.0,-110.0,-110.0,,,,,,,-115.0,-105.0,,,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,,,,,,
NBA,2026-01-04 21:21:09,2026-01-05 20:10,Houston Rockets,Phoenix Suns,No,1016.4,Yes,-112.0,-108.0,-292.5,237.5,-108.0,-112.0,West,Southwest,West,Pacific,-114,-106,-295,240,-106,-114,,,,,,,-110,-110,-290,235,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-04 21:21:09,2026-01-05 20:40,Philadelphia 76ers,Denver Nuggets,No,1579.7,Yes,-109.2,-109.2,-526.4,399.6,-107.4,-111.4,East,Atlantic,West,Northwest,-110,-110,-490,380,-110,-110,,,,,,,-110,-110,-500,380,-105,-115,,,,,,,-110.0,-110.0,-550.0,400.0,-105.0,-115.0,,,,,,,-110.0,-110.0,-550.0,415.0,-110.0,-110.0,-106.0,-106.0,-542.0,423.0,-107.0,-107.0,,,,,,
NBA,2026-01-04 21:21:09,2026-01-05 22:10,Los Angeles Clippers,Golden State Warriors,Yes,348.5,Yes,-112.0,-107.67,-119.33,66.33,-110.2,-108.6,West,Pacific,West,Pacific,-112,-108,-120,102,-114,-106,,,,,,,-110,-110,-120,100,-110,-110,,,,,,,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-114.0,-112.0,-118.0,-106.0,,,-115.0,-105.0,-120.0,100.0,-110.0,-110.0,-111.0,-101.0,-118.0,102.0,-107.0,-107.0,,,,,,
