League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-01-02 22:57:06,2026-01-02 21:11,Phoenix Suns,Sacramento Kings,Yes,635.3,Yes,-78.0,-119.5,-26666.67,2833.33,-73.6,-118.4,West,Pacific,West,Pacific,100,-132,-50000,3500,110,-146,-120.0,-110.0,,,-115.0,-115.0,-110,-120,-20000,3000,-120,-110,-105.0,-125.0,,,-125.0,-111.0,-115,-115,-10000,2000,-118,-110,-118.0,-115.0,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-02 22:57:06,2026-01-02 22:13,Golden State Warriors,Oklahoma City Thunder,No,1387.6,Yes,-116.0,-80.17,666.67,-1338.0,-71.6,-117.4,West,Pacific,West,Northwest,-112,-118,800,-1800,-128,-104,-115.0,-115.0,475.0,-800.0,-115.0,-115.0,-120,-110,750,-1450,-110,-120,-125.0,100.0,625.0,-1111.0,110.0,-133.0,-110,-118,650,-1200,-115,-115,-114.0,-120.0,700.0,-1667.0,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-02 22:57:06,2026-01-02 22:41,Los Angeles Lakers,Memphis Grizzlies,No,1604.9,Yes,-76.0,-121.83,-394.17,279.17,-117.2,-111.2,West,Pacific,West,Southwest,110,-146,-340,250,-130,-102,-110.0,-120.0,-485.0,320.0,-115.0,-115.0,-115,-115,-345,250,-120,-110,-111.0,-118.0,-400.0,290.0,-111.0,-111.0,-110,-118,-375,275,-110,-118,-120.0,-114.0,-420.0,290.0,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-02 22:57:06,2026-01-03 17:10,Miami Heat,Minnesota Timberwolves,No,1511.3,No,-106.44,-113.33,116.33,-140.5,-110.12,-109.12,East,Southeast,West,Northwest,-108,-112,122,-144,-114,-106,-105.0,-115.0,120.0,-140.0,-110.0,-110.0,-105,-115,114,-135,-110,-110,-110.0,-110.0,115.0,-141.0,-110.0,-110.0,-110,-110,110,-135,-110,-110,-109.0,-117.0,117.0,-148.0,,,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0
NBA,2026-01-02 22:57:06,2026-01-03 19:40,Toronto Raptors,Atlanta Hawks,No,733.5,Yes,-110.75,-108.25,-160.0,133.4,-110.88,-108.38,East,Atlantic,East,Southeast,-110,-110,-164,138,-110,-110,-110.0,-110.0,-150.0,130.0,-110.0,-110.0,-105,-115,-162,136,-115,-105,-110.0,-110.0,-159.0,128.0,-110.0,-110.0,-110,-110,-165,135,-115,-105,,,,,,,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,-115.0,-105.0,,,-110.0,-110.0
NBA,2026-01-02 22:57:06,2026-01-03 19:40,New York Knicks,Philadelphia 76ers,Yes,85.5,Yes,-109.5,-109.5,-163.4,135.8,-109.38,-109.88,East,Atlantic,East,Atlantic,-110,-110,-166,140,-110,-110,-110.0,-110.0,-160.0,135.0,-110.0,-110.0,-110,-110,-162,136,-108,-112,-110.0,-110.0,-159.0,128.0,-110.0,-110.0,-110,-110,-170,140,-110,-110,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2026-01-02 22:57:06,2026-01-03 20:10,Chicago Bulls,Charlotte Hornets,No,589.3,Yes,-107.83,-110.83,-141.33,118.33,-109.0,-110.0,East,Central,East,Southeast,-108,-112,-142,120,-110,-110,,,,,,,-108,-112,-142,120,-112,-108,,,,,,,-105,-115,-140,115,-105,-115,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2026-01-02 22:57:06,2026-01-03 20:10,San Antonio Spurs,Portland Trail Blazers,No,1721.8,Yes,-109.75,-109.75,-342.4,269.0,-109.86,-109.29,West,Southwest,West,Northwest,-110,-110,-320,260,-110,-110,,,,,,,-108,-112,-355,280,-112,-108,-110.0,-110.0,-357.0,270.0,-110.0,-110.0,-110,-110,-375,300,-110,-110,-114.0,-110.0,-305.0,235.0,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2026-01-02 22:57:06,2026-01-03 20:40,Dallas Mavericks,Houston Rockets,Yes,226.3,Yes,-109.56,-110.11,241.5,-303.0,-108.38,-110.88,West,Southwest,West,Southwest,-110,-110,235,-290,-110,-110,-110.0,-110.0,255.0,-310.0,-110.0,-110.0,-110,-110,250,-310,-105,-115,-110.0,-110.0,234.0,-303.0,-110.0,-110.0,-110,-110,240,-300,-105,-115,-110.0,-115.0,235.0,-305.0,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2026-01-02 22:57:06,2026-01-03 22:10,Golden State Warriors,Utah Jazz,No,598.7,Yes,-110.0,-110.0,-563.75,406.75,-110.0,-110.0,West,Pacific,West,Northwest,-110,-110,-510,390,-110,-110,,,,,,,-110,-110,-520,390,-110,-110,-110.0,-110.0,-625.0,422.0,-110.0,-110.0,-110,-110,-600,425,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,
