League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-17 13:34:53,2025-11-17 19:00,Cleveland Cavaliers,Milwaukee Bucks,Yes,336.6,Yes,-108.89,-110.89,-298.44,241.78,-109.0,-110.89,East,Central,East,Central,-105.0,-115.0,-298.0,240.0,-105.0,-115.0,-104.0,-108.0,-288.0,242.0,-102.0,-113.0,-108.0,-112.0,-291.0,238.0,-105.0,-115.0,-114.0,-106.0,-320.0,260.0,-110.0,-110.0,-110.0,-110.0,-294.0,231.0,-110.0,-110.0,-110.0,-110.0,-290.0,240.0,-110.0,-110.0,-105.0,-115.0,-300.0,240.0,-115.0,-105.0,-114,-112,-315,245,-114,-110,-110.0,-110.0,-290.0,240.0,-110.0,-110.0
NBA,2025-11-17 13:34:53,2025-11-17 19:00,Detroit Pistons,Indiana Pacers,Yes,240.5,Yes,-111.78,-108.0,-523.22,388.67,-110.78,-109.11,East,Central,East,Central,-115.0,-105.0,-520.0,390.0,-108.0,-112.0,-108.0,-104.0,-493.0,390.0,-113.0,-102.0,-112.0,-108.0,-500.0,383.0,-115.0,-105.0,-114.0,-106.0,-590.0,430.0,-112.0,-108.0,-110.0,-110.0,-526.0,380.0,-110.0,-110.0,-110.0,-110.0,-550.0,390.0,-110.0,-110.0,-115.0,-105.0,-500.0,375.0,-105.0,-115.0,-112,-114,-530,370,-114,-110,-110.0,-110.0,-500.0,390.0,-110.0,-110.0
NBA,2025-11-17 13:34:53,2025-11-17 19:10,Philadelphia 76ers,Los Angeles Clippers,No,2401.6,Yes,-110.33,-109.22,-209.67,174.11,-111.44,-108.56,East,Atlantic,West,Pacific,-115.0,-105.0,-205.0,170.0,-112.0,-108.0,-106.0,-106.0,-204.0,179.0,-113.0,-102.0,-110.0,-110.0,-205.0,177.0,-115.0,-105.0,-112.0,-108.0,-210.0,176.0,-108.0,-112.0,-110.0,-110.0,-213.0,170.0,-110.0,-110.0,-110.0,-110.0,-210.0,175.0,-110.0,-110.0,-110.0,-110.0,-210.0,170.0,-110.0,-110.0,-110,-114,-225,175,-115,-110,-110.0,-110.0,-205.0,175.0,-110.0,-110.0
NBA,2025-11-17 13:34:53,2025-11-17 19:30,Toronto Raptors,Charlotte Hornets,No,586.0,Yes,-110.89,-108.89,-349.89,277.67,-111.67,-86.22,East,Atlantic,East,Southeast,-110.0,-110.0,-355.0,280.0,-112.0,-108.0,-106.0,-106.0,-342.0,282.0,-116.0,101.0,-110.0,-110.0,-345.0,278.0,-118.0,-102.0,-110.0,-110.0,-360.0,290.0,-112.0,-108.0,-110.0,-110.0,-357.0,276.0,-110.0,-110.0,-115.0,-105.0,-360.0,280.0,-110.0,-110.0,-110.0,-110.0,-350.0,280.0,-105.0,-115.0,-117,-109,-335,255,-112,-114,-110.0,-110.0,-345.0,278.0,-110.0,-110.0
NBA,2025-11-17 13:34:53,2025-11-17 19:30,Miami Heat,New York Knicks,No,1091.4,Yes,-112.67,-106.89,-126.67,105.89,-111.56,-108.56,East,Southeast,East,Atlantic,-115.0,-105.0,-125.0,105.0,-112.0,-108.0,-111.0,-101.0,-128.0,112.0,-113.0,-102.0,-115.0,-105.0,-130.0,110.0,-115.0,-105.0,-114.0,-106.0,-122.0,104.0,-110.0,-110.0,-110.0,-110.0,-125.0,102.0,-110.0,-110.0,-110.0,-110.0,-125.0,105.0,-110.0,-110.0,-115.0,-105.0,-130.0,105.0,-110.0,-110.0,-114,-110,-125,100,-114,-112,-110.0,-110.0,-130.0,110.0,-110.0,-110.0
NBA,2025-11-17 13:34:53,2025-11-17 20:00,Minnesota Timberwolves,Dallas Mavericks,No,861.9,Yes,-111.56,-108.11,-910.22,598.78,-110.78,-109.33,West,Northwest,West,Southwest,-118.0,-102.0,-900.0,600.0,-105.0,-115.0,-106.0,-106.0,-883.0,631.0,-113.0,-102.0,-110.0,-110.0,-900.0,613.0,-115.0,-105.0,-110.0,-110.0,-900.0,610.0,-110.0,-110.0,-110.0,-110.0,-909.0,560.0,-110.0,-110.0,-110.0,-110.0,-900.0,575.0,-110.0,-110.0,-115.0,-105.0,-900.0,600.0,-110.0,-110.0,-115,-110,-1000,600,-114,-112,-110.0,-110.0,-900.0,600.0,-110.0,-110.0
NBA,2025-11-17 13:34:53,2025-11-17 20:10,New Orleans Pelicans,Oklahoma City Thunder,No,575.8,Yes,-109.11,-110.56,988.56,-1967.33,-108.78,-111.33,West,Southwest,West,Northwest,-108.0,-112.0,1000.0,-1800.0,-110.0,-110.0,-106.0,-106.0,1006.0,-1706.0,-102.0,-113.0,-110.0,-110.0,961.0,-1750.0,-105.0,-115.0,-108.0,-112.0,1100.0,-2200.0,-114.0,-106.0,-110.0,-110.0,880.0,-2000.0,-110.0,-110.0,-105.0,-115.0,950.0,-2000.0,-110.0,-110.0,-110.0,-110.0,1000.0,-2000.0,-105.0,-115.0,-115,-110,1000,-2500,-113,-113,-110.0,-110.0,1000.0,-1750.0,-110.0,-110.0
NBA,2025-11-17 13:34:53,2025-11-17 21:10,Denver Nuggets,Chicago Bulls,No,918.9,Yes,-109.11,-110.44,-963.56,621.78,-110.56,-109.33,West,Northwest,East,Central,-108.0,-112.0,-950.0,625.0,-115.0,-105.0,-101.0,-111.0,-857.0,616.0,-102.0,-113.0,-105.0,-115.0,-875.0,598.0,-105.0,-115.0,-114.0,-106.0,-950.0,640.0,-114.0,-106.0,-110.0,-110.0,-1000.0,597.0,-110.0,-110.0,-115.0,-105.0,-950.0,600.0,-110.0,-110.0,-105.0,-115.0,-1100.0,675.0,-115.0,-105.0,-114,-110,-1115,650,-114,-110,-110.0,-110.0,-875.0,595.0,-110.0,-110.0
NBA,2025-11-17 13:34:53,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,
NBA,2025-11-17 13:34:53,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-195,150,-115,-110,,,,,,
