League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-03-17 18:33:43,2026-03-17 19:10,97559ed79c99e86d90fc2f9d2059e761,Charlotte Hornets,Miami Heat,Yes,651.7,Yes,East,Southeast,East,Southeast,-86.44,-109.67,-5.22,5.22,-203.67,169.11,-110.44,-109.22,236.56,-114,-106,-198,166,-114,-106,-105.0,-115.0,-205.0,170.0,-110.0,-110.0,-110.0,-110.0,-200.0,160.0,-110.0,-110.0,-109.0,-114.0,-210.0,165.0,-113.0,-110.0,-108.0,-104.0,-195.0,171.0,-107.0,-107.0,-112.0,-108.0,-195.0,170.0,-110.0,-110.0,-115.0,-105.0,-200.0,170.0,-110.0,-110.0,100.0,-110.0,-210.0,170.0,-110.0,-110.0,-105.0,-115.0,-220.0,180.0,-110.0,-110.0
NBA,2026-03-17 18:33:43,2026-03-17 19:10,ef96df74a063b75de7971612d1c1b18a,Washington Wizards,Detroit Pistons,No,396.2,Yes,East,Southeast,East,Central,-107.22,-112.22,19.5,-19.5,1085.33,-2372.22,-112.22,-107.56,232.78,-110,-110,1300,-3000,-115,-105,-110.0,-110.0,1100.0,-2100.0,-115.0,-105.0,-110.0,-110.0,935.0,-2000.0,-110.0,-110.0,-109.0,-114.0,1000.0,-2500.0,-112.0,-112.0,-101.0,-111.0,1092.0,-1950.0,-110.0,-104.0,-105.0,-115.0,1041.0,-2000.0,-113.0,-107.0,-105.0,-115.0,1050.0,-2000.0,-110.0,-110.0,-105.0,-115.0,1150.0,-3000.0,-115.0,-105.0,-110.0,-110.0,1100.0,-2800.0,-110.0,-110.0
NBA,2026-03-17 18:33:43,2026-03-17 19:10,1071bc9088322a8c42c7cd80db4c8c6f,Orlando Magic,Oklahoma City Thunder,No,1058.6,Yes,East,Southeast,West,Northwest,-108.89,-110.56,9.94,-9.94,341.56,-445.44,-110.22,-109.56,223.89,-112,-108,330,-420,-110,-110,-102.0,-118.0,350.0,-455.0,-108.0,-112.0,-110.0,-110.0,340.0,-459.0,-110.0,-110.0,-109.0,-114.0,340.0,-480.0,-112.0,-112.0,-105.0,-107.0,340.0,-420.0,-107.0,-107.0,-109.0,-111.0,334.0,-425.0,-110.0,-110.0,-105.0,-115.0,355.0,-450.0,-110.0,-110.0,-118.0,-102.0,350.0,-450.0,-115.0,-105.0,-110.0,-110.0,335.0,-450.0,-110.0,-110.0
NBA,2026-03-17 18:33:43,2026-03-17 19:40,9eba01d4cfa06caacc9d62a166b5a632,New York Knicks,Indiana Pacers,No,646.0,Yes,East,Atlantic,East,Central,-107.89,-111.56,-14.61,14.61,-956.67,617.56,-110.78,-108.89,221.22,-106,-114,-1000,660,-110,-110,-105.0,-115.0,-1350.0,800.0,-115.0,-105.0,-110.0,-110.0,-909.0,556.0,-110.0,-110.0,-109.0,-114.0,-1115.0,650.0,-110.0,-113.0,-101.0,-111.0,-786.0,576.0,-107.0,-107.0,-110.0,-110.0,-850.0,586.0,-110.0,-110.0,-110.0,-110.0,-750.0,530.0,-110.0,-110.0,-110.0,-110.0,-1000.0,650.0,-115.0,-105.0,-110.0,-110.0,-850.0,550.0,-110.0,-110.0
NBA,2026-03-17 18:33:43,2026-03-17 20:10,8951b3300ad3588888cb2397ea770d5e,Milwaukee Bucks,Cleveland Cavaliers,Yes,336.6,Yes,East,Central,East,Central,-109.33,-110.11,12.56,-12.56,447.44,-618.56,-110.0,-109.56,224.83,-114,-106,480,-650,-114,-106,-105.0,-115.0,455.0,-625.0,-115.0,-105.0,-110.0,-110.0,389.0,-556.0,-110.0,-110.0,-109.0,-114.0,475.0,-715.0,-109.0,-113.0,-106.0,-106.0,446.0,-576.0,-107.0,-107.0,-110.0,-110.0,437.0,-585.0,-110.0,-110.0,-110.0,-110.0,445.0,-585.0,-110.0,-110.0,-110.0,-110.0,450.0,-625.0,-105.0,-115.0,-110.0,-110.0,450.0,-650.0,-110.0,-110.0
NBA,2026-03-17 18:33:43,2026-03-17 20:10,79806ec6c1db4dc28fa93612d8269dc0,Minnesota Timberwolves,Phoenix Suns,No,1279.2,Yes,West,Northwest,West,Pacific,-110.78,-108.67,-3.83,3.83,-167.89,141.22,-109.89,-109.89,221.44,-114,-106,-168,142,-110,-110,-115.0,-105.0,-170.0,142.0,-110.0,-110.0,-110.0,-110.0,-172.0,140.0,-110.0,-110.0,-109.0,-114.0,-175.0,138.0,-112.0,-112.0,-105.0,-107.0,-163.0,144.0,-107.0,-107.0,-109.0,-111.0,-163.0,143.0,-110.0,-110.0,-110.0,-110.0,-165.0,142.0,-110.0,-110.0,-115.0,-105.0,-170.0,140.0,-110.0,-110.0,-110.0,-110.0,-165.0,140.0,-110.0,-110.0
NBA,2026-03-17 18:33:43,2026-03-17 22:10,259082f7f5b98968cfaa3245ddc3da0b,Denver Nuggets,Philadelphia 76ers,No,1579.7,Yes,West,Northwest,East,Atlantic,-110.67,-108.78,-15.83,15.83,-1263.56,762.56,-109.89,-109.89,236.56,-115,-105,-1350,810,-110,-110,-115.0,-105.0,-1200.0,750.0,-110.0,-110.0,-110.0,-110.0,-1250.0,723.0,-110.0,-110.0,-109.0,-114.0,-1250.0,700.0,-112.0,-112.0,-104.0,-108.0,-1222.0,804.0,-107.0,-107.0,-108.0,-112.0,-1250.0,776.0,-110.0,-110.0,-110.0,-110.0,-1250.0,800.0,-110.0,-110.0,-115.0,-105.0,-1200.0,750.0,-110.0,-110.0,-110.0,-110.0,-1400.0,750.0,-110.0,-110.0
NBA,2026-03-17 18:33:43,2026-03-17 23:10,352d39711b11d736c88876aa668df022,Sacramento Kings,San Antonio Spurs,No,1460.9,Yes,West,Pacific,West,Southwest,-110.78,-108.78,13.44,-13.44,573.67,-857.78,-110.56,-109.11,235.61,-110,-110,640,-950,-114,-106,-112.0,-108.0,575.0,-850.0,-112.0,-108.0,-110.0,-110.0,544.0,-850.0,-110.0,-110.0,-112.0,-112.0,550.0,-910.0,-113.0,-110.0,-107.0,-105.0,590.0,-810.0,-104.0,-110.0,-111.0,-109.0,574.0,-825.0,-107.0,-113.0,-110.0,-110.0,565.0,-825.0,-110.0,-110.0,-110.0,-110.0,600.0,-900.0,-115.0,-105.0,-115.0,-105.0,525.0,-800.0,-110.0,-110.0
NBA,2026-03-17 18:33:43,2026-03-18 19:10,559e3b7523e4be26e5788e58c1e6067b,Boston Celtics,Golden State Warriors,No,2697.8,Yes,East,Atlantic,West,Pacific,-110.0,-110.0,-11.5,11.5,-560.0,420.0,-110.0,-110.0,214.5,-110,-110,-560,420,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-03-17 18:33:43,2026-03-18 20:10,a9e7cf9b2e8337be24987faf71d38562,Chicago Bulls,Toronto Raptors,No,438.9,Yes,East,Central,East,Atlantic,-110.0,-110.0,7.0,-7.0,220.0,-270.0,-110.0,-110.0,235.5,-110,-110,220,-270,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
