League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-22 08:14:58,2026-05-22 20:40,7b814a0bc57622abcbc708d9e9a27fca,San Antonio Spurs,Oklahoma City Thunder,No,419.4,Yes,West,Southwest,West,Northwest,-112.33,-107.11,-1.78,1.78,-129.44,108.89,-110.33,-109.33,217.89,-112,-108,-126,108,-110,-110,-110,-113,-122,100,-113,-110,-115,-105,-125,105,-108,-112,-110,-102,-128,112,-107,-107,-115,-105,-135,110,-115,-105,-114,-106,-130,110,-110,-110,-115,-105,-140,120,-110,-110,-110,-110,-129,105,-110,-110,-110.0,-110.0,-130.0,110.0,-110.0,-110.0
NBA,2026-05-22 08:14:58,2026-05-23 20:10,4247d31ac7706ebe455b8f221c9e4184,Cleveland Cavaliers,New York Knicks,No,404.7,Yes,East,Central,East,Atlantic,-109.62,-109.75,-2.5,2.5,-135.25,113.62,-110.12,-109.5,213.44,-106,-114,-126,108,-110,-110,-110,-113,-139,112,-114,-109,-110,-110,-135,114,-110,-110,-111,-101,-133,117,-107,-107,-110,-110,-140,115,-110,-110,-115,-105,-135,115,-110,-110,-105,-115,-135,115,-110,-110,-110,-110,-139,113,-110,-110,,,,,,
