League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-02-18 13:56:36,2026-02-19 19:00,c93f72cb146ef69c7bd4a79f03481123,Washington Wizards,Indiana Pacers,No,492.8,Yes,East,Southeast,East,Central,-111.25,-108.12,4.31,-4.31,152.2,-184.0,-109.0,-110.62,234.12,-110,-110,158,-188,-105,-115,-109,-114,140,-177,-110,-112,-115,-105,154,-185,-115,-105,-115.0,-105.0,154.0,-190.0,-115.0,-105.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-102.0,-113.0,-110.0,-110.0,,,-105.0,-115.0,-115.0,-105.0,155.0,-180.0,-110.0,-110.0
NBA,2026-02-18 13:56:36,2026-02-19 19:10,d647541d42648749f3bde601547fa1be,Philadelphia 76ers,Atlanta Hawks,No,663.4,Yes,East,Atlantic,East,Southeast,-113.5,-105.88,-4.5,4.5,-185.0,153.2,-109.12,-110.5,237.5,-114,-106,-180,152,-108,-112,-115,-108,-195,155,-113,-110,-115,-105,-180,150,-110,-110,-118.0,-102.0,-190.0,154.0,-105.0,-115.0,-110.0,-110.0,,,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,-110.0,-110.0,-180.0,155.0,-110.0,-110.0
NBA,2026-02-18 13:56:36,2026-02-19 19:10,24a92d49df82923f29b3e9cda4d57446,Cleveland Cavaliers,Brooklyn Nets,No,406.4,Yes,East,Central,East,Atlantic,-110.25,-109.12,-15.88,15.88,-1060.0,657.0,-109.75,-109.88,230.19,-112,-108,-1000,660,-108,-112,-114,-109,-1000,600,-113,-110,-105,-115,-1100,700,-110,-110,-115.0,-105.0,-1100.0,675.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,-1100.0,650.0,-110.0,-110.0
NBA,2026-02-18 13:56:36,2026-02-19 19:10,97031eee2ea39d890bf5046a1c57c7a7,Charlotte Hornets,Houston Rockets,No,927.0,Yes,East,Southeast,West,Southwest,-110.0,-109.38,3.44,-3.44,133.4,-160.2,-110.12,-109.5,216.5,-115,-105,138,-164,-108,-112,-114,-109,123,-155,-114,-109,-115,-105,136,-162,-112,-108,-110.0,-110.0,135.0,-160.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,-110.0,-110.0,135.0,-160.0,-110.0,-110.0
NBA,2026-02-18 13:56:36,2026-02-19 19:40,0ea61c4bb159036d242d6aa077216586,New York Knicks,Detroit Pistons,No,482.2,Yes,East,Atlantic,East,Central,-106.75,-112.62,-4.44,4.44,-180.2,149.2,-109.75,-109.88,222.38,-108,-112,-176,148,-108,-112,-115,-108,-180,143,-113,-110,-105,-115,-180,150,-110,-110,-105.0,-115.0,-185.0,150.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,-105.0,-115.0,-180.0,155.0,-110.0,-110.0
NBA,2026-02-18 13:56:36,2026-02-19 20:10,537f72a12ccf54596ce42c638bacb485,Chicago Bulls,Toronto Raptors,No,438.9,Yes,East,Central,East,Atlantic,-109.88,-109.5,6.44,-6.44,189.6,-233.0,-111.88,-107.88,233.5,-112,-108,190,-230,-110,-110,-114,-109,188,-240,-110,-113,-112,-108,190,-230,-112,-108,-110.0,-110.0,190.0,-235.0,-115.0,-105.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-113.0,-102.0,-110.0,-110.0,,,-115.0,-105.0,-105.0,-115.0,190.0,-230.0,-110.0,-110.0
NBA,2026-02-18 13:56:36,2026-02-19 20:40,d34f8e76f10dd65a684c9bd6301e667e,San Antonio Spurs,Phoenix Suns,No,850.8,Yes,West,Southwest,West,Pacific,-111.0,-108.38,-7.5,7.5,-323.0,257.0,-111.5,-108.38,226.88,-110,-110,-320,260,-114,-106,-115,-108,-335,250,-112,-112,-112,-108,-325,260,-108,-112,-110.0,-110.0,-325.0,260.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-113.0,-102.0,-110.0,-110.0,,,-115.0,-105.0,-115.0,-105.0,-310.0,255.0,-110.0,-110.0
NBA,2026-02-18 13:56:36,2026-02-19 22:10,7bb1dc8e7e0b6a77195533729951d187,Golden State Warriors,Boston Celtics,No,2697.8,Yes,West,Pacific,East,Atlantic,-109.38,-110.0,2.62,-2.62,119.6,-142.6,-109.62,-110.12,217.12,-112,-108,118,-138,-108,-112,-114,-109,120,-148,-112,-112,-108,-112,120,-142,-105,-115,-110.0,-110.0,120.0,-145.0,-115.0,-105.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-105.0,-115.0,120.0,-140.0,-110.0,-110.0
NBA,2026-02-18 13:56:36,2026-02-19 22:10,fc4ef6fdb917bca80f99940665442e96,Sacramento Kings,Orlando Magic,No,2394.9,Yes,West,Pacific,East,Southeast,-112.0,-107.38,9.31,-9.31,316.0,-415.0,-108.62,-111.12,224.06,-110,-110,310,-390,-110,-110,-109,-114,320,-435,-112,-112,-118,-102,320,-410,-105,-115,-118.0,-102.0,320.0,-425.0,-105.0,-115.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-115.0,-105.0,310.0,-415.0,-110.0,-110.0
NBA,2026-02-18 13:56:36,2026-02-19 22:40,13c088a4f279e674bf80e4cb06d231a9,Los Angeles Clippers,Denver Nuggets,No,839.4,Yes,West,Pacific,West,Northwest,-108.62,-110.75,4.31,-4.31,151.6,-183.2,-109.0,-110.62,226.0,-108,-112,148,-176,-105,-115,-108,-115,155,-195,-110,-113,-112,-108,150,-180,-105,-115,-110.0,-110.0,150.0,-185.0,-115.0,-105.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-105.0,-115.0,155.0,-180.0,-110.0,-110.0
NBA,2026-02-18 13:56:36,2026-02-20 19:10,fde066653cf72796682157aeae55c1e3,Memphis Grizzlies,Utah Jazz,No,1251.0,Yes,West,Southwest,West,Northwest,-108.0,-113.0,-4.33,4.33,-173.67,142.67,-109.0,-112.33,241.5,-105,-115,-174,146,-105,-115,-114,-109,-177,140,-112,-112,-105,-115,-170,142,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-02-18 13:56:36,2026-02-20 19:40,8b76ff37aae273884a7ea6ce7f8d1aa6,Minnesota Timberwolves,Dallas Mavericks,No,861.9,Yes,West,Northwest,West,Southwest,-113.67,-107.67,-12.0,12.0,-640.0,456.67,-110.0,-111.0,236.0,-114,-106,-650,480,-110,-110,-112,-112,-670,450,-110,-113,-115,-105,-600,440,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-02-18 13:56:36,2026-02-20 20:10,2007c2367cb16289e11f34463016e147,New Orleans Pelicans,Milwaukee Bucks,No,910.9,Yes,West,Southwest,East,Central,-112.0,-109.0,-3.67,3.67,-165.0,136.0,-110.67,-110.67,225.17,-110,-110,-168,140,-110,-110,-114,-109,-165,132,-112,-112,-112,-108,-162,136,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
