League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-03-25 06:44:24,2026-03-25 19:10,8aaad66627fe854cc273103047d880e6,Detroit Pistons,Atlanta Hawks,No,596.5,Yes,East,Central,East,Southeast,-110.67,-108.67,-2.56,2.56,-146.67,123.11,-110.67,-109.11,227.17,-114,-106,-154,130,-110,-110,-112,-108,-148,124,-105,-115,-110,-110,-145,118,-110,-110,-109,-113,-148,118,-113,-110,-106,-106,-141,124,-113,-102,-110,-110,-142,122,-115,-105,-110,-110,-155,125,-105,-115,-115,-105,-145,125,-110,-110,-110,-110,-142,122,-115,-105
NBA,2026-03-25 06:44:24,2026-03-25 19:10,eaf07668d23364ac54cbcf69f4808ba9,Philadelphia 76ers,Chicago Bulls,No,668.1,Yes,East,Atlantic,East,Central,-109.22,-110.33,-6.28,6.28,-245.22,200.56,-109.44,-110.22,238.78,-110,-110,-245,205,-110,-110,-105,-115,-250,205,-105,-115,-110,-110,-244,195,-110,-110,-112,-112,-265,200,-113,-110,-106,-106,-238,202,-107,-107,-110,-110,-240,200,-110,-110,-105,-115,-250,200,-110,-110,-115,-105,-235,195,-110,-110,-110,-110,-240,203,-110,-110
NBA,2026-03-25 06:44:24,2026-03-25 19:10,3d71d6b6b1bc85b5ec831ae9dba2c93c,Indiana Pacers,Los Angeles Lakers,No,1811.2,Yes,East,Central,West,Pacific,-110.33,-109.11,10.56,-10.56,410.44,-558.89,-109.0,-110.67,239.06,-112,-108,400,-520,-110,-110,-112,-108,400,-535,-105,-115,-110,-110,416,-588,-110,-110,-108,-115,420,-625,-114,-109,-106,-106,417,-532,-107,-107,-110,-110,409,-540,-110,-110,-110,-110,425,-600,-105,-115,-115,-105,390,-550,-110,-110,-110,-110,417,-540,-110,-110
NBA,2026-03-25 06:44:24,2026-03-25 19:40,277fee894c9dc5c623ed6a131bf513c7,Boston Celtics,Oklahoma City Thunder,No,1495.8,Yes,East,Atlantic,West,Northwest,-107.56,-111.89,2.61,-2.61,124.78,-147.44,-109.89,-110.0,217.67,-114,-106,122,-144,-112,-108,-105,-115,130,-155,-118,-102,-110,-110,114,-141,-110,-110,-108,-115,116,-143,-112,-112,-101,-111,132,-149,-102,-113,-105,-115,130,-150,-105,-115,-105,-115,125,-150,-115,-105,-115,-105,125,-145,-110,-110,-105,-115,129,-150,-105,-115
NBA,2026-03-25 06:44:24,2026-03-25 19:40,bb33d3e33ac233af2a20161310f567f2,Cleveland Cavaliers,Miami Heat,No,1086.5,Yes,East,Central,East,Southeast,-107.22,-112.22,-3.5,3.5,-160.33,135.67,-109.67,-110.0,242.78,-110,-110,-158,134,-112,-108,-105,-115,-162,136,-105,-115,-110,-110,-161,132,-110,-110,-114,-109,-162,130,-113,-110,-101,-111,-160,141,-107,-107,-105,-115,-160,140,-110,-110,-105,-115,-160,135,-110,-110,-110,-110,-160,135,-110,-110,-105,-115,-160,138,-110,-110
NBA,2026-03-25 06:44:24,2026-03-25 20:10,bcbad64f54906ae96b4be0ef54b453b4,Memphis Grizzlies,San Antonio Spurs,Yes,628.7,Yes,West,Southwest,West,Southwest,-107.11,-112.33,16.5,-16.5,846.56,-1534.56,-110.22,-109.56,234.83,-110,-110,830,-1400,-110,-110,-108,-112,850,-1450,-118,-102,-110,-110,830,-1667,-110,-110,-110,-113,750,-1430,-112,-112,-101,-111,910,-1464,-107,-107,-105,-115,874,-1500,-110,-110,-110,-110,875,-1600,-105,-115,-105,-115,850,-1800,-110,-110,-105,-115,850,-1500,-110,-110
NBA,2026-03-25 06:44:24,2026-03-25 21:10,dcd42c163a10db20aa31d9ee311c07bd,Utah Jazz,Washington Wizards,No,1847.5,Yes,West,Northwest,East,Southeast,-110.78,-108.78,-4.56,4.56,-188.67,158.44,-109.89,-109.89,240.39,-114,-106,-194,162,-110,-110,-110,-110,-192,160,-110,-110,-110,-110,-182,148,-110,-110,-112,-112,-200,160,-112,-112,-106,-106,-185,162,-107,-107,-110,-110,-185,161,-110,-110,-110,-110,-190,154,-110,-110,-115,-105,-185,160,-110,-110,-110,-110,-185,159,-110,-110
NBA,2026-03-25 06:44:24,2026-03-25 21:40,cf2665074fd82e7b5f2b4393f20afd32,Minnesota Timberwolves,Houston Rockets,No,1056.4,Yes,West,Northwest,West,Southwest,-110.0,-109.56,1.44,-1.44,80.0,-122.22,-110.78,-108.89,223.83,-112,-108,106,-124,-110,-110,-110,-110,102,-122,-115,-105,-110,-110,101,-123,-110,-110,-112,-112,-106,-118,-110,-113,-106,-106,107,-123,-107,-107,-110,-110,105,-125,-110,-110,-110,-110,100,-120,-115,-105,-110,-110,100,-120,-110,-110,-110,-110,105,-125,-110,-110
NBA,2026-03-25 06:44:24,2026-03-25 22:10,f0853d396988ee8ea615897e136d22cb,Golden State Warriors,Brooklyn Nets,No,2572.5,Yes,West,Pacific,East,Atlantic,-110.11,-109.33,-11.5,11.5,-585.56,426.67,-110.56,-109.11,215.5,-110,-110,-560,420,-112,-108,-110,-110,-575,425,-112,-108,-110,-110,-588,413,-110,-110,-115,-108,-590,410,-114,-109,-106,-106,-572,443,-107,-107,-110,-110,-580,434,-110,-110,-110,-110,-600,425,-110,-110,-110,-110,-625,430,-110,-110,-110,-110,-580,440,-110,-110
NBA,2026-03-25 06:44:24,2026-03-25 22:10,63b3c408cf1e55eb8d34aec686038a87,Denver Nuggets,Dallas Mavericks,No,662.5,Yes,West,Northwest,West,Southwest,-108.67,-110.78,-13.22,13.22,-776.78,533.56,-110.11,-109.44,245.06,-106,-114,-800,560,-112,-108,-102,-118,-800,550,-105,-115,-110,-110,-769,506,-110,-110,-114,-109,-835,525,-112,-110,-106,-106,-737,547,-107,-107,-110,-110,-750,534,-110,-110,-105,-115,-750,525,-115,-105,-115,-105,-800,525,-110,-110,-110,-110,-750,530,-110,-110
